"workerid","response","rt","object","Answer.time_in_minutes","utterance","slide_number_in_experiment","speaker_cond"
0,"Jennifer",0,"Jennifer",1.01633333333333,"bot_check",1,"list1"
0,"['copper', 'green']",9464,"spoon_metal_green",1.01633333333333,"spoon",3,"list1"
0,"['metal', 'blue']",13628,"table_metal_blue",1.01633333333333,"table",4,"list1"
0,"['leather', 'blue']",4053,"boot_leather_blue",1.01633333333333,"boot",5,"list1"
0,"['metal', 'blue']",7569,"bowl_metal_blue",1.01633333333333,"bowl",6,"list1"
0,"['paper', 'blue']",5078,"plate_paper_blue",1.01633333333333,"plate",7,"list1"
0,"['plastic', 'green']",5505,"bottle_plastic_green",1.01633333333333,"bottle",8,"list1"
1,"Jessica",0,"Jessica",0.811133333333333,"bot_check",1,"list1"
1,"['spoon', 'green']",6593,"spoon_metal_green",0.811133333333333,"spoon",3,"list1"
1,"['aluminum', 'blue']",9143,"bowl_metal_blue",0.811133333333333,"bowl",4,"list1"
1,"['plastic', 'green']",5181,"bottle_plastic_green",0.811133333333333,"bottle",5,"list1"
1,"['paper', 'blue']",4949,"plate_paper_blue",0.811133333333333,"plate",6,"list1"
1,"['steal', 'blue']",7397,"table_metal_blue",0.811133333333333,"table",7,"list1"
1,"['leather', 'blue']",3286,"boot_leather_blue",0.811133333333333,"boot",8,"list1"
2,"Jessica",0,"Jessica",0.8413,"bot_check",1,"list1"
2,"['leather', 'blue']",7076,"boot_leather_blue",0.8413,"boot",3,"list1"
2,"['metal', 'blue']",10541,"bowl_metal_blue",0.8413,"bowl",4,"list1"
2,"['paper', 'blue']",4050,"plate_paper_blue",0.8413,"plate",5,"list1"
2,"['metal', 'green']",6244,"spoon_metal_green",0.8413,"spoon",6,"list1"
2,"['metal', 'blue']",6191,"table_metal_blue",0.8413,"table",7,"list1"
2,"['plastic', 'green']",5913,"bottle_plastic_green",0.8413,"bottle",8,"list1"
3,"Mary",0,"Mary",0.73905,"bot_check",1,"list1"
3,"['metal', 'green']",6872,"spoon_metal_green",0.73905,"spoon",3,"list1"
3,"['paper', 'blue']",4946,"plate_paper_blue",0.73905,"plate",4,"list1"
3,"['metal', 'blue']",4483,"bowl_metal_blue",0.73905,"bowl",5,"list1"
3,"['leather', 'blue']",4438,"boot_leather_blue",0.73905,"boot",6,"list1"
3,"['plastic', 'green']",4789,"bottle_plastic_green",0.73905,"bottle",7,"list1"
3,"['wood', 'blue']",4109,"table_metal_blue",0.73905,"table",8,"list1"
4,"Barbara",0,"Barbara",1.44226666666667,"bot_check",1,"list1"
4,"['plastic', 'green']",7815,"bottle_plastic_green",1.44226666666667,"bottle",3,"list1"
4,"['leather', 'blue']",11799,"boot_leather_blue",1.44226666666667,"boot",4,"list1"
4,"['plastic', 'green']",11523,"spoon_metal_green",1.44226666666667,"spoon",5,"list1"
4,"['wood', 'blue']",14531,"table_metal_blue",1.44226666666667,"table",6,"list1"
4,"['metal', 'blue']",9172,"bowl_metal_blue",1.44226666666667,"bowl",7,"list1"
4,"['paper', 'blue']",5697,"plate_paper_blue",1.44226666666667,"plate",8,"list1"
5,"Elizabeth",0,"Elizabeth",1.83791666666667,"bot_check",1,"list1"
5,"['paper', 'blue']",14717,"plate_paper_blue",1.83791666666667,"plate",3,"list1"
5,"['Metal', 'Green']",12117,"spoon_metal_green",1.83791666666667,"spoon",4,"list1"
5,"['Plastice', 'Blue']",9197,"table_metal_blue",1.83791666666667,"table",5,"list1"
5,"['Plastic', 'Green']",15463,"bottle_plastic_green",1.83791666666667,"bottle",6,"list1"
5,"['Leather', 'Blue']",12182,"boot_leather_blue",1.83791666666667,"boot",7,"list1"
5,"['Metal', 'Blue']",9320,"bowl_metal_blue",1.83791666666667,"bowl",8,"list1"
6,"Elizabeth",0,"Elizabeth",1.20568333333333,"bot_check",1,"list1"
6,"['Metal', 'Blue']",15823,"table_metal_blue",1.20568333333333,"table",3,"list1"
6,"['plastic', 'green']",7573,"bottle_plastic_green",1.20568333333333,"bottle",4,"list1"
