"","object","Color_typicality","Material_typicality","Overall_typicality"
"1","bag_paper_blue",0.575333333333333,0.92,0.800666666666667
"2","bag_paper_green",0.387333333333333,0.858666666666667,0.738666666666667
"3","bag_paper_brown_original",0.77,0.787333333333333,0.932
"4","bag_plastic_blue",0.499333333333333,0.869333333333333,0.756666666666667
"5","bag_plastic_green",0.343333333333333,0.648,0.82
"6","bag_plastic_white_original",0.892666666666667,0.901333333333333,0.836
"7","boot_leather_brown",0.924666666666667,0.958666666666667,0.837333333333333
"8","boot_leather_green",0.292666666666667,0.659333333333333,0.58
"9","boot_leather_black_original",0.936666666666667,0.940666666666667,0.872
"10","boot_rubber_brown",0.651333333333333,0.779333333333333,0.729333333333333
"11","boot_rubber_green",0.418,0.896666666666667,0.686666666666667
"12","boot_rubber_black_original",0.767333333333333,0.778666666666667,0.884666666666667
"13","bottle_glass_blue",0.596,0.875333333333333,0.654666666666667
"14","bottle_glass_green",0.731333333333333,0.881333333333333,0.598
"15","bottle_glass_clear_original",0.813333333333333,0.748,0.741333333333333
"16","bottle_plastic_blue",0.801333333333333,0.9,0.714
"17","bottle_plastic_green",0.56,0.708,0.878666666666667
"18","bottle_plastic_clear_original",0.986,0.986666666666667,0.784
"19","bowl_glass_blue",0.660666666666667,0.723333333333333,0.892666666666667
"20","bowl_glass_green",0.459333333333333,0.894,0.787333333333333
"21","bowl_glass_clear_original",0.889333333333333,0.889333333333333,0.831333333333333
"22","bowl_metal_blue",0.311333333333333,0.904666666666667,0.68
"23","bowl_metal_green",0.274666666666667,0.753333333333333,0.724666666666667
"24","bowl_metal_silver_original",0.806,0.806,0.954
"25","box_cardboard_blue",0.218666666666667,0.888666666666667,0.698666666666667
"26","box_cardboard_green",0.224,0.689333333333333,0.654
"27","box_cardboard_brown_original",0.992666666666667,0.994,0.895333333333333
"28","box_wood_blue",0.311333333333333,0.711333333333333,0.571333333333333
"29","box_wood_green",0.136666666666667,0.931333333333333,0.528
"30","box_wood_brown_original",0.896,0.844666666666667,0.639333333333333
"31","chair_metal_green",0.221333333333333,0.828,0.745333333333333
"32","chair_metal_silver_original",0.671333333333333,0.73,0.664666666666667
"33","chair_metal_purple",0.294666666666667,0.652666666666667,0.653333333333333
"34","chair_plastic_green",0.375333333333333,0.85,0.698
"35","chair_plastic_blue_original",0.543333333333333,0.693333333333333,0.731333333333333
"36","chair_plastic_purple",0.208,0.876666666666667,0.709333333333333
"37","chair_wood_green",0.296,0.674666666666667,0.730666666666667
"38","chair_wood_brown_original",0.988,0.98,0.894666666666667
"39","chair_wood_purple",0.186,0.883333333333333,0.629333333333333
"40","cup_metal_blue",0.296,0.852,0.566666666666667
"41","cup_metal_green",0.217333333333333,0.697333333333333,0.53
"42","cup_metal_silver_original",0.651333333333333,0.69,0.691333333333333
"43","cup_plastic_blue",0.682,0.806666666666667,0.940666666666667
"44","cup_plastic_green",0.438,0.850666666666667,0.803333333333333
"45","cup_plastic_clear_original",0.955333333333333,0.992666666666667,0.83
"46","jacket_denim_green",0.535333333333333,0.732,0.762
"47","jacket_denim_blue_original",0.932,0.958,0.740666666666667
"48","jacket_denim_purple",0.385333333333333,0.844,0.663333333333333
"49","jacket_leather_green",0.223333333333333,0.834666666666667,0.61
"50","jacket_leather_black_original",0.934666666666667,0.890666666666667,0.722666666666667
"51","jacket_leather_purple",0.444666666666667,0.706666666666667,0.638
"52","pitcher_glass_blue",0.52,0.708,0.828
"53","pitcher_glass_green",0.418666666666667,0.908,0.715333333333333
"54","pitcher_glass_clear_original",0.935333333333333,0.915333333333333,0.842
"55","pitcher_metal_blue",0.35,0.834,0.75
"56","pitcher_metal_green",0.224,0.64,0.661333333333333
"57","pitcher_metal_silver_original",0.680666666666667,0.651333333333333,0.739333333333333
"58","pitcher_plastic_blue",0.591333333333333,0.894666666666667,0.784
"59","pitcher_plastic_green",0.42,0.727333333333333,0.787333333333333
"60","pitcher_plastic_white_original",0.956,0.963333333333333,0.831333333333333
"61","plate_paper_blue",0.425333333333333,0.693333333333333,0.658
"62","plate_paper_green",0.182666666666667,0.847333333333333,0.682
"63","plate_paper_white_original",0.957333333333333,0.922,0.852666666666667
"64","plate_plastic_green",0.308,0.858666666666667,0.721333333333333
"65","plate_plastic_blue_original",0.448,0.781333333333333,0.824666666666667
"66","plate_plastic_pink",0.51,0.759333333333333,0.783333333333333
"67","spoon_metal_blue",0.329333333333333,0.754,0.752666666666667
"68","spoon_metal_green",0.282,0.554,0.568
"69","spoon_metal_silver_original",0.96,0.985333333333333,0.885333333333333
"70","spoon_plastic_blue",0.407333333333333,0.668,0.782666666666667
"71","spoon_plastic_green",0.201333333333333,0.892,0.702666666666667
"72","spoon_plastic_white_original",0.889333333333333,0.878666666666667,0.838
"73","spoon_wood_blue",0.266666666666667,0.817333333333333,0.685333333333333
"74","spoon_wood_green",0.267333333333333,0.698,0.514
"75","spoon_wood_brown_original",0.778666666666667,0.792666666666667,0.876666666666667
"76","table_metal_blue",0.29,0.799333333333333,0.646
"77","table_metal_green",0.259333333333333,0.713333333333333,0.616666666666667
"78","table_metal_silver_original",0.899333333333333,0.966666666666667,0.840666666666667
"79","table_wood_blue",0.282666666666667,0.688,0.688
"80","table_wood_green",0.157333333333333,0.906666666666667,0.696
"81","table_wood_brown_original",0.948666666666667,0.932,0.884666666666667
