"","feature_matching","feature_type","rt","response","correct_color","slide_number_in_experiment","feature","correct_material","workerid","Answer.time_in_minutes","label","item","speaker_cond","gaveRightAnswer","id"
"1","'yes'","material",1120,"'yes'","['blue']","13","['plastic']","['plastic']",0,3.93496666666667,"spoon_plastic_blue","['spoon']","list1",1,4
"2","'yes'","material",1924,"'yes'","['blue']","17","['plastic']","['plastic']",0,3.93496666666667,"bottle_plastic_blue","['bottle']","list1",1,8
"3","'yes'","color",1096,"'yes'","['green']","18","['green']","['glass']",0,3.93496666666667,"bottle_glass_green","['bottle']","list1",1,9
"4","'yes'","material",912,"'yes'","['green']","22","['glass']","['glass']",0,3.93496666666667,"pitcher_glass_green","['pitcher']","list1",1,13
"5","'yes'","color",936,"'yes'","['brown']","23","['brown']","['rubber']",0,3.93496666666667,"boot_rubber_brown","['boot']","list1",1,14
"6","'yes'","color",936,"'yes'","['silver']","24","['silver']","['metal']",0,3.93496666666667,"bowl_metal_original","['bowl']","list1",1,15
"7","'yes'","color",1256,"'yes'","['silver']","26","['silver']","['metal']",0,3.93496666666667,"spoon_metal_original","['spoon']","list1",1,17
"8","'yes'","material",895,"'yes'","['blue']","29","['glass']","['glass']",0,3.93496666666667,"bowl_glass_blue","['bowl']","list1",1,20
"9","'yes'","material",1393,"'yes'","['green']","32","['metal']","['metal']",0,3.93496666666667,"chair_metal_green","['chair']","list1",1,23
"10","'yes'","material",1103,"'yes'","['brown']","34","['paper']","['paper']",0,3.93496666666667,"bag_paper_original","['bag']","list1",1,25
"11","'yes'","material",1088,"'yes'","['white']","37","['paper']","['paper']",0,3.93496666666667,"plate_paper_original","['plate']","list1",1,28
"12","'yes'","color",1128,"'yes'","['blue']","38","['blue']","['wood']",0,3.93496666666667,"box_wood_blue","['box']","list1",1,29
"13","'yes'","color",922,"'yes'","['green']","39","['green']","['plastic']",0,3.93496666666667,"cup_plastic_green","['cup']","list1",1,30
"14","'yes'","color",784,"'yes'","['green']","40","['green']","['metal']",0,3.93496666666667,"table_metal_green","['table']","list1",1,31
"15","'yes'","material",880,"'yes'","['blue']","41","['cardboard']","['cardboard']",0,3.93496666666667,"box_cardboard_blue","['box']","list1",1,32
"16","'yes'","color",895,"'yes'","['purple']","43","['purple']","['leather']",0,3.93496666666667,"jacket_leather_purple","['jacket']","list1",1,34
"17","'yes'","color",900,"'yes'","['purple']","45","['purple']","['denim']",0,3.93496666666667,"jacket_denim_purple","['jacket']","list1",1,36
"18","'yes'","color",939,"'yes'","['blue']","47","['blue']","['paper']",0,3.93496666666667,"bag_paper_blue","['bag']","list1",1,38
"19","'yes'","material",1344,"'yes'","['pink']","50","['plastic']","['plastic']",0,3.93496666666667,"plate_plastic_pink","['plate']","list1",1,41
"20","'yes'","color",1271,"'yes'","['green']","51","['green']","['wood']",0,3.93496666666667,"spoon_wood_green","['spoon']","list1",1,42
"21","'yes'","color",1000,"'yes'","['silver']","52","['silver']","['metal']",0,3.93496666666667,"chair_metal_original","['chair']","list1",1,43
"22","'yes'","color",853,"'yes'","['blue']","56","['blue']","['metal']",0,3.93496666666667,"cup_metal_blue","['cup']","list1",1,47
"23","'yes'","color",792,"'yes'","['purple']","58","['purple']","['wood']",0,3.93496666666667,"chair_wood_purple","['chair']","list1",1,49
"24","'yes'","material",895,"'yes'","['green']","59","['denim']","['denim']",0,3.93496666666667,"jacket_denim_green","['jacket']","list1",1,50
"25","'yes'","material",1055,"'yes'","['white']","62","['plastic']","['plastic']",0,3.93496666666667,"pitcher_plastic_original","['pitcher']","list1",1,53
"26","'yes'","material",824,"'yes'","['silver']","64","['metal']","['metal']",0,3.93496666666667,"cup_metal_original","['cup']","list1",1,55
"27","'yes'","material",1184,"'yes'","['green']","65","['wood']","['wood']",0,3.93496666666667,"chair_wood_green","['chair']","list1",1,56
"28","'yes'","material",984,"'yes'","['green']","66","['plastic']","['plastic']",0,3.93496666666667,"plate_plastic_green","['plate']","list1",1,57
"29","'yes'","material",839,"'yes'","['green']","68","['rubber']","['rubber']",0,3.93496666666667,"boot_rubber_green","['boot']","list1",1,59
"30","'yes'","material",1073,"'yes'","['green']","73","['leather']","['leather']",0,3.93496666666667,"boot_leather_green","['boot']","list1",1,64
"31","'yes'","material",1008,"'yes'","['blue']","74","['wood']","['wood']",0,3.93496666666667,"spoon_wood_blue","['spoon']","list1",1,65
"32","'yes'","color",863,"'yes'","['green']","76","['green']","['plastic']",0,3.93496666666667,"bottle_plastic_green","['bottle']","list1",1,67
"33","'yes'","color",863,"'yes'","['green']","78","['green']","['plastic']",0,3.93496666666667,"bag_plastic_green","['bag']","list1",1,69
"34","'yes'","color",840,"'yes'","['green']","79","['green']","['glass']",0,3.93496666666667,"bowl_glass_green","['bowl']","list1",1,70
"35","'yes'","material",1160,"'yes'","['silver']","82","['metal']","['metal']",0,3.93496666666667,"table_metal_original","['table']","list1",1,73
"36","'yes'","color",1048,"'yes'","['blue']","87","['blue']","['plastic']",0,3.93496666666667,"chair_plastic_original","['chair']","list1",1,78
"37","'yes'","color",1256,"'yes'","['green']","90","['green']","['plastic']",0,3.93496666666667,"pitcher_plastic_green","['pitcher']","list1",1,81
"38","'yes'","color",1197,"'yes'","['green']","10","['green']","['wood']",1,3.75171666666667,"spoon_wood_green","['spoon']","list1",1,82
"39","'yes'","color",967,"'yes'","['green']","11","['green']","['glass']",1,3.75171666666667,"bowl_glass_green","['bowl']","list1",1,83
"40","'yes'","material",871,"'yes'","['pink']","16","['plastic']","['plastic']",1,3.75171666666667,"plate_plastic_pink","['plate']","list1",1,88
"41","'yes'","color",1084,"'yes'","['silver']","17","['silver']","['metal']",1,3.75171666666667,"spoon_metal_original","['spoon']","list1",1,89
"42","'yes'","color",792,"'yes'","['silver']","19","['silver']","['metal']",1,3.75171666666667,"bowl_metal_original","['bowl']","list1",1,91
"43","'yes'","material",812,"'yes'","['blue']","20","['plastic']","['plastic']",1,3.75171666666667,"bottle_plastic_blue","['bottle']","list1",1,92
"44","'yes'","color",1041,"'yes'","['blue']","22","['blue']","['wood']",1,3.75171666666667,"box_wood_blue","['box']","list1",1,94
"45","'yes'","color",1019,"'yes'","['blue']","25","['blue']","['metal']",1,3.75171666666667,"cup_metal_blue","['cup']","list1",1,97
"46","'yes'","color",961,"'yes'","['purple']","26","['purple']","['denim']",1,3.75171666666667,"jacket_denim_purple","['jacket']","list1",1,98
"47","'yes'","material",1023,"'yes'","['white']","27","['paper']","['paper']",1,3.75171666666667,"plate_paper_original","['plate']","list1",1,99
"48","'yes'","color",738,"'yes'","['green']","30","['green']","['glass']",1,3.75171666666667,"bottle_glass_green","['bottle']","list1",1,102
"49","'yes'","material",1100,"'yes'","['green']","31","['wood']","['wood']",1,3.75171666666667,"chair_wood_green","['chair']","list1",1,103
"50","'yes'","color",1120,"'yes'","['purple']","34","['purple']","['leather']",1,3.75171666666667,"jacket_leather_purple","['jacket']","list1",1,106
"51","'yes'","material",920,"'yes'","['brown']","35","['paper']","['paper']",1,3.75171666666667,"bag_paper_original","['bag']","list1",1,107
"52","'yes'","color",894,"'yes'","['silver']","36","['silver']","['metal']",1,3.75171666666667,"chair_metal_original","['chair']","list1",1,108
"53","'yes'","material",863,"'yes'","['silver']","38","['metal']","['metal']",1,3.75171666666667,"table_metal_original","['table']","list1",1,110
"54","'yes'","color",766,"'yes'","['green']","40","['green']","['plastic']",1,3.75171666666667,"bottle_plastic_green","['bottle']","list1",1,112
"55","'yes'","material",1267,"'yes'","['blue']","42","['wood']","['wood']",1,3.75171666666667,"spoon_wood_blue","['spoon']","list1",1,114
"56","'yes'","color",1068,"'yes'","['brown']","48","['brown']","['rubber']",1,3.75171666666667,"boot_rubber_brown","['boot']","list1",1,120
"57","'yes'","material",1975,"'yes'","['white']","52","['plastic']","['plastic']",1,3.75171666666667,"pitcher_plastic_original","['pitcher']","list1",1,124
"58","'yes'","material",835,"'yes'","['silver']","54","['metal']","['metal']",1,3.75171666666667,"cup_metal_original","['cup']","list1",1,126
"59","'yes'","color",1000,"'yes'","['blue']","55","['blue']","['paper']",1,3.75171666666667,"bag_paper_blue","['bag']","list1",1,127
"60","'yes'","material",1233,"'yes'","['green']","56","['plastic']","['plastic']",1,3.75171666666667,"plate_plastic_green","['plate']","list1",1,128
"61","'yes'","material",972,"'yes'","['blue']","57","['plastic']","['plastic']",1,3.75171666666667,"spoon_plastic_blue","['spoon']","list1",1,129
"62","'yes'","color",903,"'yes'","['green']","59","['green']","['plastic']",1,3.75171666666667,"cup_plastic_green","['cup']","list1",1,131
"63","'yes'","material",1575,"'yes'","['green']","60","['metal']","['metal']",1,3.75171666666667,"pitcher_metal_green","['pitcher']","list1",1,132
"64","'yes'","color",838,"'yes'","['green']","61","['green']","['plastic']",1,3.75171666666667,"bag_plastic_green","['bag']","list1",1,133
"65","'yes'","material",1233,"'yes'","['green']","63","['glass']","['glass']",1,3.75171666666667,"pitcher_glass_green","['pitcher']","list1",1,135
"66","'yes'","material",1767,"'yes'","['blue']","64","['glass']","['glass']",1,3.75171666666667,"bowl_glass_blue","['bowl']","list1",1,136
"67","'yes'","material",1078,"'yes'","['green']","67","['leather']","['leather']",1,3.75171666666667,"boot_leather_green","['boot']","list1",1,139
"68","'yes'","color",920,"'yes'","['blue']","70","['blue']","['metal']",1,3.75171666666667,"pitcher_metal_blue","['pitcher']","list1",1,142
"69","'yes'","material",968,"'yes'","['green']","71","['metal']","['metal']",1,3.75171666666667,"spoon_metal_green","['spoon']","list1",1,143
"70","'yes'","color",810,"'yes'","['purple']","73","['purple']","['wood']",1,3.75171666666667,"chair_wood_purple","['chair']","list1",1,145
"71","'yes'","material",1111,"'yes'","['green']","75","['denim']","['denim']",1,3.75171666666667,"jacket_denim_green","['jacket']","list1",1,147
"72","'yes'","material",817,"'yes'","['green']","78","['rubber']","['rubber']",1,3.75171666666667,"boot_rubber_green","['boot']","list1",1,150
"73","'yes'","color",952,"'yes'","['green']","80","['green']","['plastic']",1,3.75171666666667,"pitcher_plastic_green","['pitcher']","list1",1,152
"74","'yes'","material",1183,"'yes'","['blue']","82","['cardboard']","['cardboard']",1,3.75171666666667,"box_cardboard_blue","['box']","list1",1,154
"75","'yes'","color",784,"'yes'","['green']","83","['green']","['metal']",1,3.75171666666667,"table_metal_green","['table']","list1",1,155
"76","'yes'","color",880,"'yes'","['blue']","13","['blue']","['plastic']",3,3.97931666666667,"chair_plastic_original","['chair']","list1",1,247
"77","'yes'","material",816,"'yes'","['blue']","15","['plastic']","['plastic']",3,3.97931666666667,"bottle_plastic_blue","['bottle']","list1",1,249
"78","'yes'","color",936,"'yes'","['purple']","16","['purple']","['wood']",3,3.97931666666667,"chair_wood_purple","['chair']","list1",1,250
"79","'yes'","color",1152,"'yes'","['green']","18","['green']","['plastic']",3,3.97931666666667,"pitcher_plastic_green","['pitcher']","list1",1,252
"80","'yes'","color",912,"'yes'","['blue']","19","['blue']","['metal']",3,3.97931666666667,"pitcher_metal_blue","['pitcher']","list1",1,253
"81","'yes'","material",648,"'yes'","['green']","20","['plastic']","['plastic']",3,3.97931666666667,"plate_plastic_green","['plate']","list1",1,254
