"workerid","correct_answer","feature_type","label","Answer.time_in_minutes","item","feature","slide_number_in_experiment","correct_material","correct_color","response","speaker_cond"
0,"Margaret","","",1.53133333333333,"","","bot_check","","","[0, 'Margaret']","list1"
0,"no","material","p_ball_metal_original",1.53133333333333,"ball","glass","practice_trial","metal","silver","[9, 'yes']","list1"
0,"yes","color","p_door_wood_yellow",1.53133333333333,"door","yellow","practice_trial","wood","yellow","[16, 'yes']","list1"
0,"no","color","p_ruler_metal_blue",1.53133333333333,"bag","red","practice_trial","metal","blue","[132, 'yes']","list1"
0,"yes","material","p_ball_plastic_red",1.53133333333333,"ball","plastic","practice_trial","plastic","red","[101, 'yes']","list1"
0,"no","color","pitcher_plastic_blue",1.53133333333333,"pitcher","purple","10","plastic","blue","[42, 'yes']","list1"
0,"no","material","boot_leather_brown",1.53133333333333,"boot","cardboard","11","leather","brown","[121, 'yes']","list1"
0,"no","material","spoon_plastic_white_original",1.53133333333333,"spoon","glass","12","plastic","white","[24, 'yes']","list1"
0,"yes","material","cup_metal_silver_original",1.53133333333333,"cup","metal","13","metal","silver","[166, 'yes']","list1"
0,"no","material","cup_metal_green",1.53133333333333,"cup","glass","14","metal","green","[89, 'yes']","list1"
0,"no","material","bowl_glass_clear_original",1.53133333333333,"bowl","paper","15","glass","clear","[42, 'yes']","list1"
0,"no","color","jacket_leather_black_original",1.53133333333333,"jacket","pink","16","leather","black","[19, 'yes']","list1"
0,"yes","material","spoon_wood_blue",1.53133333333333,"spoon","wood","17","wood","blue","[222, 'yes']","list1"
0,"yes","material","pitcher_plastic_white_original",1.53133333333333,"pitcher","plastic","18","plastic","white","[157, 'yes']","list1"
0,"no","material","table_metal_blue",1.53133333333333,"table","glass","19","metal","blue","[180, 'no']","list1"
0,"yes","material","pitcher_glass_green",1.53133333333333,"pitcher","glass","20","glass","green","[6, 'no']","list1"
0,"no","material","chair_wood_brown_original",1.53133333333333,"chair","denim","21","wood","brown","[5, 'yes']","list1"
0,"no","material","table_wood_blue",1.53133333333333,"table","rubber","22","wood","blue","[89, 'yes']","list1"
0,"yes","material","pitcher_metal_green",1.53133333333333,"pitcher","metal","23","metal","green","[286, 'yes']","list1"
0,"yes","color","box_wood_blue",1.53133333333333,"box","blue","24","wood","blue","[283, 'yes']","list1"
0,"no","material","pitcher_glass_blue",1.53133333333333,"pitcher","metal","25","glass","blue","[295, 'yes']","list1"
0,"yes","color","chair_plastic_blue_original",1.53133333333333,"chair","blue","26","plastic","blue","[137, 'yes']","list1"
0,"no","color","plate_plastic_blue_original",1.53133333333333,"plate","silver","27","plastic","blue","[160, 'yes']","list1"
0,"yes","material","plate_plastic_green",1.53133333333333,"plate","plastic","28","plastic","green","[173, 'yes']","list1"
0,"yes","color","pitcher_metal_blue",1.53133333333333,"pitcher","blue","29","metal","blue","[234, 'yes']","list1"
0,"no","material","cup_plastic_clear_original",1.53133333333333,"cup","glass","30","plastic","clear","[190, 'yes']","list1"
0,"yes","material","boot_rubber_green",1.53133333333333,"boot","rubber","31","rubber","green","[214, 'yes']","list1"
0,"no","material","box_wood_brown_original",1.53133333333333,"box","rubber","32","wood","brown","[168, 'yes']","list1"
0,"no","color","bowl_metal_blue",1.53133333333333,"bowl","silver","33","metal","blue","[174, 'yes']","list1"
0,"yes","color","bag_plastic_green",1.53133333333333,"bag","green","34","plastic","green","[160, 'no']","list1"
0,"yes","color","pitcher_plastic_green",1.53133333333333,"pitcher","green","35","plastic","green","[5, 'yes']","list1"
0,"no","color","spoon_plastic_green",1.53133333333333,"spoon","clear","36","plastic","green","[162, 'no']","list1"
0,"no","material","spoon_metal_blue",1.53133333333333,"spoon","glass","37","metal","blue","[5, 'yes']","list1"
0,"no","color","bottle_plastic_clear_original",1.53133333333333,"bottle","green","38","plastic","clear","[134, 'no']","list1"
0,"yes","material","boot_leather_green",1.53133333333333,"boot","leather","39","leather","green","[4, 'no']","list1"
0,"no","color","cup_plastic_blue",1.53133333333333,"cup","silver","40","plastic","blue","[5, 'no']","list1"
0,"no","material","table_wood_brown_original",1.53133333333333,"table","glass","41","wood","brown","[5, 'yes']","list1"
0,"no","color","spoon_wood_brown_original",1.53133333333333,"spoon","green","42","wood","brown","[111, 'no']","list1"
0,"no","color","plate_paper_blue",1.53133333333333,"plate","silver","43","paper","blue","[5, 'yes']","list1"
0,"no","color","bottle_glass_blue",1.53133333333333,"bottle","black","44","glass","blue","[6, 'yes']","list1"
0,"yes","color","cup_plastic_green",1.53133333333333,"cup","green","45","plastic","green","[26, 'yes']","list1"
0,"yes","material","jacket_denim_green",1.53133333333333,"jacket","denim","46","denim","green","[149, 'no']","list1"
0,"yes","color","jacket_denim_purple",1.53133333333333,"jacket","purple","47","denim","purple","[5, 'yes']","list1"
