"","slide_number_in_experiment","workerid","correct_color","response","label","feature","correct_answer","feature_type","rt","Answer.time_in_minutes","correct_material","utterance","item","object"
"1","practice_trial",0,"['silver']","[1854, 'no']","p_ball_metal_original","['glass']","['no']","['material']",0,4.21881666666667,"['metal']",0,"['ball']",0
"2","practice_trial",0,"['yellow']","[1887, 'yes']","p_door_wood_yellow","['yellow']","['yes']","['color']",0,4.21881666666667,"['wood']",0,"['door']",0
"3","practice_trial",0,"['blue']","[1457, 'no']","p_ruler_metal_blue","['red']","['no']","['color']",0,4.21881666666667,"['metal']",0,"['bag']",0
"4","practice_trial",0,"['red']","['late', '']","p_ball_plastic_red","['plastic']","['yes']","['material']",0,4.21881666666667,"['plastic']",0,"['ball']",0
"5","10",0,"green","[1423, 'no']","spoon_plastic_green","glass","no","material",0,4.21881666666667,"plastic",0,"spoon",0
"6","11",0,"white","[1406, 'yes']","pitcher_plastic_white_original","white","yes","color",0,4.21881666666667,"plastic",0,"pitcher",0
"7","12",0,"green","[1886, 'no']","chair_plastic_green","clear","no","color",0,4.21881666666667,"plastic",0,"chair",0
"8","13",0,"brown","[1424, 'yes']","bag_paper_brown_original","brown","yes","color",0,4.21881666666667,"paper",0,"bag",0
"9","14",0,"green","[1455, 'no']","box_wood_green","paper","no","material",0,4.21881666666667,"wood",0,"box",0
"10","15",0,"green","[1262, 'yes']","chair_wood_green","green","yes","color",0,4.21881666666667,"wood",0,"chair",0
"11","16",0,"blue","[1215, 'no']","plate_paper_blue","leather","no","material",0,4.21881666666667,"paper",0,"plate",0
"12","17",0,"green","[1743, 'yes']","pitcher_glass_green","green","yes","color",0,4.21881666666667,"glass",0,"pitcher",0
"13","18",0,"blue","[1536, 'no']","pitcher_metal_blue","metal","yes","material",0,4.21881666666667,"metal",0,"pitcher",0
"14","19",0,"blue","[1872, 'no']","table_metal_blue","pink","no","color",0,4.21881666666667,"metal",0,"table",0
"15","20",0,"blue","[1212, 'yes']","bag_paper_blue","paper","yes","material",0,4.21881666666667,"paper",0,"bag",0
"16","21",0,"white","[1441, 'no']","spoon_plastic_white_original","green","no","color",0,4.21881666666667,"plastic",0,"spoon",0
"17","22",0,"green","[1095, 'yes']","jacket_denim_green","green","yes","color",0,4.21881666666667,"denim",0,"jacket",0
"18","23",0,"green","[975, 'yes']","boot_rubber_green","green","yes","color",0,4.21881666666667,"rubber",0,"boot",0
"19","24",0,"blue","[895, 'no']","table_wood_blue","black","no","color",0,4.21881666666667,"wood",0,"table",0
"20","25",0,"clear","[1346, 'no']","bowl_glass_clear_original","pink","no","color",0,4.21881666666667,"glass",0,"bowl",0
"21","26",0,"black","[1712, 'no']","boot_leather_black_original","rubber","no","material",0,4.21881666666667,"leather",0,"boot",0
"22","27",0,"green","[1185, 'yes']","bottle_glass_green","glass","yes","material",0,4.21881666666667,"glass",0,"bottle",0
