"","slide_number_in_experiment","object","workerid","correct_material","item","correct_answer","utterance","label","feature","correct_color","Answer.time_in_minutes","rt","feature_type","response"
"1","practice_trial",0,0,"['metal']","['ball']","['no']",0,"p_ball_metal_original","['glass']","['silver']",2.85381666666667,0,"['material']","[871, 'no']"
"2","practice_trial",0,0,"['wood']","['door']","['yes']",0,"p_door_wood_yellow","['yellow']","['yellow']",2.85381666666667,0,"['color']","[519, 'no']"
"3","practice_trial",0,0,"['metal']","['bag']","['no']",0,"p_ruler_metal_blue","['red']","['blue']",2.85381666666667,0,"['color']","[919, 'yes']"
"4","practice_trial",0,0,"['plastic']","['ball']","['yes']",0,"p_ball_plastic_red","['plastic']","['red']",2.85381666666667,0,"['material']","[503, 'no']"
"5","10",0,0,"wood","spoon","no",0,"spoon_wood_blue","silver","blue",2.85381666666667,0,"color","[774, 'yes']"
"6","11",0,0,"wood","table","yes",0,"table_wood_green","green","green",2.85381666666667,0,"color","[391, 'no']"
"7","12",0,0,"plastic","bag","yes",0,"bag_plastic_white_original","white","white",2.85381666666667,0,"color","[688, 'yes']"
"8","13",0,0,"metal","table","yes",0,"table_metal_blue","metal","blue",2.85381666666667,0,"material","[551, 'yes']"
"9","14",0,0,"cardboard","box","no",0,"box_cardboard_blue","silver","blue",2.85381666666667,0,"color","[664, 'yes']"
"10","15",0,0,"metal","pitcher","no",0,"pitcher_metal_blue","wood","blue",2.85381666666667,0,"material","[1288, 'no']"
"11","16",0,0,"plastic","plate","no",0,"plate_plastic_pink","white","pink",2.85381666666667,0,"color","[1554, 'yes']"
"12","17",0,0,"plastic","bag","no",0,"bag_plastic_green","metal","green",2.85381666666667,0,"material","[1320, 'yes']"
"13","18",0,0,"plastic","cup","yes",0,"cup_plastic_blue","blue","blue",2.85381666666667,0,"color","[1032, 'yes']"
"14","19",0,0,"plastic","chair","yes",0,"chair_plastic_green","plastic","green",2.85381666666667,0,"material","[999, 'no']"
"15","20",0,0,"metal","bowl","yes",0,"bowl_metal_blue","blue","blue",2.85381666666667,0,"color","[1254, 'no']"
"16","21",0,0,"metal","bowl","yes",0,"bowl_metal_green","metal","green",2.85381666666667,0,"material","[1704, 'no']"
"17","22",0,0,"metal","spoon","yes",0,"spoon_metal_blue","metal","blue",2.85381666666667,0,"material","[727, 'yes']"
"18","23",0,0,"glass","bowl","no",0,"bowl_glass_blue","silver","blue",2.85381666666667,0,"color","[1304, 'yes']"
"19","24",0,0,"paper","bag","no",0,"bag_paper_brown_original","black","brown",2.85381666666667,0,"color","[920, 'no']"
