"","rowNum","gameid","roundNum","trialType","targetName","competitorName","notCompetitorName","speakerMessages","UtteranceType","SufficientProperty","RedundantProperty","RedExp3Cat","RedExp2Cat","redundant","clickedobject","clickedcolor","clickedmaterial","clickedoriginal","onlyColorMention","onlyMaterialMention","colormaterialMention","objnameMention","oneMention","theMention","article_Mention","ctrialType"
"1",1,"3232-f",4,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","green spoon","only color","color","material redundant","minimal","not_redundant",0,"spoon","green","wood",NA,1,0,0,1,0,0,0,-0.484104046242775
"2",2,"3232-f",7,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue table","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"3",3,"3232-f",9,"high_difficulty","table_metal_silver_original","table_metal_blue","table_wood_blue","white table","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,1,0,1,1,-0.484104046242775
"4",4,"3232-f",11,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green long table","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"5",5,"3232-f",14,"high_difficulty","boot_leather_green","boot_leather_black_original","boot_rubber_black_original","green shoe","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,0,0,0,0,-0.484104046242775
"6",6,"3232-f",15,"high_difficulty","chair_metal_purple","chair_metal_green","chair_plastic_green","purple chair","only color","color","material redundant","minimal","not_redundant",0,"chair","purple","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"7",7,"3232-f",16,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue plate","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,-0.484104046242775
"8",8,"3232-f",17,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_blue","green plastic bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"9",9,"3232-f",20,"high_difficulty","chair_metal_green","chair_metal_purple","chair_plastic_purple","green chair","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"10",10,"3232-f",22,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","blue plastic plate","color and material","material","color redundant","redundant","redundant",1,"plate","blue","plastic","original",0,0,1,1,0,1,1,0.515895953757225
"11",11,"3232-f",23,"low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_blue","green plastic cup","color and material","material","color redundant","redundant","redundant",1,"cup","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"12",12,"3232-f",25,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink","blue paper plate","color and material","material","color redundant","redundant","redundant",1,"plate","blue","paper",NA,0,0,1,1,0,1,1,0.515895953757225
"13",13,"3232-f",26,"low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original","purple jean jacket","color and material","material","color redundant","redundant","redundant",1,"jacket","purple","denim",NA,0,0,1,1,0,1,1,0.515895953757225
"14",14,"3232-f",27,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_brown_original","long blue table","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,0.515895953757225
"15",15,"3232-f",30,"low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original","blue shiny pitcher","only color","material","color redundant","underinformative","not_redundant",0,"pitcher","blue","metal",NA,1,0,0,1,0,0,0,0.515895953757225
"16",16,"3232-f",31,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_blue","green glass bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,1,0,1,1,0.515895953757225
"17",17,"2053-a",2,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_white_original","Plate that's a darker shade of blue","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","plastic","original",1,0,0,1,0,1,1,0.515895953757225
"18",18,"2053-a",7,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green table","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"19",19,"2053-a",9,"high_difficulty","boot_leather_green","boot_leather_brown","boot_rubber_brown","green boot","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,1,0,0,0,-0.484104046242775
"20",20,"2053-a",10,"high_difficulty","chair_metal_green","chair_metal_purple","chair_wood_purple","green chair","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"21",21,"2053-a",12,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","glass green bottle with metal clasp top","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,1,0,1,1,0.515895953757225
"22",22,"2053-a",14,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue table","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"23",23,"2053-a",16,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_metal_blue","green wooden spoon","color and material","color","material redundant","redundant","redundant",1,"spoon","green","wood",NA,0,0,1,1,0,0,0,-0.484104046242775
"24",24,"2053-a",18,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green","blue plate that's a lighter shade of blue","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,0.515895953757225
"25",25,"2053-a",19,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue plate","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,-0.484104046242775
"26",26,"2053-a",21,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original","plastic green bottle with plastic screw top ","color and material","material","color redundant","redundant","redundant",1,"bottle","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"27",27,"2053-a",22,"low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original","blue pitcher with curved handle, looks like metal and handle connects to pitcher","color and material","material","color redundant","redundant","redundant",1,"pitcher","blue","metal",NA,0,0,1,1,0,1,1,0.515895953757225
"28",28,"2053-a",24,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_green","larger blue table","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,0.515895953757225
"29",29,"2053-a",26,"high_difficulty","table_metal_silver_original","table_metal_green","table_wood_green","silver table","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,1,0,1,1,-0.484104046242775
"30",30,"4376-9",2,"high_difficulty","boot_leather_green","boot_leather_black_original","boot_rubber_black_original","Green boot","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,1,0,0,0,-0.484104046242775
"31",31,"4376-9",5,"low_difficulty","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_green","shiny blue vase","only color","material","color redundant","underinformative","not_redundant",0,"pitcher","blue","metal",NA,1,0,0,0,0,1,1,0.515895953757225
"32",32,"4376-9",6,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green","light blue plate","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,0.515895953757225
"33",33,"4376-9",12,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_brown_original","long blue table","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,0.515895953757225
"34",34,"4376-9",15,"low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_green","denim jacket","only material","material","color redundant","minimal","not_redundant",0,"jacket","purple","denim",NA,0,1,0,1,0,1,1,0.515895953757225
"35",35,"4376-9",16,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue table","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"36",36,"4376-9",17,"high_difficulty","chair_metal_purple","chair_metal_green","chair_plastic_green","purple chair","only color","color","material redundant","minimal","not_redundant",0,"chair","purple","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"37",37,"4376-9",20,"high_difficulty","chair_metal_green","chair_metal_purple","chair_wood_purple","green chair","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"38",38,"4376-9",21,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original","plastic bottle","only material","material","color redundant","minimal","not_redundant",0,"bottle","green","plastic",NA,0,1,0,1,0,1,1,0.515895953757225
"39",39,"4376-9",24,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","green spoon","only color","color","material redundant","minimal","not_redundant",0,"spoon","green","wood",NA,1,0,0,1,0,0,0,-0.484104046242775
"40",40,"4376-9",25,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green table","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"41",41,"4376-9",29,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue plate","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,-0.484104046242775
"42",42,"4376-9",31,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","dark blue plate","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","plastic","original",1,0,0,1,0,1,1,0.515895953757225
"43",43,"4376-9",32,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","green glass bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,1,0,1,1,0.515895953757225
"44",44,"8573-e",2,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","green spoon","only color","color","material redundant","minimal","not_redundant",0,"spoon","green","wood",NA,1,0,0,1,0,0,0,-0.484104046242775
"45",45,"8573-e",3,"high_difficulty","chair_metal_green","chair_metal_purple","chair_wood_purple","green chair","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"46",46,"8573-e",7,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green table","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"47",47,"8573-e",9,"low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_blue","green plastic cup","color and material","material","color redundant","redundant","redundant",1,"cup","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"48",48,"8573-e",10,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","green glass bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,1,0,1,1,0.515895953757225
"49",49,"8573-e",11,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_green","big blue table","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,0.515895953757225
"50",50,"8573-e",12,"high_difficulty","chair_metal_purple","chair_metal_green","chair_plastic_green","purple chair","only color","color","material redundant","minimal","not_redundant",0,"chair","purple","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"51",51,"8573-e",14,"high_difficulty","boot_leather_green","boot_leather_brown","boot_rubber_brown","green boot","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,1,0,0,0,-0.484104046242775
"52",52,"8573-e",17,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue table","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"53",53,"8573-e",18,"high_difficulty","table_metal_silver_original","table_metal_blue","table_wood_blue","grey table","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,1,0,1,1,-0.484104046242775
"54",54,"8573-e",19,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_blue","green plastic bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"55",55,"8573-e",20,"low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_green","purple non-shiny shirt","only color","material","color redundant","underinformative","not_redundant",0,"jacket","purple","denim",NA,1,0,0,0,0,0,0,0.515895953757225
"56",56,"8573-e",22,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,0,0,0,0,-0.484104046242775
"57",57,"8573-e",31,"low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_green","blue metal pitcher","color and material","material","color redundant","redundant","redundant",1,"pitcher","blue","metal",NA,0,0,1,1,0,1,1,0.515895953757225
"58",58,"8573-e",32,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_white_original","blue plastic plate","color and material","material","color redundant","redundant","redundant",1,"plate","blue","plastic","original",0,0,1,1,0,1,1,0.515895953757225
"59",59,"5270-b",2,"high_difficulty","chair_metal_green","chair_metal_purple","chair_wood_purple","green","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"60",60,"5270-b",4,"low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_blue","green tall","only color","material","color redundant","underinformative","not_redundant",0,"cup","green","plastic",NA,1,0,0,0,0,1,1,0.515895953757225
"61",61,"5270-b",8,"high_difficulty","table_metal_silver_original","table_metal_green","table_wood_green","non green","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,0,0,0,0,-0.484104046242775
"62",62,"5270-b",10,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_metal_blue","green","only color","color","material redundant","minimal","not_redundant",0,"spoon","green","wood",NA,1,0,0,0,0,0,0,-0.484104046242775
"63",63,"5270-b",11,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_green","dark blue","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,0,0,1,1,0.515895953757225
"64",64,"5270-b",12,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink","light blue","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","paper",NA,1,0,0,0,0,0,0,0.515895953757225
"65",65,"5270-b",13,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"66",66,"5270-b",15,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_white_original","dark blue","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","plastic","original",1,0,0,0,0,1,1,0.515895953757225
"67",67,"5270-b",16,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"68",68,"5270-b",18,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","dark green","only color","material","color redundant","underinformative","not_redundant",0,"bottle","green","glass",NA,1,0,0,0,0,1,1,0.515895953757225
"69",69,"5270-b",19,"low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original","dark blue","only color","material","color redundant","underinformative","not_redundant",0,"pitcher","blue","metal",NA,1,0,0,0,0,1,1,0.515895953757225
"70",70,"5270-b",21,"high_difficulty","chair_metal_purple","chair_metal_green","chair_wood_green","non green","only color","color","material redundant","minimal","not_redundant",0,"chair","purple","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"71",71,"5270-b",22,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original","light green","only color","material","color redundant","underinformative","not_redundant",0,"bottle","green","plastic",NA,1,0,0,0,0,0,0,0.515895953757225
"72",72,"5270-b",30,"high_difficulty","boot_leather_green","boot_leather_brown","boot_rubber_brown","green","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,0,0,0,0,-0.484104046242775
"73",73,"5270-b",31,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","non green","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,0,0,0,0,-0.484104046242775
"74",74,"5178-c",1,"low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_blue","hello___i see a green, plastic cup","color and material","material","color redundant","redundant","redundant",1,"cup","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"75",75,"5178-c",2,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green","blue plate with ridges","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,0.515895953757225
"76",76,"5178-c",4,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue rectangular table","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"77",77,"5178-c",6,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","green glass bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,1,0,1,1,0.515895953757225
"78",78,"5178-c",7,"high_difficulty","chair_metal_purple","chair_metal_green","chair_wood_green","purple metal chair","color and material","color","material redundant","redundant","redundant",1,"chair","purple","metal",NA,0,0,1,1,0,1,1,-0.484104046242775
"79",79,"5178-c",8,"low_difficulty","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_clear_original","blue metal pitcher","color and material","material","color redundant","redundant","redundant",1,"pitcher","blue","metal",NA,0,0,1,1,0,1,1,0.515895953757225
"80",80,"5178-c",10,"low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original","purple jean jacket","color and material","material","color redundant","redundant","redundant",1,"jacket","purple","denim",NA,0,0,1,1,0,1,1,0.515895953757225
"81",81,"5178-c",12,"high_difficulty","chair_metal_green","chair_metal_purple","chair_plastic_purple","green metal chair","color and material","color","material redundant","redundant","redundant",1,"chair","green","metal",NA,0,0,1,1,0,1,1,-0.484104046242775
"82",82,"5178-c",15,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_green","blue rectangular table","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,1,0,1,1,0.515895953757225
"83",83,"5178-c",17,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue ridged plate","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,-0.484104046242775
"84",84,"5178-c",18,"high_difficulty","boot_leather_green","boot_leather_black_original","boot_rubber_black_original","bright green boot","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,1,0,0,0,-0.484104046242775
