gameid,time,roundNum,sender,contents
9135-8,1592856572786,1,speaker,"A blue ball"
9135-8,1592856594256,2,speaker,"A green bag"
9135-8,1592856612428,3,speaker,"The blue plate"
9135-8,1592856631494,4,speaker,"The blue bowl"
9135-8,1592856648486,5,speaker,"the green spoon"
9135-8,1592856668514,6,speaker,"The green boot"
9135-8,1592856681806,7,speaker,"the door"
9135-8,1592856706300,8,speaker,"the denim jacket"
9135-8,1592856719790,9,speaker,"ball"
9135-8,1592856732332,10,speaker,"bowl"
9135-8,1592856747397,11,speaker,"flower vase"
9135-8,1592856762275,12,speaker,"blue bag"
9135-8,1592856795981,13,speaker,"the plain colored table"
9135-8,1592856823425,14,speaker,"the bright blue jug"
9135-8,1592856836017,15,speaker,"ruler"
9135-8,1592856847210,16,speaker,"box"
9135-8,1592856858520,17,speaker,"bowl"
9135-8,1592856880303,18,speaker,"green plastic bottle"
9135-8,1592856897528,19,speaker,"glass bottle"
9135-8,1592856929308,20,speaker,"sky blue plate"
9135-8,1592856943688,21,speaker,"flower vase"
9135-8,1592856958356,22,speaker,"green box"
9135-8,1592856980053,23,speaker,"purple chair"
9135-8,1592856990308,24,speaker,"door"
9135-8,1592857002592,25,speaker,"ruler"
9135-8,1592857059173,26,speaker,"green disposable cup "
9135-8,1592857074709,27,speaker,"blue table"
9135-8,1592857131177,28,speaker,"blue medical table"
9135-8,1592857161137,29,speaker,"the darker blue plate"
9135-8,1592857175777,30,speaker,"ball"
9135-8,1592857189257,31,speaker,"green chair"
9135-8,1592857204585,32,speaker,"green long table"
