"workerid","proliferate.condition","age","asses","color","comments","education","enjoyment","gender","language","error","speaker_cond"
1275,"list1",31,"Yes","No","",4,2,"Female","English",NA,"batch1"
1483,"list1",37,"Yes","No","",0,1,"Male","English",NA,"batch1"
1396,"list1",21,"Yes","No","",2,1,"Female","English",NA,"batch1"
1423,"list1",35,"Yes","No","",3,1,"Male","English",NA,"batch1"
1231,"list1",30,"Yes","No","Was a fun experiment I suppose.",1,1,"Male","English",NA,"batch1"
1157,"list1",49,"Yes","No","",3,1,"Female","English",NA,"batch1"
1484,"list1",40,"Yes","No","Since we read left to right, it would have been better to see yes on the left and no on the right. I believe we're wired more for that. It takes more effort the other way.",3,1,"Female","English",NA,"batch1"
1513,"list1",28,"Yes","No","",2,1,"Male","English",NA,"batch1"
1454,"list1",38,"Yes","No","",3,2,"Male","English",NA,"batch1"
1292,"list1",47,"Yes","No","There were a couple where I was trying to work quickly and realized I hit the wrong button after. Also, hitting space in between makes it hard to get into a good rhythm. I wonder how subjects would perform without it.",3,2,"Female","English",NA,"batch1"
1474,"list1",36,"Yes","No","",3,2,"Female","English ",NA,"batch1"
1284,"list1",37,"Yes","No","",2,1,"Female","english",NA,"batch1"
1193,"list1",30,"Yes","No","good survey",3,1,"Male","english",NA,"batch1"
1147,"list1",19,"Yes","No","",2,1,"Male","English",NA,"batch1"
1201,"list1",22,"Yes","No","",2,1,"Female","English",NA,"batch1"
1415,"list1",23,"Yes","No","",2,2,"Female","English",NA,"batch1"
1172,"list1",34,"Yes","No","it would have been easier if i just had to hit y for yes and n for no
",4,1,"Female","English",NA,"batch1"
1301,"list1",28,"Yes","No","",4,1,"Female","English",NA,"batch1"
1139,"list1",59,"Yes","No","When it asked if there were two plastic items and there were 3 shown, I answered yes because even though there were 3 if was also correct that there were 2. I just used the above as an example. If my thinking was incorrect, I may have gotten a few wrong.",3,1,"Female","English",NA,"batch1"
1342,"list1",38,"Yes","No","",3,2,"Male","English",NA,"batch1"
1521,"list1",31,"Yes","No","",4,0,"Male","English",NA,"batch1"
1309,"list1",20,"Yes","No","",1,2,"Male","English",NA,"batch1"
1538,"list1",42,"Yes","No","",3,2,"Male","english",NA,"batch1"
1317,"list1",45,"Yes","No","",3,1,"Male","English",NA,"batch1"
1324,"list1",32,"Yes","No","no comment, thanks!",3,2,"Female","English",NA,"batch1"
1499,"list1",34,"Yes","No","",4,2,"Female","English",NA,"batch1"
1379,"list1",29,"Yes","No","very good study",3,2,"Male","English",NA,"batch1"
1217,"list1",41,"Yes","No","",2,2,"Male","English",NA,"batch1"
1225,"list1",31,"Yes","No","none",3,2,"Female","English",NA,"batch1"
1404,"list1",38,"Yes","No","",3,1,"Male","English",NA,"batch1"
1333,"list1",50,"Yes","No","",3,2,"Female","English",NA,"batch1"
1132,"list1",20,"Yes","No","",2,1,"Male","Chinese, English",NA,"batch1"
1168,"list1",39,"Yes","No","",2,1,"Male","English",NA,"batch1"
1531,"list1",61,"Yes","No","",2,2,"Male","ENGLISH",NA,"batch1"
1241,"list1",57,"Yes","No","",4,2,"Female","english",NA,"batch1"
1258,"list1",49,"Yes","No","",2,2,"Male","English",NA,"batch1"
1503,"list1",72,"Yes","No","",4,1,"Female","English",NA,"batch1"
1209,"list1",33,"Yes","No","",4,2,"Female","English",NA,"batch1"
1427,"list1",48,"Yes","No","",3,1,"Male","English",NA,"batch1"
1380,"list1",50,"Yes","No","",2,1,"Female","english",NA,"batch1"
1556,"list1",19,"Yes","No","",1,1,"Male","english",NA,"batch1"
