"age","asses","workerid","gender","comments","enjoyment","language","education","speaker_cond"
32,"Yes",0,"Male","One image didn't load properly.",1,"English, Spanish",3,"list1"
37,"No",1,"Female","one of the images didn't load ",1,"english",3,"list1"
38,"Yes",2,"Male","3rd picture didnt load",1,"english",2,"list1"
33,"Yes",3,"Male","One of the pictures did not load, and I indicated this in the boxes. Thank you.",1,"English",2,"list1"
39,"Yes",4,"Male","",1,"English",1,"list1"
29,"No",5,"Female","",1,"English",3,"list1"
48,"Yes",6,"Male","",1,"English",3,"list1"
23,"Yes",7,"Male","",1,"English",1,"list1"
47,"Yes",8,"Male","",2,"Engish",2,"list1"
33,"Yes",9,"Male","first image did not load",1,"english",1,"list1"
31,"Yes",10,"Male","Thank you for giving me the opportunity to participate in this study. Also, one of the images didn't load and I noted it in both boxes.",2,"English",3,"list1"
29,"Yes",11,"Male","One image didn't load correctly.",2,"Cantonese",3,"list1"
25,"Yes",12,"Male","One of the images was broken/invalid, so I put ""broken image"" for each of the two fields.",2,"English",2,"list1"
30,"Yes",13,"Male","The last image did not load.",1,"English",3,"list1"
26,"Yes",14,"Male","One of the images was broken so I wasn't able to describe it.",2,"English",1,"list1"
44,"Yes",15,"Female","",1,"English",3,"list2"
32,"Yes",16,"Male","",1,"English",2,"list2"
30,"Yes",17,"Female","fun study",2,"English",1,"list2"
33,"Yes",18,"Female","",1,"English",3,"list2"
29,"Yes",19,"Male","It was a straight forward HIT.",1,"English",3,"list2"
45,"Yes",20,"Female","",2,"English",3,"list2"
35,"Yes",21,"Male","",2,"English",3,"list2"
46,"Yes",22,"Female","",1,"English",2,"list2"
33,"Yes",23,"Female","",1,"english",1,"list2"
32,"Yes",24,"Male","",1,"English",3,"list2"
25,"Yes",25,"Male","",1,"United States",2,"list2"
54,"Yes",26,"Female","",2,"English",4,"list2"
48,"Yes",27,"Female","",2,"english",2,"list2"
22,"Yes",28,"Male","",1,"English",3,"list2"
37,"Yes",29,"Male","",1,"english",4,"list2"
26,"Yes",30,"Female","",1,"English",3,"list3"
23,"Yes",31,"Male","",1,"english",2,"list3"
36,"Yes",32,"Female","",1,"English",3,"list3"
35,"Yes",33,"Male","",1,"English",4,"list3"
441,"Yes",34,"Female","",1,"English",3,"list3"
47,"Yes",35,"Male","",1,"english",3,"list3"
36,"Yes",36,"Male","I was mildly confused 'cause the pre-instructions didn't match the secondary instructions.",2,"English",1,"list3"
24,"Yes",37,"Male","",1,"English",3,"list3"
58,"Yes",38,"Female","Please pay me, I hope that wasn't a trick question",2,"english",2,"list3"
34,"Yes",39,"Female","Thank you",2,"english",2,"list3"
55,"Yes",40,"Female","",2,"English",1,"list3"
59,"Yes",41,"Male","None",2,"English",4,"list3"
26,"Yes",42,"Male","",1,"English",3,"list3"
37,"Yes",43,"Male","very intersting experiment would love to do more like this.",2,"english",1,"list3"
21,"Yes",44,"Female","",1,"english",2,"list3"
