"education","workerid","age","color","comments","asses","enjoyment","language","gender","speaker_cond"
2,0,65,"No","","Yes",2,"English","Female","list1"
3,1,58,"No","","Yes",2,"English","Female","list1"
2,2,48,"No","none","Yes",2,"english","Female","list1"
1,3,47,"No","","Yes",1,"English","Male","list1"
3,4,27,"No","","Yes",2,"English","Male","list1"
2,5,31,"No","Everything went well. Thank you!","Yes",2,"English","Female","list1"
2,6,45,"No","","Yes",2,"United Staenglishtes","Female","list1"
3,7,45,"No","","Yes",2,"english","Male","list1"
2,8,30,"No","good","Yes",1,"english","Male","list1"
3,9,31,"No","It was very interesting and I enjoyed completing it!","Yes",2,"English","Male","list1"
2,10,44,"No","Thanks for the HIT!  I did my best and hope the data is useful!","Yes",2,"English","Male","list2"
1,11,44,"No","none","Yes",2,"English","Male","list2"
3,12,37,"No","","Yes",2,"English","Female","list2"
3,13,45,"No","I enjoyed the experiment and thought it was interesting.","Yes",2,"English","Female","list2"
3,14,51,"No","Thank you","Yes",2,"English","Male","list2"
3,15,38,"Yes","","Yes",1,"English","Male","list2"
3,16,32,"No","good study","Yes",2,"English","Male","list2"
3,17,37,"No","","Yes",2,"English","Female","list2"
3,18,25,"No","","Yes",2,"English","Male","list2"
2,19,41,"No","none","Yes",2,"English","Male","list2"
3,20,26,"No","","Yes",2,"english","Male","list3"
4,21,58,"No","","Yes",2,"English","Female","list3"
3,22,32,"No","","Yes",2,"english","Female","list3"
3,23,51,"No","I was going too fast and kept mistakenly pushing the wrong button.","Yes",2,"english","Female","list3"
2,24,31,"No","","Yes",2,"English","Male","list3"
2,25,28,"No","good","Yes",1,"English","Male","list3"
3,26,31,"No","NICE","Yes",2,"ENGLISH","Female","list3"
3,27,32,"No","","Yes",1,"English","Male","list3"
3,28,58,"No","It was interesting.","Yes",2,"English","Female","list3"
2,29,24,"No","","Yes",2,"English","Male","list3"
3,30,42,"No","","Yes",2,"English","Male","list4"
2,31,41,"No","","Yes",2,"english","Female","list4"
2,32,32,"No","","Yes",2,"English","Male","list4"
2,33,31,"No","nope ","Yes",2,"english ","Female","list4"
4,34,64,"No","","No",1,"English","Male","list4"
2,35,45,"No","","Yes",1,"english","Female","list4"
3,36,35,"No","fun","Yes",2,"english","Male","list4"
4,37,41,"No","","Yes",2,"ENGLISH","Male","list4"
3,38,65,"No","no comments","Yes",1,"English","Male","list4"
3,39,37,"No","","Yes",1,"English","Male","list4"
