"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"bot_check","",0,"","Susan","","bot_check","","","Susan",0,3.93496666666667,"","","list1"
"","['no']",NA,"['material']","[1832, 'no']","['silver']","practice_trial","['glass']","['metal']","",0,3.93496666666667,"ball_metal_original","['ball']","list1"
"","['yes']",NA,"['color']","[1592, 'yes']","['yellow']","practice_trial","['yellow']","['wood']","",0,3.93496666666667,"door_wood_yellow","['door']","list1"
"","['no']",NA,"['color']","[1048, 'no']","['blue']","practice_trial","['red']","['metal']","",0,3.93496666666667,"ruler_metal_blue","['bag']","list1"
"","['yes']",NA,"['material']","[1448, 'yes']","['red']","practice_trial","['plastic']","['plastic']","",0,3.93496666666667,"ball_plastic_red","['ball']","list1"
"","['no']",NA,"['color']","[1200, 'no']","['clear']","10","['black']","['glass']","",0,3.93496666666667,"pitcher_glass_original","['pitcher']","list1"
"","['no']",NA,"['color']","[1103, 'no']","['blue']","11","['purple']","['metal']","",0,3.93496666666667,"bowl_metal_blue","['bowl']","list1"
"","['no']",NA,"['color']","[1117, 'no']","['blue']","12","['silver']","['plastic']","",0,3.93496666666667,"cup_plastic_blue","['cup']","list1"
"","['yes']",NA,"['material']","[1120, 'yes']","['blue']","13","['plastic']","['plastic']","",0,3.93496666666667,"spoon_plastic_blue","['spoon']","list1"
"","['yes']",NA,"['color']","['Late', '']","['blue']","14","['blue']","['metal']","",0,3.93496666666667,"pitcher_metal_blue","['pitcher']","list1"
"","['no']",NA,"['material']","[1856, 'no']","['clear']","15","['cardboard']","['glass']","",0,3.93496666666667,"bowl_glass_original","['bowl']","list1"
"","['no']",NA,"['color']","['Late', 'no']","['blue']","16","['clear']","['paper']","",0,3.93496666666667,"plate_paper_blue","['plate']","list1"
"","['yes']",NA,"['material']","[1924, 'yes']","['blue']","17","['plastic']","['plastic']","",0,3.93496666666667,"bottle_plastic_blue","['bottle']","list1"
"","['yes']",NA,"['color']","[1096, 'yes']","['green']","18","['green']","['glass']","",0,3.93496666666667,"bottle_glass_green","['bottle']","list1"
"","['no']",NA,"['material']","[1040, 'no']","['clear']","19","['metal']","['plastic']","",0,3.93496666666667,"cup_plastic_original","['cup']","list1"
"","['no']",NA,"['color']","[991, 'no']","['blue']","20","['silver']","['glass']","",0,3.93496666666667,"bottle_glass_blue","['bottle']","list1"
"","['no']",NA,"['material']","[857, 'no']","['brown']","21","['cardboard']","['wood']","",0,3.93496666666667,"chair_wood_original","['chair']","list1"
"","['yes']",NA,"['material']","[912, 'yes']","['green']","22","['glass']","['glass']","",0,3.93496666666667,"pitcher_glass_green","['pitcher']","list1"
"","['yes']",NA,"['color']","[936, 'yes']","['brown']","23","['brown']","['rubber']","",0,3.93496666666667,"boot_rubber_brown","['boot']","list1"
"","['yes']",NA,"['color']","[936, 'yes']","['silver']","24","['silver']","['metal']","",0,3.93496666666667,"bowl_metal_original","['bowl']","list1"
"","['no']",NA,"['color']","[952, 'no']","['blue']","25","['green']","['plastic']","",0,3.93496666666667,"pitcher_plastic_blue","['pitcher']","list1"
"","['yes']",NA,"['color']","[1256, 'yes']","['silver']","26","['silver']","['metal']","",0,3.93496666666667,"spoon_metal_original","['spoon']","list1"
"","['no']",NA,"['material']","[960, 'no']","['blue']","27","['plastic']","['glass']","",0,3.93496666666667,"pitcher_glass_blue","['pitcher']","list1"
"","['no']",NA,"['material']","[1191, 'no']","['brown']","28","['leather']","['cardboard']","",0,3.93496666666667,"box_cardboard_original","['box']","list1"
"","['yes']",NA,"['material']","[895, 'yes']","['blue']","29","['glass']","['glass']","",0,3.93496666666667,"bowl_glass_blue","['bowl']","list1"
"","['no']",NA,"['color']","[895, 'no']","['clear']","30","['green']","['plastic']","",0,3.93496666666667,"bottle_plastic_original","['bottle']","list1"
"","['no']",NA,"['color']","[1009, 'no']","['black']","31","['clear']","['leather']","",0,3.93496666666667,"jacket_leather_original","['jacket']","list1"
"","['yes']",NA,"['material']","[1393, 'yes']","['green']","32","['metal']","['metal']","",0,3.93496666666667,"chair_metal_green","['chair']","list1"
"","['no']",NA,"['color']","[1216, 'no']","['purple']","33","['red']","['plastic']","",0,3.93496666666667,"chair_plastic_purple","['chair']","list1"
"","['yes']",NA,"['material']","[1103, 'yes']","['brown']","34","['paper']","['paper']","",0,3.93496666666667,"bag_paper_original","['bag']","list1"
"","['no']",NA,"['color']","[999, 'no']","['green']","35","['pink']","['plastic']","",0,3.93496666666667,"spoon_plastic_green","['spoon']","list1"
"","['no']",NA,"['color']","[1015, 'no']","['green']","36","['red']","['cardboard']","",0,3.93496666666667,"box_cardboard_green","['box']","list1"
"","['yes']",NA,"['material']","[1088, 'yes']","['white']","37","['paper']","['paper']","",0,3.93496666666667,"plate_paper_original","['plate']","list1"
"","['yes']",NA,"['color']","[1128, 'yes']","['blue']","38","['blue']","['wood']","",0,3.93496666666667,"box_wood_blue","['box']","list1"
"","['yes']",NA,"['color']","[922, 'yes']","['green']","39","['green']","['plastic']","",0,3.93496666666667,"cup_plastic_green","['cup']","list1"
"","['yes']",NA,"['color']","[784, 'yes']","['green']","40","['green']","['metal']","",0,3.93496666666667,"table_metal_green","['table']","list1"
"","['yes']",NA,"['material']","[880, 'yes']","['blue']","41","['cardboard']","['cardboard']","",0,3.93496666666667,"box_cardboard_blue","['box']","list1"
"","['no']",NA,"['color']","[800, 'no']","['black']","42","['red']","['leather']","",0,3.93496666666667,"boot_leather_original","['boot']","list1"
"","['yes']",NA,"['color']","[895, 'yes']","['purple']","43","['purple']","['leather']","",0,3.93496666666667,"jacket_leather_purple","['jacket']","list1"
"","['no']",NA,"['color']","[849, 'no']","['green']","44","['blue']","['wood']","",0,3.93496666666667,"table_wood_green","['table']","list1"
"","['yes']",NA,"['color']","[900, 'yes']","['purple']","45","['purple']","['denim']","",0,3.93496666666667,"jacket_denim_purple","['jacket']","list1"
"","['no']",NA,"['color']","[1154, 'no']","['white']","46","['brown']","['plastic']","",0,3.93496666666667,"bag_plastic_original","['bag']","list1"
"","['yes']",NA,"['color']","[939, 'yes']","['blue']","47","['blue']","['paper']","",0,3.93496666666667,"bag_paper_blue","['bag']","list1"
"","['no']",NA,"['material']","[863, 'no']","['blue']","48","['leather']","['wood']","",0,3.93496666666667,"table_wood_blue","['table']","list1"
"","['no']",NA,"['color']","[1239, 'no']","['blue']","49","['clear']","['denim']","",0,3.93496666666667,"jacket_denim_original","['jacket']","list1"
"","['yes']",NA,"['material']","[1344, 'yes']","['pink']","50","['plastic']","['plastic']","",0,3.93496666666667,"plate_plastic_pink","['plate']","list1"
"","['yes']",NA,"['color']","[1271, 'yes']","['green']","51","['green']","['wood']","",0,3.93496666666667,"spoon_wood_green","['spoon']","list1"
"","['yes']",NA,"['color']","[1000, 'yes']","['silver']","52","['silver']","['metal']","",0,3.93496666666667,"chair_metal_original","['chair']","list1"
"","['yes']",NA,"['material']","[1537, 'no']","['green']","53","['metal']","['metal']","",0,3.93496666666667,"spoon_metal_green","['spoon']","list1"
"","['no']",NA,"['color']","[1120, 'no']","['blue']","54","['clear']","['plastic']","",0,3.93496666666667,"plate_plastic_original","['plate']","list1"
"","['no']",NA,"['material']","[1264, 'no']","['silver']","55","['leather']","['metal']","",0,3.93496666666667,"pitcher_metal_original","['pitcher']","list1"
"","['yes']",NA,"['color']","[853, 'yes']","['blue']","56","['blue']","['metal']","",0,3.93496666666667,"cup_metal_blue","['cup']","list1"
"","['no']",NA,"['color']","[776, 'no']","['green']","57","['purple']","['paper']","",0,3.93496666666667,"bag_paper_green","['bag']","list1"
"","['yes']",NA,"['color']","[792, 'yes']","['purple']","58","['purple']","['wood']","",0,3.93496666666667,"chair_wood_purple","['chair']","list1"
"","['yes']",NA,"['material']","[895, 'yes']","['green']","59","['denim']","['denim']","",0,3.93496666666667,"jacket_denim_green","['jacket']","list1"
"","['no']",NA,"['material']","[1119, 'no']","['blue']","60","['paper']","['metal']","",0,3.93496666666667,"spoon_metal_blue","['spoon']","list1"
"","['no']",NA,"['material']","[897, 'no']","['blue']","61","['leather']","['metal']","",0,3.93496666666667,"table_metal_blue","['table']","list1"
"","['yes']",NA,"['material']","[1055, 'yes']","['white']","62","['plastic']","['plastic']","",0,3.93496666666667,"pitcher_plastic_original","['pitcher']","list1"
"","['no']",NA,"['material']","['Late', '']","['green']","63","['glass']","['paper']","",0,3.93496666666667,"plate_paper_green","['plate']","list1"
"","['yes']",NA,"['material']","[824, 'yes']","['silver']","64","['metal']","['metal']","",0,3.93496666666667,"cup_metal_original","['cup']","list1"
"","['yes']",NA,"['material']","[1184, 'yes']","['green']","65","['wood']","['wood']","",0,3.93496666666667,"chair_wood_green","['chair']","list1"
"","['yes']",NA,"['material']","[984, 'yes']","['green']","66","['plastic']","['plastic']","",0,3.93496666666667,"plate_plastic_green","['plate']","list1"
"","['no']",NA,"['material']","[831, 'no']","['brown']","67","['plastic']","['wood']","",0,3.93496666666667,"table_wood_original","['table']","list1"
"","['yes']",NA,"['material']","[839, 'yes']","['green']","68","['rubber']","['rubber']","",0,3.93496666666667,"boot_rubber_green","['boot']","list1"
"","['no']",NA,"['material']","[968, 'no']","['clear']","69","['plastic']","['glass']","",0,3.93496666666667,"bottle_glass_original","['bottle']","list1"
"","['no']",NA,"['color']","[921, 'no']","['purple']","70","['silver']","['metal']","",0,3.93496666666667,"chair_metal_purple","['chair']","list1"
"","['no']",NA,"['material']","[889, 'no']","['white']","71","['denim']","['plastic']","",0,3.93496666666667,"spoon_plastic_original","['spoon']","list1"
