"asses","language","gender","comments","education","workerid","age","enjoyment","color","speaker_cond"
"Yes","english","Female","",1,0,33,2,"No","list1"
"Yes","English","Female","Interesting experiment",2,1,54,2,"No","list1"
"Yes","english","Female","I would like to be considered in more of these hits. lindamx4@gmail.com",3,2,40,2,"No","list1"
"Yes","English","Female","",3,3,43,2,"No","list1"
"Yes","english","Male","good",3,4,35,2,"Yes","list1"
"Yes","ENGLISH","Female","GOOD",3,5,32,2,"Yes","list1"
"Yes","english","Male","no comments",3,6,38,1,"No","list1"
"Yes","English","Female","none",3,7,55,2,"No","list1"
"Yes","English","Female","Fun and challenging task.  Enjoyed it.  Ran well, instructions clear.",3,8,52,2,"No","list1"
"Yes","English","Male","",3,9,38,1,"No","list1"
"Yes","English","Male","",3,10,32,2,"No","list1"
"Yes","English ","Male","good study ",4,11,30,2,"No","list1"
"Yes","English","Male","very good",3,12,32,2,"No","list1"
"Yes","English","Male","n/a thanks ",2,13,32,1,"No","list1"
"Yes","English ","Male","good ",4,14,30,2,"No","list1"
"Yes","English","Female","",1,15,56,2,"No","list1"
"Yes","English","Male","",2,16,29,2,"No","list1"
"Yes","English","Male","",-1,17,29,2,"No","list1"
"Yes","eng","Male","",2,18,41,2,"No","list1"
"Yes","English","Male","",2,19,31,2,"No","list1"
"Yes","English","Male","Most of my errors may be attributable to ""accidentally pressing the wrong key"" rather than ""not knowing the right answer"". However, in at least two cases I didn't know the right answer.",3,20,56,2,"No","list1"
"Yes","English","Male","Hitting the space key in between threw me off like crazy, I wish it was automatic forward on it. But of course, that was probably part of the test. :)",3,21,58,2,"No","list1"
"Yes","English","Male","",3,22,34,1,"Yes","list1"
"Yes","English","Female","spacebar sticking caused me to lose rhythm more than once",2,23,33,0,"No","list1"
"Yes","English","Male","None.",3,24,35,2,"No","list1"
"Yes","English","Male","Interesting. I think my mistakes were more due to anxiety about time rather than misjudging the items.",3,25,44,2,"No","list1"
"Yes","English","Female","none",2,26,53,2,"No","list1"
"Yes","English","Female","how did I do? ",3,27,39,2,"No","list1"
"Yes","english","Male","that was good study today i feel much relaxed",3,28,34,2,"No","list1"
"Yes","english","Female","",1,29,36,2,"No","list1"
"Yes","English","Male","",3,30,40,0,"No","list2"
"Yes","english","Male","nice one",3,31,28,1,"No","list2"
"Yes","English","Female","This was fun! Thank you, and have a nice day!",2,32,51,2,"No","list2"
"Yes","English","Male","No comments.",3,33,29,1,"No","list2"
"Yes","English","Male","",2,34,57,1,"No","list2"
"Yes","english","Male","",3,35,29,1,"No","list2"
"Yes","English","Male","",3,36,41,2,"No","list2"
"Yes","Chinese","Female","",3,37,25,1,"No","list2"
"Yes","English ","Male","nice ",3,38,40,2,"Yes","list2"
"Yes","English","Male","",3,39,33,2,"No","list2"
"Yes","English","Male","thanks",3,40,30,1,"No","list2"
"Yes","English","Male","I liked that very straightforward and fun.",1,41,44,2,"No","list2"
"Yes","English","Male","",2,42,24,2,"No","list2"
"Yes","english","Male","",3,43,27,2,"No","list2"
