gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
2926-4,1589433859562,1,table,green,metal,table_metal_green,target,4,4,table_wood_blue,distractor,2,3,table_metal_blue,distractor,1,2,table_wood_blue,distractor,3
2926-4,1589433874374,2,cup,green,plastic,cup_plastic_green,target,4,1,cup_metal_blue,distractor,2,4,cup_metal_blue,distractor,1,3,cup_metal_green,distractor,3
2926-4,1589433890423,3,chair,purple,metal,chair_metal_purple,target,4,3,chair_metal_green,distractor,1,1,chair_plastic_green,distractor,3,4,chair_plastic_green,distractor,2
2926-4,1589433914737,4,chair,green,metal,chair_metal_green,target,3,3,chair_wood_purple,distractor,1,4,chair_metal_purple,distractor,4,1,chair_wood_purple,distractor,2
2926-4,1589433930161,5,pitcher,blue,metal,pitcher_metal_blue,target,1,1,pitcher_glass_clear_original,distractor,4,2,pitcher_glass_clear_original,distractor,2,4,pitcher_glass_blue,distractor,3
2926-4,1589433938849,6,plate,blue,paper,plate_paper_blue,target,1,2,plate_plastic_green,distractor,3,4,plate_paper_green,distractor,2,3,plate_plastic_green,distractor,4
2926-4,1589433957831,7,boot,green,leather,boot_leather_green,target,2,2,boot_rubber_brown,distractor,1,1,boot_rubber_brown,distractor,3,4,boot_leather_brown,distractor,4
2926-4,1589433967877,8,table,blue,metal,table_metal_blue,target,4,3,table_metal_green,distractor,3,4,table_wood_green,distractor,2,2,table_wood_green,distractor,1
2926-4,1589433980546,9,jacket,purple,denim,jacket_denim_purple,target,1,4,jacket_leather_purple,distractor,2,1,jacket_leather_black_original,distractor,3,3,jacket_leather_black_original,distractor,4
2926-4,1589433996201,10,plate,blue,paper,plate_paper_blue,distractor,3,3,plate_paper_green,distractor,1,4,plate_plastic_blue_original,target,2,2,plate_paper_green,distractor,4
2926-4,1589434008088,11,table,silver,metal,table_metal_silver_original,target,1,1,table_metal_green,distractor,2,3,table_wood_green,distractor,4,2,table_wood_green,distractor,3
2926-4,1589434020076,12,bottle,green,glass,bottle_glass_green,target,4,3,bottle_plastic_green,distractor,3,1,bottle_plastic_clear_original,distractor,1,2,bottle_plastic_clear_original,distractor,2
2926-4,1589434035864,13,spoon,green,wood,spoon_wood_green,target,2,2,spoon_plastic_blue,distractor,3,1,spoon_plastic_blue,distractor,4,4,spoon_wood_blue,distractor,1
2926-4,1589434052611,14,table,blue,metal,table_metal_blue,target,1,2,table_wood_brown_original,distractor,2,3,table_wood_blue,distractor,3,4,table_wood_brown_original,distractor,4
