gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
1951-c,1590739054929,1,jacket,green,leather,jacket_leather_green,distractor,2,2,jacket_leather_purple,distractor,4,3,jacket_denim_purple,target,1,1,jacket_leather_green,distractor,3
1951-c,1590739101088,2,bag,white,plastic,bag_plastic_white_original,distractor_filler,4,2,bag_paper_brown_original,distractor_filler,3,1,box_cardboard_brown_original,target_filler,2,3,box_wood_brown_original,distractor_filler,1
1951-c,1590739106410,3,cup,green,metal,cup_metal_green,distractor,4,3,cup_plastic_green,target,1,1,cup_metal_blue,distractor,3,4,cup_metal_blue,distractor,2
1951-c,1590739114049,4,spoon,blue,wood,spoon_wood_blue,distractor,1,3,spoon_wood_green,target,4,1,spoon_metal_blue,distractor,3,4,spoon_metal_blue,distractor,2
1951-c,1590739117660,5,table,green,metal,table_metal_green,target,1,3,table_wood_blue,distractor,2,2,table_wood_blue,distractor,3,1,table_metal_blue,distractor,4
1951-c,1590739121282,6,plate,white,paper,plate_paper_white_original,distractor,3,3,plate_paper_blue,distractor,4,1,plate_plastic_blue_original,target,2,2,plate_paper_white_original,distractor,1
1951-c,1590739126142,7,chair,green,metal,chair_metal_green,target,1,3,chair_metal_purple,distractor,2,4,chair_wood_purple,distractor,3,2,chair_wood_purple,distractor,4
1951-c,1590739129821,8,plate,green,paper,plate_paper_green,distractor,4,3,plate_plastic_green,distractor,3,4,plate_plastic_green,distractor,2,1,plate_paper_blue,target,1
1951-c,1590739134052,9,boot,green,leather,boot_leather_green,target,2,3,boot_rubber_black_original,distractor,1,1,boot_rubber_black_original,distractor,3,2,boot_leather_black_original,distractor,4
1951-c,1590739142455,10,box,blue,cardboard,box_cardboard_blue,distractor_filler,2,3,bag_plastic_green,distractor_filler,3,2,box_cardboard_blue,distractor_filler,4,1,box_cardboard_blue,distractor_filler,1
