gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
7293-8,1590743241213,1,table,green,metal,table_metal_green,distractor,1,3,table_wood_green,distractor,4,1,table_wood_green,distractor,3,4,table_metal_silver_original,target,2
7293-8,1590743249290,2,jacket,purple,leather,jacket_leather_purple,distractor,2,4,jacket_denim_purple,target,1,2,jacket_leather_black_original,distractor,4,1,jacket_leather_black_original,distractor,3
7293-8,1590743256714,3,vase,green,glass,vase_glass_green,distractor,2,1,bag_plastic_green,target,1,4,bowl_metal_silver_original,distractor,4,3,bowl_metal_silver_original,distractor,3
7293-8,1590743262945,4,plate,green,plastic,plate_plastic_green,distractor,4,2,plate_paper_green,distractor,1,3,plate_plastic_green,distractor,2,4,plate_paper_blue,target,3
7293-8,1590743270719,5,chair,green,metal,chair_metal_green,distractor,3,2,chair_plastic_green,distractor,1,3,chair_metal_purple,target,2,4,chair_plastic_green,distractor,4
7293-8,1590743278742,6,table,blue,metal,table_metal_blue,distractor,2,3,table_wood_blue,distractor,3,4,table_metal_green,target,1,2,table_wood_blue,distractor,4
7293-8,1590743283984,7,ruler,blue,metal,ruler_metal_blue,distractor,2,2,bag_paper_brown_original,distractor,4,1,box_wood_blue,target,1,4,bag_paper_brown_original,distractor,3
7293-8,1590743290935,8,box,brown,cardboard,box_cardboard_brown_original,distractor,3,4,vase_glass_green,distractor,2,2,vase_glass_green,distractor,4,1,door_wood_brown_original,target,1
7293-8,1590743296709,9,pitcher,blue,plastic,pitcher_plastic_blue,distractor,4,1,pitcher_metal_blue,target,1,4,pitcher_plastic_white_original,distractor,3,3,pitcher_plastic_white_original,distractor,2
7293-8,1590743306922,10,vase,blue,glass,vase_glass_blue,distractor,2,4,ruler_wood_green,distractor,4,3,bowl_glass_blue,target,3,2,ruler_wood_green,distractor,1
7293-8,1590743315418,11,plate,blue,paper,plate_paper_blue,distractor,1,3,plate_plastic_blue_original,target,3,2,plate_paper_green,distractor,2,1,plate_paper_green,distractor,4
7293-8,1590743323168,12,table,green,metal,table_metal_green,distractor,2,1,table_metal_blue,target,3,2,table_wood_green,distractor,4,3,table_wood_green,distractor,1
7293-8,1590743331279,13,spoon,blue,wood,spoon_wood_blue,distractor,4,4,spoon_wood_green,target,1,2,spoon_metal_blue,distractor,2,1,spoon_metal_blue,distractor,3
7293-8,1590743339133,14,ruler,blue,metal,ruler_metal_blue,distractor,1,2,bag_paper_green,distractor,2,4,bag_paper_green,distractor,3,1,door_steel_red,target,4
