gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1644-b,1592416331343,1,clickedObj,,vase_glass_blue,filler,competitor,2,2,door_steel_yellow,filler,distractor,3,3,bowl_glass_blue,filler_both,target,1,4,door_steel_yellow,filler,distractor,4,1
1644-b,1592416336589,2,clickedObj,,bowl_metal_blue,filler_both,target,1,2,ruler_metal_blue,filler,competitor,3,3,vase_glass_green,filler,distractor,2,4,vase_glass_green,filler,distractor,4,1
1644-b,1592416339011,3,clickedObj,,bag_plastic_blue,filler_color,target,4,2,ruler_metal_blue,filler,competitor,3,1,door_wood_yellow,filler,distractor,2,3,door_wood_yellow,filler,distractor,1,4
1644-b,1592416344193,4,clickedObj,,box_wood_brown_original,filler,distractor,3,2,bowl_metal_silver_original,filler,competitor,2,1,ball_metal_silver_original,filler_both,target,1,3,box_wood_brown_original,filler,distractor,4,4
1644-b,1592416346529,5,clickedObj,,chair_plastic_green,difficulty_distractor,distractor,3,2,chair_metal_purple,high_difficulty,target,1,4,chair_plastic_green,difficulty_distractor,distractor,2,3,chair_metal_green,difficulty_distractor,distractor,4,1
1644-b,1592416348792,6,clickedObj,,bottle_glass_clear_original,difficulty_distractor,distractor,2,2,bottle_plastic_green,low_difficulty,target,4,3,bottle_glass_green,difficulty_distractor,distractor,3,1,bottle_glass_clear_original,difficulty_distractor,distractor,1,4
1644-b,1592416350996,7,clickedObj,,ball_metal_green,filler_none,target,3,2,box_cardboard_blue,filler,competitor,2,4,door_steel_silver_original,filler,distractor,4,1,door_steel_silver_original,filler,distractor,1,3
1644-b,1592416353620,8,clickedObj,,pitcher_glass_green,difficulty_distractor,distractor,1,2,pitcher_metal_blue,low_difficulty,target,2,3,pitcher_glass_green,difficulty_distractor,distractor,3,4,pitcher_glass_blue,difficulty_distractor,distractor,4,1
1644-b,1592416355812,9,clickedObj,,table_metal_blue,difficulty_distractor,distractor,1,2,table_metal_green,high_difficulty,target,4,4,table_wood_blue,difficulty_distractor,distractor,2,3,table_wood_blue,difficulty_distractor,distractor,3,1
1644-b,1592416358018,10,clickedObj,,jacket_leather_purple,difficulty_distractor,distractor,1,2,jacket_denim_purple,low_difficulty,target,2,3,jacket_leather_black_original,difficulty_distractor,distractor,3,4,jacket_leather_black_original,difficulty_distractor,distractor,4,1
1644-b,1592416360963,11,clickedObj,,door_steel_silver_original,filler,distractor,4,1,vase_wood_green,filler,competitor,2,3,door_steel_silver_original,filler,distractor,1,2,bag_plastic_green,filler_color,target,3,4
1644-b,1592416364855,12,clickedObj,,bottle_glass_green,low_difficulty,target,2,2,bottle_plastic_clear_original,difficulty_distractor,distractor,4,1,bottle_plastic_green,difficulty_distractor,distractor,1,3,bottle_plastic_clear_original,difficulty_distractor,distractor,3,4
1644-b,1592416367613,13,clickedObj,,cup_metal_silver_original,difficulty_distractor,distractor,2,2,cup_plastic_green,low_difficulty,target,4,1,cup_metal_silver_original,difficulty_distractor,distractor,1,3,cup_metal_green,difficulty_distractor,distractor,3,4
1644-b,1592416369599,14,clickedObj,,plate_paper_white_original,difficulty_distractor,distractor,4,2,plate_paper_blue,difficulty_distractor,distractor,1,1,plate_plastic_blue_original,low_difficulty,target,2,4,plate_paper_white_original,difficulty_distractor,distractor,3,3
1644-b,1592416371750,15,clickedObj,,box_wood_green,filler,competitor,2,2,bag_plastic_white_original,filler,distractor,3,4,vase_wood_brown_original,filler_material,target,4,3,bag_plastic_white_original,filler,distractor,1,1
1644-b,1592416375179,16,clickedObj,,door_steel_red,filler_none,target,2,2,ruler_wood_brown_original,filler,distractor,4,4,bag_paper_green,filler,competitor,1,1,ruler_wood_brown_original,filler,distractor,3,3
1644-b,1592416377606,17,clickedObj,,table_wood_green,difficulty_distractor,distractor,2,2,table_metal_blue,high_difficulty,target,4,4,table_wood_green,difficulty_distractor,distractor,1,3,table_metal_green,difficulty_distractor,distractor,3,1
1644-b,1592416380204,18,clickedObj,,bowl_glass_clear_original,filler,distractor,4,2,bag_paper_brown_original,filler,competitor,3,3,bowl_glass_clear_original,filler,distractor,2,4,door_wood_brown_original,filler_color,target,1,1
1644-b,1592416382370,19,clickedObj,,spoon_plastic_blue,difficulty_distractor,distractor,2,2,spoon_plastic_blue,difficulty_distractor,distractor,4,3,spoon_wood_blue,difficulty_distractor,distractor,1,1,spoon_wood_green,high_difficulty,target,3,4
1644-b,1592416384911,20,clickedObj,,boot_leather_brown,difficulty_distractor,distractor,1,2,boot_rubber_brown,difficulty_distractor,distractor,4,3,boot_leather_green,high_difficulty,target,2,4,boot_rubber_brown,difficulty_distractor,distractor,3,1
1644-b,1592416388098,21,clickedObj,,ruler_metal_green,filler_both,target,3,2,vase_glass_blue,filler,distractor,1,1,vase_glass_blue,filler,distractor,4,4,bowl_metal_green,filler,competitor,2,3
1644-b,1592416390345,22,clickedObj,,chair_metal_green,high_difficulty,target,1,2,chair_metal_purple,difficulty_distractor,distractor,3,3,chair_wood_purple,difficulty_distractor,distractor,2,1,chair_wood_purple,difficulty_distractor,distractor,4,4
1644-b,1592416392729,23,clickedObj,,table_metal_blue,low_difficulty,target,4,2,table_wood_blue,difficulty_distractor,distractor,3,3,table_wood_brown_original,difficulty_distractor,distractor,1,4,table_wood_brown_original,difficulty_distractor,distractor,2,1
1644-b,1592416395453,24,clickedObj,,bag_plastic_white_original,filler,distractor,3,2,ruler_wood_green,filler,competitor,1,3,vase_wood_blue,filler_material,target,4,1,bag_plastic_white_original,filler,distractor,2,4
1644-b,1592416397762,25,clickedObj,,bowl_metal_green,filler,distractor,1,2,box_wood_blue,filler_color,target,3,4,bowl_metal_green,filler,distractor,2,1,vase_glass_blue,filler,competitor,4,3
1644-b,1592416400017,26,clickedObj,,ruler_metal_silver_original,filler,distractor,3,2,ruler_metal_silver_original,filler,distractor,1,1,vase_wood_green,filler,competitor,4,4,ball_plastic_blue_original,filler_none,target,2,3
1644-b,1592416402169,27,clickedObj,,door_wood_red,filler,distractor,3,2,door_wood_red,filler,distractor,4,3,ruler_metal_silver_original,filler,competitor,1,1,box_cardboard_green,filler_none,target,2,4
1644-b,1592416404292,28,clickedObj,,ruler_metal_blue,filler,distractor,2,2,bowl_glass_green,filler_material,target,4,4,vase_glass_clear_original,filler,competitor,3,3,ruler_metal_blue,filler,distractor,1,1
1644-b,1592416406381,29,clickedObj,,table_metal_silver_original,high_difficulty,target,1,2,table_metal_green,difficulty_distractor,distractor,2,3,table_wood_green,difficulty_distractor,distractor,3,4,table_wood_green,difficulty_distractor,distractor,4,1
1644-b,1592416408844,30,clickedObj,,plate_paper_blue,low_difficulty,target,3,2,plate_plastic_blue_original,difficulty_distractor,distractor,2,3,plate_plastic_pink,difficulty_distractor,distractor,1,4,plate_plastic_pink,difficulty_distractor,distractor,4,1
1644-b,1592416411276,31,clickedObj,,plate_plastic_green,difficulty_distractor,distractor,1,2,plate_plastic_green,difficulty_distractor,distractor,4,3,plate_paper_blue,high_difficulty,target,2,1,plate_paper_green,difficulty_distractor,distractor,3,4
1644-b,1592416414221,32,clickedObj,,ball_metal_red,filler,distractor,1,2,vase_wood_green,filler,competitor,3,4,ball_metal_red,filler,distractor,2,3,ruler_wood_blue,filler_material,target,4,1
