gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
4660-3,1592421751544,1,clickedObj,,table_metal_silver_original,high_difficulty,target,1,1,table_wood_green,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,4,4,table_metal_green,difficulty_distractor,distractor,2,3
4660-3,1592421768462,2,clickedObj,,cup_metal_green,difficulty_distractor,distractor,3,4,cup_plastic_green,low_difficulty,target,2,2,cup_metal_blue,difficulty_distractor,distractor,4,3,cup_metal_blue,difficulty_distractor,distractor,1,1
4660-3,1592421786112,3,clickedObj,,bottle_glass_green,difficulty_distractor,distractor,1,3,bottle_glass_clear_original,difficulty_distractor,distractor,4,1,bottle_glass_clear_original,difficulty_distractor,distractor,3,4,bottle_plastic_green,low_difficulty,target,2,2
4660-3,1592421794760,4,clickedObj,,ball_metal_green,filler_none,target,4,3,box_cardboard_blue,filler,distractor,1,4,vase_glass_clear_original,filler,competitor,3,1,box_cardboard_blue,filler,distractor,2,2
4660-3,1592421800637,5,clickedObj,,chair_metal_purple,high_difficulty,target,4,4,chair_metal_green,difficulty_distractor,distractor,2,3,chair_wood_green,difficulty_distractor,distractor,1,2,chair_wood_green,difficulty_distractor,distractor,3,1
4660-3,1592421808435,6,clickedObj,,table_metal_blue,low_difficulty,target,1,3,table_wood_blue,difficulty_distractor,distractor,4,2,table_wood_brown_original,difficulty_distractor,distractor,2,1,table_wood_brown_original,difficulty_distractor,distractor,3,4
4660-3,1592421815388,7,clickedObj,,vase_wood_brown_original,filler_material,target,2,1,bag_paper_green,filler,distractor,3,4,bag_paper_green,filler,distractor,4,2,door_wood_red,filler,competitor,1,3
4660-3,1592421820732,8,clickedObj,,vase_wood_blue,filler_material,target,4,1,ball_plastic_red,filler,distractor,3,4,ball_plastic_red,filler,distractor,2,3,ruler_wood_green,filler,competitor,1,2
4660-3,1592421827284,9,clickedObj,,door_steel_red,filler_none,target,1,2,vase_glass_blue,filler,distractor,3,3,vase_glass_blue,filler,distractor,4,4,bag_plastic_white_original,filler,competitor,2,1
4660-3,1592421855224,10,clickedObj,,pitcher_metal_blue,low_difficulty,target,4,2,pitcher_plastic_green,difficulty_distractor,distractor,2,1,pitcher_plastic_blue,difficulty_distractor,distractor,3,4,pitcher_plastic_green,difficulty_distractor,distractor,1,3
4660-3,1592421865652,11,clickedObj,,plate_plastic_blue_original,low_difficulty,target,1,2,plate_paper_white_original,difficulty_distractor,distractor,2,1,plate_paper_blue,difficulty_distractor,distractor,4,3,plate_paper_white_original,difficulty_distractor,distractor,3,4
4660-3,1592421878256,12,clickedObj,,ruler_wood_blue,filler_material,target,1,2,box_wood_green,filler,competitor,4,3,bowl_glass_clear_original,filler,distractor,3,1,bowl_glass_clear_original,filler,distractor,2,4
4660-3,1592421893248,13,clickedObj,,table_metal_green,high_difficulty,target,3,3,table_wood_blue,difficulty_distractor,distractor,4,1,table_metal_blue,difficulty_distractor,distractor,1,4,table_wood_blue,difficulty_distractor,distractor,2,2
4660-3,1592421899232,14,clickedObj,,plate_paper_blue,high_difficulty,target,3,2,plate_paper_green,difficulty_distractor,distractor,1,1,plate_plastic_green,difficulty_distractor,distractor,2,4,plate_plastic_green,difficulty_distractor,distractor,4,3
4660-3,1592421933211,15,clickedObj,,bottle_glass_green,low_difficulty,target,1,1,bottle_plastic_blue,difficulty_distractor,distractor,3,4,bottle_plastic_blue,difficulty_distractor,distractor,4,3,bottle_plastic_green,difficulty_distractor,distractor,2,2
4660-3,1592421939660,16,clickedObj,,ball_plastic_blue_original,filler_none,target,1,1,vase_glass_clear_original,filler,distractor,2,3,door_wood_yellow,filler,competitor,3,2,vase_glass_clear_original,filler,distractor,4,4
4660-3,1592421947692,17,clickedObj,,bowl_metal_blue,filler_both,target,4,3,ball_plastic_red,filler,distractor,1,2,ball_plastic_red,filler,distractor,3,1,ruler_metal_blue,filler,competitor,2,4
4660-3,1592421958116,18,clickedObj,,bag_plastic_green,filler_color,target,1,1,ruler_wood_green,filler,competitor,3,2,box_cardboard_brown_original,filler,distractor,4,3,box_cardboard_brown_original,filler,distractor,2,4
4660-3,1592421972376,19,clickedObj,,bag_plastic_blue,filler_color,target,3,3,ruler_wood_brown_original,filler,distractor,4,4,ruler_wood_brown_original,filler,distractor,2,2,box_cardboard_blue,filler,competitor,1,1
4660-3,1592421978647,20,clickedObj,,ball_metal_silver_original,filler_both,target,3,1,door_wood_red,filler,distractor,2,3,ruler_metal_silver_original,filler,competitor,1,2,door_wood_red,filler,distractor,4,4
