gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7475-f,1592422018484,1,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,2,plate_paper_blue,difficulty_distractor,distractor,1,3,plate_paper_green,difficulty_distractor,distractor,4,1,plate_paper_green,difficulty_distractor,distractor,2,4
7475-f,1592422029420,2,clickedObj,,bowl_metal_blue,filler_both,target,4,1,box_cardboard_brown_original,filler,distractor,1,4,ruler_metal_blue,filler,competitor,3,3,box_cardboard_brown_original,filler,distractor,2,2
7475-f,1592422042709,3,clickedObj,,box_cardboard_green,filler_none,target,3,4,bowl_glass_clear_original,filler,distractor,2,3,ball_plastic_red,filler,competitor,1,1,bowl_glass_clear_original,filler,distractor,4,2
7475-f,1592422049695,4,clickedObj,,vase_wood_brown_original,filler_material,target,1,2,door_wood_red,filler,competitor,2,3,bowl_metal_green,filler,distractor,3,4,bowl_metal_green,filler,distractor,4,1
7475-f,1592422056865,5,clickedObj,,ruler_wood_blue,filler_material,target,2,4,bag_paper_brown_original,filler,distractor,1,2,box_wood_green,filler,competitor,4,1,bag_paper_brown_original,filler,distractor,3,3
7475-f,1592422099397,6,clickedObj,,bowl_glass_green,filler_material,target,2,1,ball_plastic_red,filler,distractor,3,2,ball_plastic_red,filler,distractor,4,3,vase_glass_blue,filler,competitor,1,4
7475-f,1592422127635,7,clickedObj,,chair_metal_purple,high_difficulty,target,1,2,chair_wood_green,difficulty_distractor,distractor,4,4,chair_metal_green,difficulty_distractor,distractor,2,1,chair_wood_green,difficulty_distractor,distractor,3,3
7475-f,1592422162470,8,clickedObj,,plate_paper_blue,high_difficulty,target,4,4,plate_paper_green,difficulty_distractor,distractor,1,1,plate_plastic_green,difficulty_distractor,distractor,2,2,plate_plastic_green,difficulty_distractor,distractor,3,3
7475-f,1592422196926,9,clickedObj,,table_metal_blue,high_difficulty,target,3,4,table_wood_green,difficulty_distractor,distractor,4,1,table_wood_green,difficulty_distractor,distractor,2,3,table_metal_green,difficulty_distractor,distractor,1,2
7475-f,1592422206821,10,clickedObj,,table_metal_blue,difficulty_distractor,distractor,4,3,table_wood_blue,difficulty_distractor,distractor,1,4,table_wood_blue,difficulty_distractor,distractor,2,1,table_metal_silver_original,high_difficulty,target,3,2
7475-f,1592422218174,11,clickedObj,,chair_metal_green,high_difficulty,target,1,1,chair_plastic_purple,difficulty_distractor,distractor,2,3,chair_plastic_purple,difficulty_distractor,distractor,3,4,chair_metal_purple,difficulty_distractor,distractor,4,2
7475-f,1592422224314,12,clickedObj,,table_metal_green,high_difficulty,target,2,4,table_metal_blue,difficulty_distractor,distractor,1,2,table_wood_blue,difficulty_distractor,distractor,3,1,table_wood_blue,difficulty_distractor,distractor,4,3
7475-f,1592422229415,13,clickedObj,,ruler_metal_green,filler_both,target,1,3,box_cardboard_blue,filler,distractor,2,1,bowl_metal_green,filler,competitor,4,2,box_cardboard_blue,filler,distractor,3,4
7475-f,1592422235353,14,clickedObj,,ball_plastic_blue_original,filler_none,target,1,3,bowl_metal_green,filler,distractor,2,1,box_wood_brown_original,filler,competitor,4,2,bowl_metal_green,filler,distractor,3,4
