gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6262-3,1592426944449,1,clickedObj,,bag_plastic_blue,filler_color,target,1,4,ruler_metal_blue,filler,competitor,2,1,box_wood_green,filler,distractor,3,2,box_wood_green,filler,distractor,4,3
6262-3,1592426953064,2,clickedObj,,table_metal_green,high_difficulty,target,4,3,table_wood_blue,difficulty_distractor,distractor,3,2,table_wood_blue,difficulty_distractor,distractor,1,1,table_metal_blue,difficulty_distractor,distractor,2,4
6262-3,1592426962287,3,clickedObj,,door_steel_red,filler_none,target,3,2,bowl_metal_silver_original,filler,distractor,2,1,ball_plastic_green,filler,competitor,4,4,bowl_metal_silver_original,filler,distractor,1,3
6262-3,1592426970739,4,clickedObj,,plate_paper_blue,high_difficulty,target,4,3,plate_paper_green,difficulty_distractor,distractor,1,4,plate_plastic_green,difficulty_distractor,distractor,3,2,plate_plastic_green,difficulty_distractor,distractor,2,1
6262-3,1592426977518,5,clickedObj,,box_cardboard_green,filler_none,target,2,4,ball_plastic_red,filler,distractor,1,1,door_steel_silver_original,filler,competitor,3,2,ball_plastic_red,filler,distractor,4,3
6262-3,1592426992819,6,clickedObj,,bottle_glass_green,low_difficulty,target,1,4,bottle_plastic_clear_original,difficulty_distractor,distractor,4,1,bottle_plastic_clear_original,difficulty_distractor,distractor,2,3,bottle_plastic_green,difficulty_distractor,distractor,3,2
6262-3,1592426999875,7,clickedObj,,ruler_wood_blue,filler_material,target,2,2,door_steel_yellow,filler,distractor,4,3,box_wood_brown_original,filler,competitor,3,1,door_steel_yellow,filler,distractor,1,4
6262-3,1592427014753,8,clickedObj,,plate_plastic_blue_original,low_difficulty,target,4,3,plate_paper_green,difficulty_distractor,distractor,1,4,plate_paper_blue,difficulty_distractor,distractor,3,2,plate_paper_green,difficulty_distractor,distractor,2,1
6262-3,1592427024774,9,clickedObj,,ball_metal_silver_original,filler_both,target,4,2,vase_glass_blue,filler,distractor,3,1,ruler_metal_silver_original,filler,competitor,2,4,vase_glass_blue,filler,distractor,1,3
6262-3,1592427031560,10,clickedObj,,ruler_metal_green,filler_both,target,1,3,bag_paper_brown_original,filler,distractor,4,4,bag_paper_brown_original,filler,distractor,3,2,bowl_metal_green,filler,competitor,2,1
6262-3,1592427040085,11,clickedObj,,bowl_glass_blue,filler_both,target,2,3,ball_plastic_green,filler,distractor,3,2,ball_plastic_green,filler,distractor,1,1,vase_glass_blue,filler,competitor,4,4
6262-3,1592427045891,12,clickedObj,,bowl_metal_blue,filler_both,target,3,1,vase_wood_green,filler,distractor,4,2,vase_wood_green,filler,distractor,2,3,ruler_metal_blue,filler,competitor,1,4
6262-3,1592427052489,13,clickedObj,,ball_metal_green,filler_none,target,4,4,bag_paper_blue,filler,distractor,1,2,door_steel_silver_original,filler,competitor,3,3,bag_paper_blue,filler,distractor,2,1
6262-3,1592427065314,14,clickedObj,,cup_plastic_green,low_difficulty,target,2,2,cup_metal_blue,difficulty_distractor,distractor,4,1,cup_metal_green,difficulty_distractor,distractor,3,3,cup_metal_blue,difficulty_distractor,distractor,1,4
6262-3,1592427071516,15,clickedObj,,door_wood_brown_original,filler_color,target,1,3,vase_glass_clear_original,filler,distractor,2,4,vase_glass_clear_original,filler,distractor,3,2,box_cardboard_brown_original,filler,competitor,4,1
6262-3,1592427077479,16,clickedObj,,bag_plastic_green,filler_color,target,1,4,ruler_wood_brown_original,filler,distractor,2,1,ruler_wood_brown_original,filler,distractor,3,3,bowl_metal_green,filler,competitor,4,2
6262-3,1592427085818,17,clickedObj,,chair_metal_green,high_difficulty,target,1,1,chair_plastic_purple,difficulty_distractor,distractor,3,2,chair_metal_purple,difficulty_distractor,distractor,4,3,chair_plastic_purple,difficulty_distractor,distractor,2,4
6262-3,1592427094090,18,clickedObj,,table_metal_silver_original,high_difficulty,target,4,1,table_metal_green,difficulty_distractor,distractor,2,2,table_wood_green,difficulty_distractor,distractor,3,4,table_wood_green,difficulty_distractor,distractor,1,3
6262-3,1592427099634,19,clickedObj,,ball_plastic_blue_original,filler_none,target,2,2,bag_paper_brown_original,filler,distractor,3,3,box_wood_green,filler,competitor,4,4,bag_paper_brown_original,filler,distractor,1,1
6262-3,1592427105619,20,clickedObj,,vase_wood_blue,filler_material,target,1,2,ruler_metal_silver_original,filler,distractor,3,4,ruler_metal_silver_original,filler,distractor,4,3,box_wood_brown_original,filler,competitor,2,1
