gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1507-0,1592936055779,1,clickedObj,,ball_plastic_blue_original,filler_none,target,2,3,door_wood_red,filler,distractor,1,4,door_wood_red,filler,distractor,3,1,bowl_glass_clear_original,filler,competitor,4,2
1507-0,1592936080610,2,clickedObj,,spoon_wood_green,high_difficulty,target,1,3,spoon_metal_blue,difficulty_distractor,distractor,3,1,spoon_wood_blue,difficulty_distractor,distractor,2,4,spoon_metal_blue,difficulty_distractor,distractor,4,2
1507-0,1592936107962,3,clickedObj,,bottle_glass_green,low_difficulty,target,2,3,bottle_plastic_blue,difficulty_distractor,distractor,1,1,bottle_plastic_green,difficulty_distractor,distractor,3,4,bottle_plastic_blue,difficulty_distractor,distractor,4,2
1507-0,1592936121930,4,clickedObj,,table_metal_blue,high_difficulty,target,4,1,table_wood_green,difficulty_distractor,distractor,2,2,table_metal_green,difficulty_distractor,distractor,1,4,table_wood_green,difficulty_distractor,distractor,3,3
1507-0,1592936133978,5,clickedObj,,boot_leather_green,high_difficulty,target,2,1,boot_leather_black_original,difficulty_distractor,distractor,4,2,boot_rubber_black_original,difficulty_distractor,distractor,3,3,boot_rubber_black_original,difficulty_distractor,distractor,1,4
1507-0,1592936145531,6,clickedObj,,chair_metal_green,high_difficulty,target,1,4,chair_wood_purple,difficulty_distractor,distractor,2,2,chair_metal_purple,difficulty_distractor,distractor,4,3,chair_wood_purple,difficulty_distractor,distractor,3,1
1507-0,1592936158298,7,clickedObj,,bowl_glass_blue,filler_both,target,1,4,vase_glass_blue,filler,competitor,3,2,ruler_wood_green,filler,distractor,4,3,ruler_wood_green,filler,distractor,2,1
1507-0,1592936168234,8,clickedObj,,door_steel_red,filler_none,target,3,3,bag_paper_brown_original,filler,distractor,4,4,ruler_wood_green,filler,competitor,1,1,bag_paper_brown_original,filler,distractor,2,2
1507-0,1592936184594,9,clickedObj,,pitcher_metal_blue,low_difficulty,target,2,3,pitcher_plastic_blue,difficulty_distractor,distractor,1,4,pitcher_plastic_white_original,difficulty_distractor,distractor,3,2,pitcher_plastic_white_original,difficulty_distractor,distractor,4,1
1507-0,1592936198570,10,clickedObj,,box_wood_blue,filler_color,target,2,1,bowl_metal_silver_original,filler,distractor,1,3,bowl_metal_silver_original,filler,distractor,3,4,vase_glass_blue,filler,competitor,4,2
