gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1629-c,1592936210799,1,clickedObj,,ball_metal_green,filler_none,target,4,2,door_wood_yellow,filler,distractor,3,1,box_cardboard_brown_original,filler,competitor,2,3,door_wood_yellow,filler,distractor,1,4
1629-c,1592936223547,2,clickedObj,,bottle_plastic_green,low_difficulty,target,4,3,bottle_glass_clear_original,difficulty_distractor,distractor,1,1,bottle_glass_clear_original,difficulty_distractor,distractor,3,2,bottle_glass_green,difficulty_distractor,distractor,2,4
1629-c,1592936232754,3,clickedObj,,bowl_glass_green,filler_material,target,2,2,ruler_wood_brown_original,filler,distractor,4,4,vase_glass_clear_original,filler,competitor,3,1,ruler_wood_brown_original,filler,distractor,1,3
1629-c,1592936240255,4,clickedObj,,boot_leather_green,high_difficulty,target,3,4,boot_rubber_black_original,difficulty_distractor,distractor,1,1,boot_rubber_black_original,difficulty_distractor,distractor,4,3,boot_leather_black_original,difficulty_distractor,distractor,2,2
1629-c,1592936245972,5,clickedObj,,ball_plastic_blue_original,filler_none,target,1,4,ruler_metal_silver_original,filler,distractor,4,1,ruler_metal_silver_original,filler,distractor,2,3,box_wood_green,filler,competitor,3,2
1629-c,1592936255557,6,clickedObj,,pitcher_metal_blue,low_difficulty,target,2,2,pitcher_glass_blue,difficulty_distractor,distractor,4,4,pitcher_glass_green,difficulty_distractor,distractor,3,3,pitcher_glass_green,difficulty_distractor,distractor,1,1
1629-c,1592936305443,7,clickedObj,,jacket_leather_purple,difficulty_distractor,distractor,4,3,jacket_leather_green,difficulty_distractor,distractor,2,4,jacket_leather_green,difficulty_distractor,distractor,1,2,jacket_denim_purple,low_difficulty,target,3,1
1629-c,1592936312918,8,clickedObj,,ruler_metal_green,filler_both,target,4,2,bowl_metal_green,filler,competitor,1,1,box_cardboard_brown_original,filler,distractor,3,4,box_cardboard_brown_original,filler,distractor,2,3
1629-c,1592936319988,9,clickedObj,,box_cardboard_brown_original,filler,distractor,3,2,bag_plastic_blue,filler_color,target,1,4,box_cardboard_brown_original,filler,distractor,2,1,ruler_metal_blue,filler,competitor,4,3
1629-c,1592936328820,10,clickedObj,,bowl_glass_blue,filler_both,target,1,4,bag_plastic_white_original,filler,distractor,4,3,vase_glass_blue,filler,competitor,3,1,bag_plastic_white_original,filler,distractor,2,2
1629-c,1592936334992,11,clickedObj,,chair_metal_green,high_difficulty,target,3,4,chair_metal_purple,difficulty_distractor,distractor,2,1,chair_plastic_purple,difficulty_distractor,distractor,4,3,chair_plastic_purple,difficulty_distractor,distractor,1,2
1629-c,1592936340757,12,clickedObj,,box_wood_blue,filler_color,target,1,3,ruler_metal_blue,filler,competitor,4,4,bag_paper_green,filler,distractor,2,1,bag_paper_green,filler,distractor,3,2
