gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6736-0,1592936578914,1,clickedObj,,cup_plastic_green,low_difficulty,target,3,2,cup_metal_green,difficulty_distractor,distractor,4,3,cup_metal_blue,difficulty_distractor,distractor,2,1,cup_metal_blue,difficulty_distractor,distractor,1,4
6736-0,1592936604185,2,clickedObj,,plate_plastic_blue_original,low_difficulty,target,4,4,plate_paper_green,difficulty_distractor,distractor,1,2,plate_paper_green,difficulty_distractor,distractor,3,3,plate_paper_blue,difficulty_distractor,distractor,2,1
6736-0,1592936624153,3,clickedObj,,chair_metal_purple,high_difficulty,target,4,1,chair_plastic_green,difficulty_distractor,distractor,2,4,chair_metal_green,difficulty_distractor,distractor,3,2,chair_plastic_green,difficulty_distractor,distractor,1,3
6736-0,1592936641123,4,clickedObj,,table_metal_green,high_difficulty,target,1,4,table_metal_blue,difficulty_distractor,distractor,4,3,table_wood_blue,difficulty_distractor,distractor,3,2,table_wood_blue,difficulty_distractor,distractor,2,1
6736-0,1592936655239,5,clickedObj,,door_steel_red,filler_none,target,2,4,bowl_metal_silver_original,filler,competitor,4,3,ball_plastic_green,filler,distractor,3,1,ball_plastic_green,filler,distractor,1,2
6736-0,1592936668033,6,clickedObj,,chair_metal_green,high_difficulty,target,4,2,chair_metal_purple,difficulty_distractor,distractor,1,4,chair_wood_purple,difficulty_distractor,distractor,2,1,chair_wood_purple,difficulty_distractor,distractor,3,3
6736-0,1592936685838,7,clickedObj,,bag_plastic_blue,filler_color,target,3,3,box_wood_brown_original,filler,distractor,1,2,vase_glass_blue,filler,competitor,2,1,box_wood_brown_original,filler,distractor,4,4
6736-0,1592936715098,8,clickedObj,,jacket_denim_purple,low_difficulty,target,4,3,jacket_leather_purple,difficulty_distractor,distractor,1,2,jacket_leather_black_original,difficulty_distractor,distractor,2,1,jacket_leather_black_original,difficulty_distractor,distractor,3,4
6736-0,1592936731627,9,clickedObj,,boot_leather_green,high_difficulty,target,1,4,boot_rubber_black_original,difficulty_distractor,distractor,4,1,boot_rubber_black_original,difficulty_distractor,distractor,2,3,boot_leather_black_original,difficulty_distractor,distractor,3,2
6736-0,1592936742954,10,clickedObj,,bag_plastic_green,filler_color,target,1,1,door_wood_red,filler,distractor,4,2,bowl_metal_green,filler,competitor,3,4,door_wood_red,filler,distractor,2,3
6736-0,1592936772571,11,clickedObj,,bottle_glass_green,low_difficulty,target,1,3,bottle_plastic_green,difficulty_distractor,distractor,3,1,bottle_plastic_blue,difficulty_distractor,distractor,2,2,bottle_plastic_blue,difficulty_distractor,distractor,4,4
6736-0,1592936781525,12,clickedObj,,bowl_metal_blue,filler_both,target,2,2,bag_plastic_white_original,filler,distractor,1,1,bag_plastic_white_original,filler,distractor,3,4,ruler_metal_blue,filler,competitor,4,3
6736-0,1592936794264,13,clickedObj,,table_metal_silver_original,high_difficulty,target,4,1,table_wood_green,difficulty_distractor,distractor,3,2,table_metal_green,difficulty_distractor,distractor,1,4,table_wood_green,difficulty_distractor,distractor,2,3
6736-0,1592936809923,14,clickedObj,,bowl_glass_green,filler_material,target,2,3,door_wood_red,filler,distractor,1,1,door_wood_red,filler,distractor,3,2,vase_glass_blue,filler,competitor,4,4
6736-0,1592936831222,15,clickedObj,,vase_wood_brown_original,filler_material,target,1,4,box_cardboard_blue,filler,distractor,2,2,door_wood_red,filler,competitor,3,1,box_cardboard_blue,filler,distractor,4,3
6736-0,1592936842233,16,clickedObj,,plate_paper_blue,high_difficulty,target,2,2,plate_paper_green,difficulty_distractor,distractor,1,1,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_plastic_green,difficulty_distractor,distractor,4,4
6736-0,1592936865082,17,clickedObj,,pitcher_metal_blue,low_difficulty,target,1,2,pitcher_plastic_white_original,difficulty_distractor,distractor,2,4,pitcher_plastic_white_original,difficulty_distractor,distractor,3,3,pitcher_plastic_blue,difficulty_distractor,distractor,4,1
6736-0,1592936877301,18,clickedObj,,plate_paper_blue,low_difficulty,target,2,1,plate_plastic_green,difficulty_distractor,distractor,4,3,plate_plastic_green,difficulty_distractor,distractor,1,2,plate_plastic_blue_original,difficulty_distractor,distractor,3,4
6736-0,1592936886267,19,clickedObj,,ball_metal_green,filler_none,target,1,3,vase_glass_blue,filler,distractor,4,1,vase_glass_blue,filler,distractor,3,2,bag_paper_brown_original,filler,competitor,2,4
6736-0,1592936893276,20,clickedObj,,table_metal_blue,high_difficulty,target,4,4,table_metal_green,difficulty_distractor,distractor,1,2,table_wood_green,difficulty_distractor,distractor,2,1,table_wood_green,difficulty_distractor,distractor,3,3
6736-0,1592936906917,21,clickedObj,,ruler_wood_blue,filler_material,target,4,3,box_wood_brown_original,filler,competitor,1,4,ball_plastic_green,filler,distractor,2,1,ball_plastic_green,filler,distractor,3,2
6736-0,1592936914725,22,clickedObj,,door_wood_brown_original,filler_color,target,4,2,ball_metal_red,filler,distractor,2,3,box_cardboard_brown_original,filler,competitor,3,4,ball_metal_red,filler,distractor,1,1
6736-0,1592936937018,23,clickedObj,,table_metal_blue,low_difficulty,target,2,4,table_wood_green,difficulty_distractor,distractor,1,1,table_wood_green,difficulty_distractor,distractor,3,2,table_wood_blue,difficulty_distractor,distractor,4,3
6736-0,1592936947818,24,clickedObj,,box_cardboard_green,filler_none,target,1,3,bag_paper_blue,filler,distractor,2,1,ruler_wood_brown_original,filler,competitor,4,4,bag_paper_blue,filler,distractor,3,2
6736-0,1592936956768,25,clickedObj,,bowl_glass_blue,filler_both,target,3,2,vase_glass_blue,filler,competitor,4,4,door_steel_silver_original,filler,distractor,2,1,door_steel_silver_original,filler,distractor,1,3
6736-0,1592936973164,26,clickedObj,,ruler_metal_green,filler_both,target,3,2,door_wood_red,filler,distractor,1,3,bowl_metal_green,filler,competitor,2,1,door_wood_red,filler,distractor,4,4
6736-0,1592936988485,27,clickedObj,,bottle_plastic_green,low_difficulty,target,3,1,bottle_glass_clear_original,difficulty_distractor,distractor,4,3,bottle_glass_green,difficulty_distractor,distractor,2,4,bottle_glass_clear_original,difficulty_distractor,distractor,1,2
6736-0,1592937003112,28,clickedObj,,ball_metal_silver_original,filler_both,target,1,4,box_wood_green,filler,distractor,3,2,box_wood_green,filler,distractor,2,1,ruler_metal_silver_original,filler,competitor,4,3
6736-0,1592937010170,29,clickedObj,,spoon_wood_green,high_difficulty,target,2,1,spoon_wood_blue,difficulty_distractor,distractor,1,3,spoon_plastic_blue,difficulty_distractor,distractor,4,2,spoon_plastic_blue,difficulty_distractor,distractor,3,4
6736-0,1592937020138,30,clickedObj,,box_wood_blue,filler_color,target,2,1,ball_metal_red,filler,distractor,1,4,ball_metal_red,filler,distractor,4,2,vase_glass_blue,filler,competitor,3,3
6736-0,1592937030116,31,clickedObj,,vase_wood_blue,filler_material,target,4,4,door_wood_red,filler,competitor,3,2,ball_plastic_green,filler,distractor,2,1,ball_plastic_green,filler,distractor,1,3
6736-0,1592937042117,32,clickedObj,,ball_plastic_blue_original,filler_none,target,2,4,bowl_glass_clear_original,filler,distractor,3,3,door_wood_yellow,filler,competitor,1,1,bowl_glass_clear_original,filler,distractor,4,2
