gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9418-8,1592940021740,1,clickedObj,,table_metal_blue,difficulty_distractor,distractor,2,4,table_wood_blue,difficulty_distractor,distractor,1,3,table_metal_green,high_difficulty,target,4,2,table_wood_blue,difficulty_distractor,distractor,3,1
9418-8,1592940038431,2,clickedObj,,chair_metal_purple,high_difficulty,target,3,1,chair_metal_green,difficulty_distractor,distractor,4,3,chair_wood_green,difficulty_distractor,distractor,2,4,chair_wood_green,difficulty_distractor,distractor,1,2
9418-8,1592940077915,3,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,4,pitcher_glass_blue,difficulty_distractor,distractor,4,1,pitcher_glass_green,difficulty_distractor,distractor,1,2,pitcher_glass_green,difficulty_distractor,distractor,2,3
9418-8,1592940098663,4,clickedObj,,box_wood_blue,filler_color,target,1,3,bag_paper_blue,filler,competitor,3,1,ball_metal_red,filler,distractor,2,4,ball_metal_red,filler,distractor,4,2
9418-8,1592940125799,5,clickedObj,,vase_wood_brown_original,filler_material,target,4,3,ruler_wood_green,filler,competitor,1,4,bowl_metal_silver_original,filler,distractor,2,1,bowl_metal_silver_original,filler,distractor,3,2
9418-8,1592940153200,6,clickedObj,,table_metal_silver_original,high_difficulty,target,2,3,table_wood_green,difficulty_distractor,distractor,1,1,table_wood_green,difficulty_distractor,distractor,3,2,table_metal_green,difficulty_distractor,distractor,4,4
9418-8,1592940164461,7,clickedObj,,bag_plastic_blue,filler_color,target,1,4,vase_glass_blue,filler,competitor,3,1,ruler_wood_green,filler,distractor,2,2,ruler_wood_green,filler,distractor,4,3
9418-8,1592940175282,8,clickedObj,,door_wood_brown_original,filler_color,target,2,3,bag_paper_brown_original,filler,competitor,4,4,vase_glass_blue,filler,distractor,1,1,vase_glass_blue,filler,distractor,3,2
9418-8,1592940193812,9,clickedObj,,chair_metal_green,high_difficulty,target,4,2,chair_metal_purple,difficulty_distractor,distractor,3,3,chair_plastic_purple,difficulty_distractor,distractor,1,1,chair_plastic_purple,difficulty_distractor,distractor,2,4
9418-8,1592940207081,10,clickedObj,,bowl_glass_blue,filler_both,target,1,2,ball_metal_red,filler,distractor,3,3,vase_glass_blue,filler,competitor,2,4,ball_metal_red,filler,distractor,4,1
9418-8,1592940226169,11,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,1,plate_paper_white_original,difficulty_distractor,distractor,2,3,plate_paper_white_original,difficulty_distractor,distractor,4,2,plate_paper_blue,difficulty_distractor,distractor,1,4
9418-8,1592940251209,12,clickedObj,,table_metal_blue,high_difficulty,target,4,4,table_wood_green,difficulty_distractor,distractor,3,2,table_metal_green,difficulty_distractor,distractor,2,3,table_wood_green,difficulty_distractor,distractor,1,1
9418-8,1592940269710,13,clickedObj,,plate_paper_blue,low_difficulty,target,1,2,plate_plastic_pink,difficulty_distractor,distractor,4,3,plate_plastic_pink,difficulty_distractor,distractor,3,1,plate_plastic_blue_original,difficulty_distractor,distractor,2,4
9418-8,1592940283791,14,clickedObj,,spoon_wood_green,high_difficulty,target,2,2,spoon_metal_blue,difficulty_distractor,distractor,3,4,spoon_wood_blue,difficulty_distractor,distractor,4,1,spoon_metal_blue,difficulty_distractor,distractor,1,3
9418-8,1592940296502,15,clickedObj,,bag_plastic_green,filler_color,target,3,3,vase_glass_clear_original,filler,distractor,4,4,box_wood_green,filler,competitor,2,2,vase_glass_clear_original,filler,distractor,1,1
9418-8,1592940421047,16,clickedObj,,boot_leather_black_original,difficulty_distractor,distractor,3,4,boot_leather_green,high_difficulty,target,1,1,boot_rubber_black_original,difficulty_distractor,distractor,2,3,boot_rubber_black_original,difficulty_distractor,distractor,4,2
9418-8,1592940430600,17,clickedObj,,ruler_metal_green,filler_both,target,2,3,box_wood_brown_original,filler,distractor,3,2,box_wood_brown_original,filler,distractor,4,1,bowl_metal_green,filler,competitor,1,4
9418-8,1592940437430,18,clickedObj,,ruler_wood_blue,filler_material,target,2,3,vase_wood_green,filler,competitor,1,2,bag_plastic_white_original,filler,distractor,3,1,bag_plastic_white_original,filler,distractor,4,4
