gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3451-9,1592940970515,1,clickedObj,,ball_metal_silver_original,filler_both,target,3,2,door_steel_yellow,filler,distractor,1,4,bowl_metal_silver_original,filler,competitor,4,1,door_steel_yellow,filler,distractor,2,3
3451-9,1592941004364,2,clickedObj,,bowl_glass_blue,filler_both,target,3,4,door_steel_silver_original,filler,distractor,2,2,vase_glass_blue,filler,competitor,1,1,door_steel_silver_original,filler,distractor,4,3
3451-9,1592941017427,3,clickedObj,,box_wood_blue,filler_color,target,1,1,bag_paper_blue,filler,competitor,2,2,ruler_metal_silver_original,filler,distractor,3,4,ruler_metal_silver_original,filler,distractor,4,3
3451-9,1592941054423,4,clickedObj,,bottle_glass_green,low_difficulty,target,3,2,bottle_plastic_clear_original,difficulty_distractor,distractor,2,4,bottle_plastic_clear_original,difficulty_distractor,distractor,1,3,bottle_plastic_green,difficulty_distractor,distractor,4,1
3451-9,1592941068986,5,clickedObj,,pitcher_metal_blue,low_difficulty,target,2,2,pitcher_plastic_blue,difficulty_distractor,distractor,3,1,pitcher_plastic_white_original,difficulty_distractor,distractor,4,4,pitcher_plastic_white_original,difficulty_distractor,distractor,1,3
3451-9,1592941081437,6,clickedObj,,chair_metal_green,high_difficulty,target,4,3,chair_plastic_purple,difficulty_distractor,distractor,3,1,chair_plastic_purple,difficulty_distractor,distractor,1,2,chair_metal_purple,difficulty_distractor,distractor,2,4
3451-9,1592941092917,7,clickedObj,,table_metal_green,high_difficulty,target,4,4,table_metal_blue,difficulty_distractor,distractor,1,1,table_wood_blue,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,2,2
3451-9,1592941106727,8,clickedObj,,bottle_plastic_green,low_difficulty,target,3,1,bottle_glass_clear_original,difficulty_distractor,distractor,2,3,bottle_glass_clear_original,difficulty_distractor,distractor,4,4,bottle_glass_green,difficulty_distractor,distractor,1,2
3451-9,1592941125103,9,clickedObj,,bag_plastic_green,filler_color,target,1,4,door_steel_yellow,filler,distractor,2,3,box_wood_green,filler,competitor,4,1,door_steel_yellow,filler,distractor,3,2
3451-9,1592941153199,10,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,1,plate_paper_white_original,difficulty_distractor,distractor,1,2,plate_paper_blue,difficulty_distractor,distractor,2,4,plate_paper_white_original,difficulty_distractor,distractor,4,3
3451-9,1592941177612,11,clickedObj,,jacket_denim_purple,low_difficulty,target,2,4,jacket_leather_black_original,difficulty_distractor,distractor,3,1,jacket_leather_black_original,difficulty_distractor,distractor,1,2,jacket_leather_purple,difficulty_distractor,distractor,4,3
3451-9,1592941193342,12,clickedObj,,spoon_wood_green,high_difficulty,target,2,1,spoon_wood_blue,difficulty_distractor,distractor,3,4,spoon_plastic_blue,difficulty_distractor,distractor,1,2,spoon_plastic_blue,difficulty_distractor,distractor,4,3
3451-9,1592941205521,13,clickedObj,,table_metal_blue,high_difficulty,target,3,2,table_wood_green,difficulty_distractor,distractor,1,3,table_metal_green,difficulty_distractor,distractor,2,1,table_wood_green,difficulty_distractor,distractor,4,4
3451-9,1592941220778,14,clickedObj,,table_metal_silver_original,high_difficulty,target,2,1,table_metal_green,difficulty_distractor,distractor,1,3,table_wood_green,difficulty_distractor,distractor,4,4,table_wood_green,difficulty_distractor,distractor,3,2
3451-9,1592941230735,15,clickedObj,,box_cardboard_green,filler_none,target,4,4,ball_plastic_red,filler,distractor,2,1,ball_plastic_red,filler,distractor,3,2,ruler_metal_blue,filler,competitor,1,3
3451-9,1592941242137,16,clickedObj,,chair_metal_purple,high_difficulty,target,3,4,chair_plastic_green,difficulty_distractor,distractor,1,2,chair_plastic_green,difficulty_distractor,distractor,4,1,chair_metal_green,difficulty_distractor,distractor,2,3
3451-9,1592941250490,17,clickedObj,,ruler_wood_blue,filler_material,target,4,3,bowl_glass_clear_original,filler,distractor,2,4,bowl_glass_clear_original,filler,distractor,1,2,vase_wood_green,filler,competitor,3,1
3451-9,1592941263897,18,clickedObj,,bowl_metal_blue,filler_both,target,4,4,ruler_metal_blue,filler,competitor,2,1,ball_plastic_red,filler,distractor,1,3,ball_plastic_red,filler,distractor,3,2
3451-9,1592941272454,19,clickedObj,,door_steel_red,filler_none,target,3,3,bowl_glass_clear_original,filler,distractor,1,2,box_wood_brown_original,filler,competitor,4,4,bowl_glass_clear_original,filler,distractor,2,1
3451-9,1592941286931,20,clickedObj,,table_wood_blue,difficulty_distractor,distractor,2,1,table_wood_green,difficulty_distractor,distractor,4,4,table_metal_blue,low_difficulty,target,3,3,table_wood_green,difficulty_distractor,distractor,1,2
3451-9,1592941304324,21,clickedObj,,ball_plastic_blue_original,filler_none,target,1,3,box_cardboard_brown_original,filler,distractor,2,1,door_steel_yellow,filler,competitor,4,4,box_cardboard_brown_original,filler,distractor,3,2
3451-9,1592941317088,22,clickedObj,,plate_paper_blue,high_difficulty,target,2,4,plate_paper_green,difficulty_distractor,distractor,1,3,plate_plastic_green,difficulty_distractor,distractor,4,2,plate_plastic_green,difficulty_distractor,distractor,3,1
3451-9,1592941328888,23,clickedObj,,boot_leather_green,high_difficulty,target,2,4,boot_rubber_brown,difficulty_distractor,distractor,4,3,boot_leather_brown,difficulty_distractor,distractor,3,2,boot_rubber_brown,difficulty_distractor,distractor,1,1
3451-9,1592941344525,24,clickedObj,,bowl_glass_green,filler_material,target,4,4,ruler_metal_silver_original,filler,distractor,1,2,ruler_metal_silver_original,filler,distractor,2,3,vase_glass_clear_original,filler,competitor,3,1
3451-9,1592941357481,25,clickedObj,,bag_plastic_blue,filler_color,target,2,3,door_steel_silver_original,filler,distractor,3,1,door_steel_silver_original,filler,distractor,4,2,vase_glass_blue,filler,competitor,1,4
3451-9,1592941373084,26,clickedObj,,plate_paper_blue,low_difficulty,target,4,1,plate_plastic_pink,difficulty_distractor,distractor,3,3,plate_plastic_pink,difficulty_distractor,distractor,1,4,plate_plastic_blue_original,difficulty_distractor,distractor,2,2
3451-9,1592941385771,27,clickedObj,,cup_plastic_green,low_difficulty,target,3,3,cup_metal_silver_original,difficulty_distractor,distractor,1,4,cup_metal_green,difficulty_distractor,distractor,4,1,cup_metal_silver_original,difficulty_distractor,distractor,2,2
3451-9,1592941393846,28,clickedObj,,door_wood_brown_original,filler_color,target,4,2,bag_paper_brown_original,filler,competitor,3,3,vase_glass_clear_original,filler,distractor,2,1,vase_glass_clear_original,filler,distractor,1,4
3451-9,1592941402110,29,clickedObj,,ball_metal_green,filler_none,target,4,1,bag_paper_blue,filler,competitor,3,3,box_cardboard_brown_original,filler,distractor,2,2,box_cardboard_brown_original,filler,distractor,1,4
3451-9,1592941415165,30,clickedObj,,vase_wood_blue,filler_material,target,2,3,ball_metal_red,filler,distractor,4,1,ball_metal_red,filler,distractor,1,2,box_wood_green,filler,competitor,3,4
3451-9,1592941424356,31,clickedObj,,ruler_metal_green,filler_both,target,2,3,door_wood_red,filler,distractor,3,2,door_wood_red,filler,distractor,1,1,bowl_metal_green,filler,competitor,4,4
3451-9,1592941437498,32,clickedObj,,vase_wood_brown_original,filler_material,target,1,1,bowl_metal_green,filler,distractor,4,2,bowl_metal_green,filler,distractor,3,4,door_wood_yellow,filler,competitor,2,3
