gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2537-f,1592943378011,1,clickedObj,,boot_leather_green,high_difficulty,target,1,1,boot_leather_black_original,difficulty_distractor,distractor,2,2,boot_rubber_black_original,difficulty_distractor,distractor,4,4,boot_rubber_black_original,difficulty_distractor,distractor,3,3
2537-f,1592943401266,2,clickedObj,,door_wood_brown_original,filler_color,target,3,1,ball_plastic_red,filler,distractor,2,2,ball_plastic_red,filler,distractor,1,4,box_cardboard_brown_original,filler,competitor,4,3
2537-f,1592943417462,3,clickedObj,,table_metal_silver_original,high_difficulty,target,2,1,table_wood_blue,difficulty_distractor,distractor,4,4,table_metal_blue,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,1,2
2537-f,1592943431465,4,clickedObj,,bowl_glass_green,filler_material,target,1,2,vase_glass_clear_original,filler,competitor,3,4,box_cardboard_brown_original,filler,distractor,2,3,box_cardboard_brown_original,filler,distractor,4,1
2537-f,1592943447538,5,clickedObj,,plate_plastic_blue_original,low_difficulty,target,2,4,plate_paper_blue,difficulty_distractor,distractor,3,3,plate_paper_green,difficulty_distractor,distractor,1,1,plate_paper_green,difficulty_distractor,distractor,4,2
2537-f,1592943476222,6,clickedObj,,bottle_plastic_green,low_difficulty,target,1,2,bottle_glass_clear_original,difficulty_distractor,distractor,4,4,bottle_glass_clear_original,difficulty_distractor,distractor,2,1,bottle_glass_green,difficulty_distractor,distractor,3,3
2537-f,1592943490975,7,clickedObj,,table_metal_blue,low_difficulty,target,2,1,table_wood_brown_original,difficulty_distractor,distractor,3,4,table_wood_blue,difficulty_distractor,distractor,1,3,table_wood_brown_original,difficulty_distractor,distractor,4,2
2537-f,1592943502075,8,clickedObj,,vase_wood_blue,filler_material,target,2,3,door_steel_yellow,filler,distractor,4,1,ruler_wood_green,filler,competitor,3,2,door_steel_yellow,filler,distractor,1,4
2537-f,1592943516151,9,clickedObj,,box_cardboard_green,filler_none,target,4,3,vase_glass_blue,filler,distractor,1,1,bag_paper_brown_original,filler,competitor,3,4,vase_glass_blue,filler,distractor,2,2
2537-f,1592943526464,10,clickedObj,,box_wood_blue,filler_color,target,4,2,door_steel_yellow,filler,distractor,1,3,vase_glass_blue,filler,competitor,2,4,door_steel_yellow,filler,distractor,3,1
2537-f,1592943538828,11,clickedObj,,table_metal_blue,high_difficulty,target,2,2,table_wood_green,difficulty_distractor,distractor,1,4,table_metal_green,difficulty_distractor,distractor,4,1,table_wood_green,difficulty_distractor,distractor,3,3
2537-f,1592943547305,12,clickedObj,,ruler_wood_blue,filler_material,target,4,4,box_wood_green,filler,competitor,2,3,ball_metal_red,filler,distractor,3,2,ball_metal_red,filler,distractor,1,1
2537-f,1592943557129,13,clickedObj,,bowl_glass_blue,filler_both,target,4,3,door_steel_yellow,filler,distractor,1,1,vase_glass_blue,filler,competitor,2,4,door_steel_yellow,filler,distractor,3,2
2537-f,1592943585096,14,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,2,pitcher_plastic_blue,difficulty_distractor,distractor,4,3,pitcher_plastic_white_original,difficulty_distractor,distractor,1,1,pitcher_plastic_white_original,difficulty_distractor,distractor,2,4
2537-f,1592943610787,15,clickedObj,,bottle_glass_green,low_difficulty,target,1,4,bottle_plastic_blue,difficulty_distractor,distractor,2,1,bottle_plastic_green,difficulty_distractor,distractor,3,2,bottle_plastic_blue,difficulty_distractor,distractor,4,3
2537-f,1592943619461,16,clickedObj,,plate_paper_blue,high_difficulty,target,1,3,plate_paper_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,2,2,plate_plastic_green,difficulty_distractor,distractor,4,1
2537-f,1592943627165,17,clickedObj,,door_steel_red,filler_none,target,3,2,box_cardboard_blue,filler,competitor,2,3,vase_glass_clear_original,filler,distractor,1,1,vase_glass_clear_original,filler,distractor,4,4
2537-f,1592943637045,18,clickedObj,,ball_metal_silver_original,filler_both,target,2,3,bowl_metal_silver_original,filler,competitor,3,2,ruler_wood_green,filler,distractor,1,1,ruler_wood_green,filler,distractor,4,4
2537-f,1592943648785,19,clickedObj,,ball_plastic_blue_original,filler_none,target,1,1,box_wood_brown_original,filler,distractor,2,3,box_wood_brown_original,filler,distractor,4,4,door_steel_yellow,filler,competitor,3,2
2537-f,1592943660433,20,clickedObj,,spoon_wood_green,high_difficulty,target,3,4,spoon_metal_blue,difficulty_distractor,distractor,2,1,spoon_wood_blue,difficulty_distractor,distractor,1,2,spoon_metal_blue,difficulty_distractor,distractor,4,3
2537-f,1592943670353,21,clickedObj,,ruler_metal_green,filler_both,target,1,1,bowl_metal_green,filler,competitor,2,4,bag_paper_blue,filler,distractor,4,2,bag_paper_blue,filler,distractor,3,3
2537-f,1592943698473,22,clickedObj,,jacket_denim_purple,low_difficulty,target,1,3,jacket_leather_black_original,difficulty_distractor,distractor,2,1,jacket_leather_purple,difficulty_distractor,distractor,3,4,jacket_leather_black_original,difficulty_distractor,distractor,4,2
2537-f,1592943715900,23,clickedObj,,cup_plastic_green,low_difficulty,target,4,3,cup_metal_blue,difficulty_distractor,distractor,2,2,cup_metal_green,difficulty_distractor,distractor,3,4,cup_metal_blue,difficulty_distractor,distractor,1,1
2537-f,1592943725897,24,clickedObj,,chair_metal_green,high_difficulty,target,1,4,chair_plastic_purple,difficulty_distractor,distractor,4,1,chair_metal_purple,difficulty_distractor,distractor,3,3,chair_plastic_purple,difficulty_distractor,distractor,2,2
2537-f,1592943735366,25,clickedObj,,chair_metal_purple,high_difficulty,target,1,2,chair_wood_green,difficulty_distractor,distractor,4,4,chair_wood_green,difficulty_distractor,distractor,2,1,chair_metal_green,difficulty_distractor,distractor,3,3
2537-f,1592943748165,26,clickedObj,,plate_paper_blue,low_difficulty,target,4,3,plate_plastic_pink,difficulty_distractor,distractor,2,2,plate_plastic_pink,difficulty_distractor,distractor,3,4,plate_plastic_blue_original,difficulty_distractor,distractor,1,1
2537-f,1592943755971,27,clickedObj,,ball_metal_green,filler_none,target,3,1,door_steel_yellow,filler,distractor,2,3,bag_paper_brown_original,filler,competitor,1,2,door_steel_yellow,filler,distractor,4,4
