gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0512-8,1592921836006,1,clickedObj,,door_steel_red,filler_none,target,4,4,box_wood_brown_original,filler,competitor,2,3,bowl_glass_clear_original,filler,distractor,1,2,bowl_glass_clear_original,filler,distractor,3,1
0512-8,1592921846785,2,clickedObj,,jacket_denim_purple,low_difficulty,target,2,3,jacket_leather_black_original,difficulty_distractor,distractor,4,2,jacket_leather_purple,difficulty_distractor,distractor,1,4,jacket_leather_black_original,difficulty_distractor,distractor,3,1
0512-8,1592921856254,3,clickedObj,,plate_plastic_blue_original,low_difficulty,target,4,4,plate_paper_blue,difficulty_distractor,distractor,1,3,plate_paper_white_original,difficulty_distractor,distractor,3,1,plate_paper_white_original,difficulty_distractor,distractor,2,2
0512-8,1592921863297,4,clickedObj,,ruler_metal_green,filler_both,target,3,2,ball_plastic_red,filler,distractor,2,3,bowl_metal_green,filler,competitor,4,4,ball_plastic_red,filler,distractor,1,1
0512-8,1592921869557,5,clickedObj,,plate_paper_blue,low_difficulty,target,4,4,plate_plastic_blue_original,difficulty_distractor,distractor,2,3,plate_plastic_green,difficulty_distractor,distractor,1,1,plate_plastic_green,difficulty_distractor,distractor,3,2
0512-8,1592921876223,6,clickedObj,,table_metal_blue,high_difficulty,target,3,2,table_wood_green,difficulty_distractor,distractor,2,4,table_wood_green,difficulty_distractor,distractor,1,1,table_metal_green,difficulty_distractor,distractor,4,3
0512-8,1592921883331,7,clickedObj,,bowl_glass_blue,filler_both,target,1,4,ruler_metal_silver_original,filler,distractor,3,1,vase_glass_blue,filler,competitor,4,3,ruler_metal_silver_original,filler,distractor,2,2
0512-8,1592921888331,8,clickedObj,,table_metal_green,high_difficulty,target,2,4,table_metal_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,3,2,table_wood_blue,difficulty_distractor,distractor,1,3
0512-8,1592921896136,9,clickedObj,,vase_wood_brown_original,filler_material,target,2,1,ruler_metal_blue,filler,distractor,1,2,ruler_metal_blue,filler,distractor,4,4,door_wood_yellow,filler,competitor,3,3
0512-8,1592921901275,10,clickedObj,,bag_plastic_green,filler_color,target,3,2,door_wood_red,filler,distractor,1,3,vase_glass_green,filler,competitor,4,1,door_wood_red,filler,distractor,2,4
0512-8,1592921906989,11,clickedObj,,door_wood_brown_original,filler_color,target,1,1,bowl_metal_green,filler,distractor,4,3,bag_paper_brown_original,filler,competitor,2,4,bowl_metal_green,filler,distractor,3,2
0512-8,1592921912423,12,clickedObj,,ball_plastic_blue_original,filler_none,target,4,4,box_wood_green,filler,competitor,1,3,ruler_metal_silver_original,filler,distractor,3,2,ruler_metal_silver_original,filler,distractor,2,1
0512-8,1592921918759,13,clickedObj,,boot_leather_green,high_difficulty,target,4,4,boot_rubber_brown,difficulty_distractor,distractor,1,1,boot_leather_brown,difficulty_distractor,distractor,2,3,boot_rubber_brown,difficulty_distractor,distractor,3,2
0512-8,1592921924129,14,clickedObj,,bowl_metal_blue,filler_both,target,4,2,ruler_metal_blue,filler,competitor,1,4,vase_wood_green,filler,distractor,2,1,vase_wood_green,filler,distractor,3,3
0512-8,1592921933400,15,clickedObj,,table_metal_blue,low_difficulty,target,4,1,table_wood_blue,difficulty_distractor,distractor,2,3,table_wood_green,difficulty_distractor,distractor,1,2,table_wood_green,difficulty_distractor,distractor,3,4
0512-8,1592921940715,16,clickedObj,,ball_metal_silver_original,filler_both,target,2,4,vase_glass_blue,filler,distractor,1,2,vase_glass_blue,filler,distractor,3,3,bowl_metal_silver_original,filler,competitor,4,1
0512-8,1592921947613,17,clickedObj,,table_metal_silver_original,high_difficulty,target,1,2,table_wood_blue,difficulty_distractor,distractor,2,4,table_metal_blue,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,4,1
0512-8,1592921953463,18,clickedObj,,spoon_wood_green,high_difficulty,target,3,2,spoon_wood_blue,difficulty_distractor,distractor,2,3,spoon_metal_blue,difficulty_distractor,distractor,1,4,spoon_metal_blue,difficulty_distractor,distractor,4,1
0512-8,1592921960292,19,clickedObj,,bottle_plastic_green,low_difficulty,target,1,4,bottle_glass_blue,difficulty_distractor,distractor,3,2,bottle_glass_blue,difficulty_distractor,distractor,2,1,bottle_glass_green,difficulty_distractor,distractor,4,3
0512-8,1592921965265,20,clickedObj,,chair_metal_purple,high_difficulty,target,1,4,chair_wood_green,difficulty_distractor,distractor,4,1,chair_metal_green,difficulty_distractor,distractor,2,2,chair_wood_green,difficulty_distractor,distractor,3,3
0512-8,1592921971739,21,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,1,pitcher_plastic_blue,difficulty_distractor,distractor,1,4,pitcher_plastic_white_original,difficulty_distractor,distractor,4,3,pitcher_plastic_white_original,difficulty_distractor,distractor,2,2
0512-8,1592921979639,22,clickedObj,,bottle_glass_green,low_difficulty,target,4,2,bottle_plastic_green,difficulty_distractor,distractor,3,1,bottle_plastic_blue,difficulty_distractor,distractor,2,3,bottle_plastic_blue,difficulty_distractor,distractor,1,4
0512-8,1592921988900,23,clickedObj,,cup_plastic_green,low_difficulty,target,3,1,cup_metal_silver_original,difficulty_distractor,distractor,1,2,cup_metal_green,difficulty_distractor,distractor,4,4,cup_metal_silver_original,difficulty_distractor,distractor,2,3
0512-8,1592921993529,24,clickedObj,,chair_metal_green,high_difficulty,target,2,4,chair_wood_purple,difficulty_distractor,distractor,4,1,chair_wood_purple,difficulty_distractor,distractor,1,2,chair_metal_purple,difficulty_distractor,distractor,3,3
0512-8,1592921997625,25,clickedObj,,plate_paper_blue,high_difficulty,target,2,3,plate_plastic_green,difficulty_distractor,distractor,3,2,plate_plastic_green,difficulty_distractor,distractor,1,1,plate_paper_green,difficulty_distractor,distractor,4,4
0512-8,1592922002563,26,clickedObj,,vase_wood_blue,filler_material,target,1,1,bowl_glass_clear_original,filler,distractor,3,4,door_wood_red,filler,competitor,4,2,bowl_glass_clear_original,filler,distractor,2,3
0512-8,1592922007429,27,clickedObj,,box_cardboard_green,filler_none,target,2,1,vase_glass_clear_original,filler,distractor,3,3,bag_paper_blue,filler,competitor,1,4,vase_glass_clear_original,filler,distractor,4,2
0512-8,1592922014047,28,clickedObj,,ruler_wood_blue,filler_material,target,4,2,bowl_glass_clear_original,filler,distractor,1,3,door_wood_yellow,filler,competitor,2,1,bowl_glass_clear_original,filler,distractor,3,4
0512-8,1592922018426,29,clickedObj,,ball_metal_green,filler_none,target,4,1,ruler_wood_brown_original,filler,competitor,3,4,door_steel_yellow,filler,distractor,1,3,door_steel_yellow,filler,distractor,2,2
0512-8,1592922023263,30,clickedObj,,bowl_glass_green,filler_material,target,4,2,ruler_metal_blue,filler,distractor,1,3,ruler_metal_blue,filler,distractor,3,1,vase_glass_clear_original,filler,competitor,2,4
0512-8,1592922029288,31,clickedObj,,box_wood_blue,filler_color,target,4,2,door_steel_yellow,filler,distractor,3,4,vase_glass_blue,filler,competitor,1,3,door_steel_yellow,filler,distractor,2,1
0512-8,1592922034319,32,clickedObj,,bag_plastic_blue,filler_color,target,1,1,ruler_metal_blue,filler,competitor,4,4,box_cardboard_brown_original,filler,distractor,2,3,box_cardboard_brown_original,filler,distractor,3,2
