gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0856-5,1592921928050,1,clickedObj,,bowl_metal_blue,filler_both,target,1,3,vase_glass_clear_original,filler,distractor,3,4,ruler_metal_blue,filler,competitor,4,2,vase_glass_clear_original,filler,distractor,2,1
0856-5,1592921944416,2,clickedObj,,boot_leather_green,high_difficulty,target,4,3,boot_rubber_black_original,difficulty_distractor,distractor,1,2,boot_rubber_black_original,difficulty_distractor,distractor,2,4,boot_leather_black_original,difficulty_distractor,distractor,3,1
0856-5,1592921957873,3,clickedObj,,bottle_glass_green,difficulty_distractor,distractor,2,1,bottle_plastic_green,low_difficulty,target,1,2,bottle_glass_clear_original,difficulty_distractor,distractor,3,4,bottle_glass_clear_original,difficulty_distractor,distractor,4,3
0856-5,1592921964871,4,clickedObj,,door_steel_red,filler_none,target,3,4,bag_plastic_white_original,filler,distractor,1,3,box_wood_green,filler,competitor,4,1,bag_plastic_white_original,filler,distractor,2,2
0856-5,1592921974169,5,clickedObj,,ruler_metal_green,filler_both,target,1,1,bag_paper_brown_original,filler,distractor,4,2,bowl_metal_green,filler,competitor,2,4,bag_paper_brown_original,filler,distractor,3,3
0856-5,1592921979783,6,clickedObj,,vase_wood_blue,filler_material,target,2,3,ball_metal_red,filler,distractor,1,2,ruler_wood_brown_original,filler,competitor,3,4,ball_metal_red,filler,distractor,4,1
0856-5,1592921994504,7,clickedObj,,table_metal_blue,low_difficulty,target,4,2,table_wood_green,difficulty_distractor,distractor,1,1,table_wood_blue,difficulty_distractor,distractor,3,3,table_wood_green,difficulty_distractor,distractor,2,4
0856-5,1592922005503,8,clickedObj,,vase_wood_brown_original,filler_material,target,3,4,ruler_wood_green,filler,competitor,1,1,bag_paper_blue,filler,distractor,4,2,bag_paper_blue,filler,distractor,2,3
0856-5,1592922027055,9,clickedObj,,bottle_glass_green,low_difficulty,target,2,4,bottle_plastic_green,difficulty_distractor,distractor,3,3,bottle_plastic_blue,difficulty_distractor,distractor,1,1,bottle_plastic_blue,difficulty_distractor,distractor,4,2
0856-5,1592922036369,10,clickedObj,,cup_plastic_green,low_difficulty,target,4,4,cup_metal_green,difficulty_distractor,distractor,2,1,cup_metal_blue,difficulty_distractor,distractor,1,2,cup_metal_blue,difficulty_distractor,distractor,3,3
0856-5,1592922044151,11,clickedObj,,chair_metal_purple,high_difficulty,target,1,1,chair_plastic_green,difficulty_distractor,distractor,2,2,chair_plastic_green,difficulty_distractor,distractor,4,3,chair_metal_green,difficulty_distractor,distractor,3,4
0856-5,1592922049425,12,clickedObj,,ball_metal_silver_original,filler_both,target,1,1,vase_wood_green,filler,distractor,3,4,ruler_metal_silver_original,filler,competitor,2,3,vase_wood_green,filler,distractor,4,2
0856-5,1592922055911,13,clickedObj,,ruler_wood_blue,filler_material,target,1,1,bag_paper_green,filler,distractor,4,4,bag_paper_green,filler,distractor,3,3,door_wood_red,filler,competitor,2,2
0856-5,1592922061791,14,clickedObj,,chair_metal_green,high_difficulty,target,2,1,chair_metal_purple,difficulty_distractor,distractor,3,2,chair_plastic_purple,difficulty_distractor,distractor,4,3,chair_plastic_purple,difficulty_distractor,distractor,1,4
0856-5,1592922073595,15,clickedObj,,plate_paper_blue,low_difficulty,target,2,3,plate_plastic_green,difficulty_distractor,distractor,1,1,plate_plastic_green,difficulty_distractor,distractor,4,2,plate_plastic_blue_original,difficulty_distractor,distractor,3,4
0856-5,1592922081265,16,clickedObj,,table_metal_blue,high_difficulty,target,4,3,table_wood_green,difficulty_distractor,distractor,1,4,table_metal_green,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,2,1
0856-5,1592922088281,17,clickedObj,,bag_plastic_blue,filler_color,target,1,3,ruler_metal_blue,filler,competitor,2,2,box_wood_brown_original,filler,distractor,4,4,box_wood_brown_original,filler,distractor,3,1
0856-5,1592922094141,18,clickedObj,,bag_plastic_green,filler_color,target,3,3,bowl_metal_silver_original,filler,distractor,4,1,bowl_metal_silver_original,filler,distractor,1,4,ruler_wood_green,filler,competitor,2,2
0856-5,1592922103309,19,clickedObj,,ball_plastic_blue_original,filler_none,target,3,3,door_steel_silver_original,filler,distractor,4,2,bowl_glass_clear_original,filler,competitor,2,4,door_steel_silver_original,filler,distractor,1,1
0856-5,1592922113878,20,clickedObj,,pitcher_metal_blue,low_difficulty,target,2,2,pitcher_plastic_blue,difficulty_distractor,distractor,3,3,pitcher_plastic_white_original,difficulty_distractor,distractor,1,1,pitcher_plastic_white_original,difficulty_distractor,distractor,4,4
0856-5,1592922126353,21,clickedObj,,box_cardboard_green,filler_none,target,1,3,vase_glass_clear_original,filler,distractor,4,4,vase_glass_clear_original,filler,distractor,3,2,door_steel_silver_original,filler,competitor,2,1
0856-5,1592922135793,22,clickedObj,,plate_plastic_blue_original,low_difficulty,target,4,4,plate_paper_white_original,difficulty_distractor,distractor,1,3,plate_paper_blue,difficulty_distractor,distractor,3,1,plate_paper_white_original,difficulty_distractor,distractor,2,2
0856-5,1592922143489,23,clickedObj,,bowl_glass_green,filler_material,target,1,2,bag_paper_brown_original,filler,distractor,4,4,bag_paper_brown_original,filler,distractor,3,3,vase_glass_clear_original,filler,competitor,2,1
0856-5,1592922150636,24,clickedObj,,table_metal_green,high_difficulty,target,4,4,table_wood_blue,difficulty_distractor,distractor,2,2,table_wood_blue,difficulty_distractor,distractor,3,1,table_metal_blue,difficulty_distractor,distractor,1,3
0856-5,1592922165081,25,clickedObj,,table_metal_silver_original,high_difficulty,target,3,4,table_metal_blue,difficulty_distractor,distractor,2,3,table_wood_blue,difficulty_distractor,distractor,1,2,table_wood_blue,difficulty_distractor,distractor,4,1
0856-5,1592922173457,26,clickedObj,,spoon_wood_green,high_difficulty,target,2,1,spoon_plastic_blue,difficulty_distractor,distractor,4,3,spoon_plastic_blue,difficulty_distractor,distractor,3,4,spoon_wood_blue,difficulty_distractor,distractor,1,2
0856-5,1592922182288,27,clickedObj,,plate_paper_blue,high_difficulty,target,1,3,plate_plastic_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,4,1,plate_paper_green,difficulty_distractor,distractor,2,2
0856-5,1592922191047,28,clickedObj,,ball_metal_green,filler_none,target,3,2,ruler_wood_brown_original,filler,competitor,2,1,vase_glass_blue,filler,distractor,1,4,vase_glass_blue,filler,distractor,4,3
0856-5,1592922204291,29,clickedObj,,bowl_glass_blue,filler_both,target,2,3,vase_glass_blue,filler,competitor,1,4,ruler_wood_green,filler,distractor,4,1,ruler_wood_green,filler,distractor,3,2
0856-5,1592922215442,30,clickedObj,,box_wood_blue,filler_color,target,2,4,ball_plastic_green,filler,distractor,3,2,ball_plastic_green,filler,distractor,1,3,bag_paper_blue,filler,competitor,4,1
0856-5,1592922233794,31,clickedObj,,jacket_denim_purple,low_difficulty,target,3,2,jacket_leather_purple,difficulty_distractor,distractor,4,4,jacket_leather_black_original,difficulty_distractor,distractor,2,1,jacket_leather_black_original,difficulty_distractor,distractor,1,3
0856-5,1592922241616,32,clickedObj,,door_wood_brown_original,filler_color,target,3,4,ball_plastic_green,filler,distractor,4,2,bag_paper_brown_original,filler,competitor,1,1,ball_plastic_green,filler,distractor,2,3
