gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5639-3,1592922021819,1,clickedObj,,boot_leather_green,high_difficulty,target,1,2,boot_leather_black_original,difficulty_distractor,distractor,4,1,boot_rubber_black_original,difficulty_distractor,distractor,2,4,boot_rubber_black_original,difficulty_distractor,distractor,3,3
5639-3,1592922029301,2,clickedObj,,vase_wood_brown_original,filler_material,target,3,3,box_cardboard_blue,filler,distractor,4,1,door_wood_red,filler,competitor,2,2,box_cardboard_blue,filler,distractor,1,4
5639-3,1592922040115,3,clickedObj,,cup_plastic_green,low_difficulty,target,3,2,cup_metal_silver_original,difficulty_distractor,distractor,4,4,cup_metal_silver_original,difficulty_distractor,distractor,2,3,cup_metal_green,difficulty_distractor,distractor,1,1
5639-3,1592922054206,4,clickedObj,,ball_plastic_blue_original,filler_none,target,3,1,bowl_metal_silver_original,filler,distractor,2,4,vase_glass_clear_original,filler,competitor,4,2,bowl_metal_silver_original,filler,distractor,1,3
5639-3,1592922075874,5,clickedObj,,table_metal_silver_original,high_difficulty,target,4,4,table_metal_green,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,2,3,table_wood_green,difficulty_distractor,distractor,1,1
5639-3,1592922106967,6,clickedObj,,plate_paper_blue,low_difficulty,target,1,3,plate_plastic_blue_original,difficulty_distractor,distractor,4,1,plate_plastic_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,2,2
5639-3,1592922113849,7,clickedObj,,vase_wood_blue,filler_material,target,2,1,ruler_metal_silver_original,filler,distractor,1,4,box_wood_green,filler,competitor,3,2,ruler_metal_silver_original,filler,distractor,4,3
5639-3,1592922123008,8,clickedObj,,ball_metal_green,filler_none,target,2,2,bowl_glass_clear_original,filler,distractor,1,1,bag_paper_brown_original,filler,competitor,4,3,bowl_glass_clear_original,filler,distractor,3,4
5639-3,1592922132568,9,clickedObj,,ball_metal_silver_original,filler_both,target,4,2,bag_paper_blue,filler,distractor,1,3,ruler_metal_silver_original,filler,competitor,3,1,bag_paper_blue,filler,distractor,2,4
5639-3,1592922140802,10,clickedObj,,table_metal_blue,high_difficulty,target,1,3,table_wood_green,difficulty_distractor,distractor,4,4,table_metal_green,difficulty_distractor,distractor,3,1,table_wood_green,difficulty_distractor,distractor,2,2
5639-3,1592922151970,11,clickedObj,,ruler_metal_green,filler_both,target,3,2,bowl_metal_green,filler,competitor,1,3,door_wood_red,filler,distractor,2,1,door_wood_red,filler,distractor,4,4
5639-3,1592922169173,12,clickedObj,,table_metal_green,high_difficulty,target,3,4,table_metal_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,1,3,table_wood_blue,difficulty_distractor,distractor,2,2
5639-3,1592922184723,13,clickedObj,,jacket_denim_purple,low_difficulty,target,4,1,jacket_leather_black_original,difficulty_distractor,distractor,1,2,jacket_leather_purple,difficulty_distractor,distractor,3,4,jacket_leather_black_original,difficulty_distractor,distractor,2,3
5639-3,1592922195779,14,clickedObj,,bowl_glass_green,filler_material,target,2,1,bag_paper_brown_original,filler,distractor,3,3,vase_glass_clear_original,filler,competitor,4,2,bag_paper_brown_original,filler,distractor,1,4
5639-3,1592922204694,15,clickedObj,,table_metal_blue,low_difficulty,target,2,1,table_wood_brown_original,difficulty_distractor,distractor,4,3,table_wood_blue,difficulty_distractor,distractor,3,2,table_wood_brown_original,difficulty_distractor,distractor,1,4
5639-3,1592922214919,16,clickedObj,,bowl_glass_blue,filler_both,target,3,1,door_steel_silver_original,filler,distractor,1,3,door_steel_silver_original,filler,distractor,2,4,vase_glass_blue,filler,competitor,4,2
