gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3231-a,1592922070315,1,clickedObj,,box_cardboard_green,filler_none,target,3,4,door_steel_yellow,filler,distractor,1,2,door_steel_yellow,filler,distractor,2,1,ball_metal_red,filler,competitor,4,3
3231-a,1592922085068,2,clickedObj,,plate_paper_blue,high_difficulty,target,4,3,plate_plastic_green,difficulty_distractor,distractor,2,1,plate_paper_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,1,2
3231-a,1592922106469,3,clickedObj,,table_metal_blue,low_difficulty,target,2,1,table_wood_brown_original,difficulty_distractor,distractor,1,4,table_wood_brown_original,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,4,2
3231-a,1592922116147,4,clickedObj,,ruler_metal_green,filler_both,target,3,1,door_wood_yellow,filler,distractor,1,3,door_wood_yellow,filler,distractor,4,2,bowl_metal_green,filler,competitor,2,4
3231-a,1592922129399,5,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,1,plate_paper_white_original,difficulty_distractor,distractor,2,3,plate_paper_blue,difficulty_distractor,distractor,1,4,plate_paper_white_original,difficulty_distractor,distractor,4,2
3231-a,1592922139987,6,clickedObj,,bag_plastic_green,filler_color,target,3,2,door_steel_yellow,filler,distractor,2,3,vase_wood_green,filler,competitor,1,1,door_steel_yellow,filler,distractor,4,4
3231-a,1592922151488,7,clickedObj,,bowl_glass_blue,filler_both,target,4,3,vase_glass_blue,filler,competitor,2,2,box_wood_brown_original,filler,distractor,1,1,box_wood_brown_original,filler,distractor,3,4
3231-a,1592922159440,8,clickedObj,,vase_wood_blue,filler_material,target,3,2,ruler_metal_silver_original,filler,distractor,1,3,ruler_metal_silver_original,filler,distractor,4,1,door_wood_yellow,filler,competitor,2,4
3231-a,1592922170552,9,clickedObj,,box_wood_blue,filler_color,target,4,2,bag_paper_blue,filler,competitor,3,1,vase_glass_clear_original,filler,distractor,1,3,vase_glass_clear_original,filler,distractor,2,4
3231-a,1592922181568,10,clickedObj,,door_wood_brown_original,filler_color,target,4,3,bowl_metal_green,filler,distractor,3,1,bowl_metal_green,filler,distractor,1,4,bag_paper_brown_original,filler,competitor,2,2
3231-a,1592922189690,11,clickedObj,,table_metal_blue,high_difficulty,target,3,1,table_wood_green,difficulty_distractor,distractor,2,2,table_metal_green,difficulty_distractor,distractor,4,4,table_wood_green,difficulty_distractor,distractor,1,3
3231-a,1592922196669,12,clickedObj,,bowl_metal_blue,filler_both,target,3,2,bag_paper_green,filler,distractor,4,1,bag_paper_green,filler,distractor,2,3,ruler_metal_blue,filler,competitor,1,4
