gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7754-6,1592922138961,1,clickedObj,,plate_paper_blue,high_difficulty,target,1,1,plate_paper_green,difficulty_distractor,distractor,4,3,plate_plastic_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,2,2
7754-6,1592922167397,2,clickedObj,,bottle_glass_green,low_difficulty,target,3,2,bottle_plastic_green,difficulty_distractor,distractor,2,1,bottle_plastic_clear_original,difficulty_distractor,distractor,4,3,bottle_plastic_clear_original,difficulty_distractor,distractor,1,4
7754-6,1592922183335,3,clickedObj,,table_metal_blue,low_difficulty,target,1,1,table_wood_green,difficulty_distractor,distractor,4,3,table_wood_blue,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,2,4
7754-6,1592922198558,4,clickedObj,,ball_metal_green,filler_none,target,1,3,bag_plastic_white_original,filler,distractor,2,1,bag_plastic_white_original,filler,distractor,3,4,door_wood_yellow,filler,competitor,4,2
7754-6,1592922211272,5,clickedObj,,bag_plastic_green,filler_color,target,4,1,ball_metal_red,filler,distractor,1,4,ball_metal_red,filler,distractor,3,3,ruler_wood_green,filler,competitor,2,2
7754-6,1592922218910,6,clickedObj,,chair_metal_green,high_difficulty,target,2,2,chair_wood_purple,difficulty_distractor,distractor,3,3,chair_wood_purple,difficulty_distractor,distractor,1,1,chair_metal_purple,difficulty_distractor,distractor,4,4
7754-6,1592922226635,7,clickedObj,,boot_leather_green,high_difficulty,target,3,4,boot_rubber_black_original,difficulty_distractor,distractor,1,3,boot_rubber_black_original,difficulty_distractor,distractor,4,2,boot_leather_black_original,difficulty_distractor,distractor,2,1
7754-6,1592922233672,8,clickedObj,,ruler_metal_green,filler_both,target,2,2,bag_paper_brown_original,filler,distractor,3,4,bowl_metal_green,filler,competitor,4,1,bag_paper_brown_original,filler,distractor,1,3
7754-6,1592922241992,9,clickedObj,,ball_plastic_blue_original,filler_none,target,2,1,vase_glass_clear_original,filler,competitor,1,3,door_steel_yellow,filler,distractor,4,2,door_steel_yellow,filler,distractor,3,4
7754-6,1592922257054,10,clickedObj,,vase_wood_blue,filler_material,target,1,3,ball_metal_red,filler,distractor,3,1,ruler_wood_brown_original,filler,competitor,2,2,ball_metal_red,filler,distractor,4,4
7754-6,1592922264265,11,clickedObj,,vase_wood_brown_original,filler_material,target,2,4,bowl_glass_clear_original,filler,distractor,4,2,box_wood_green,filler,competitor,3,1,bowl_glass_clear_original,filler,distractor,1,3
7754-6,1592922273516,12,clickedObj,,bowl_metal_blue,filler_both,target,2,2,box_wood_green,filler,distractor,4,3,box_wood_green,filler,distractor,3,4,ruler_metal_blue,filler,competitor,1,1
7754-6,1592922279947,13,clickedObj,,door_wood_brown_original,filler_color,target,1,1,box_cardboard_brown_original,filler,competitor,3,2,vase_glass_clear_original,filler,distractor,2,4,vase_glass_clear_original,filler,distractor,4,3
7754-6,1592922288263,14,clickedObj,,table_metal_green,high_difficulty,target,3,4,table_wood_blue,difficulty_distractor,distractor,1,2,table_metal_blue,difficulty_distractor,distractor,2,1,table_wood_blue,difficulty_distractor,distractor,4,3
7754-6,1592922299632,15,clickedObj,,bowl_glass_blue,filler_both,target,4,3,vase_glass_blue,filler,competitor,3,4,ball_plastic_red,filler,distractor,1,2,ball_plastic_red,filler,distractor,2,1
7754-6,1592922309425,16,clickedObj,,table_metal_blue,high_difficulty,target,2,1,table_wood_green,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,1,4,table_metal_green,difficulty_distractor,distractor,4,3
7754-6,1592922317799,17,clickedObj,,bowl_glass_green,filler_material,target,2,3,vase_glass_blue,filler,competitor,1,4,ball_plastic_red,filler,distractor,4,2,ball_plastic_red,filler,distractor,3,1
7754-6,1592922327515,18,clickedObj,,table_metal_silver_original,high_difficulty,target,2,3,table_metal_green,difficulty_distractor,distractor,1,1,table_wood_green,difficulty_distractor,distractor,3,4,table_wood_green,difficulty_distractor,distractor,4,2
7754-6,1592922336105,19,clickedObj,,ball_metal_silver_original,filler_both,target,1,3,ruler_metal_silver_original,filler,competitor,2,4,bag_plastic_white_original,filler,distractor,4,2,bag_plastic_white_original,filler,distractor,3,1
7754-6,1592922358917,20,clickedObj,,cup_plastic_green,low_difficulty,target,2,2,cup_metal_silver_original,difficulty_distractor,distractor,3,1,cup_metal_green,difficulty_distractor,distractor,1,4,cup_metal_silver_original,difficulty_distractor,distractor,4,3
7754-6,1592922365301,21,clickedObj,,ruler_wood_blue,filler_material,target,2,1,vase_wood_green,filler,competitor,1,4,bowl_glass_clear_original,filler,distractor,4,2,bowl_glass_clear_original,filler,distractor,3,3
7754-6,1592922383331,22,clickedObj,,jacket_denim_purple,low_difficulty,target,3,4,jacket_leather_green,difficulty_distractor,distractor,4,1,jacket_leather_green,difficulty_distractor,distractor,2,3,jacket_leather_purple,difficulty_distractor,distractor,1,2
7754-6,1592922392563,23,clickedObj,,bag_plastic_blue,filler_color,target,1,2,bowl_metal_silver_original,filler,distractor,2,4,bowl_metal_silver_original,filler,distractor,4,3,vase_glass_blue,filler,competitor,3,1
7754-6,1592922409183,24,clickedObj,,plate_paper_blue,low_difficulty,target,3,1,plate_plastic_pink,difficulty_distractor,distractor,4,4,plate_plastic_blue_original,difficulty_distractor,distractor,2,2,plate_plastic_pink,difficulty_distractor,distractor,1,3
7754-6,1592922423113,25,clickedObj,,pitcher_metal_blue,low_difficulty,target,1,1,pitcher_plastic_white_original,difficulty_distractor,distractor,4,4,pitcher_plastic_blue,difficulty_distractor,distractor,3,3,pitcher_plastic_white_original,difficulty_distractor,distractor,2,2
7754-6,1592922437466,26,clickedObj,,plate_plastic_blue_original,low_difficulty,target,2,1,plate_paper_blue,difficulty_distractor,distractor,4,3,plate_paper_white_original,difficulty_distractor,distractor,1,2,plate_paper_white_original,difficulty_distractor,distractor,3,4
7754-6,1592922450453,27,clickedObj,,box_wood_blue,filler_color,target,1,1,door_steel_silver_original,filler,distractor,4,4,door_steel_silver_original,filler,distractor,2,3,ruler_metal_blue,filler,competitor,3,2
7754-6,1592922463576,28,clickedObj,,box_cardboard_green,filler_none,target,1,1,door_steel_yellow,filler,distractor,3,4,door_steel_yellow,filler,distractor,4,3,ruler_metal_silver_original,filler,competitor,2,2
7754-6,1592922488737,29,clickedObj,,bottle_plastic_green,low_difficulty,target,1,3,bottle_glass_blue,difficulty_distractor,distractor,3,4,bottle_glass_blue,difficulty_distractor,distractor,4,1,bottle_glass_green,difficulty_distractor,distractor,2,2
7754-6,1592922498293,30,clickedObj,,door_steel_red,filler_none,target,2,2,bag_paper_green,filler,competitor,1,3,box_cardboard_blue,filler,distractor,4,4,box_cardboard_blue,filler,distractor,3,1
7754-6,1592922506081,31,clickedObj,,spoon_wood_green,high_difficulty,target,2,2,spoon_metal_blue,difficulty_distractor,distractor,1,1,spoon_wood_blue,difficulty_distractor,distractor,3,4,spoon_metal_blue,difficulty_distractor,distractor,4,3
7754-6,1592922514041,32,clickedObj,,chair_metal_purple,high_difficulty,target,1,4,chair_plastic_green,difficulty_distractor,distractor,3,3,chair_metal_green,difficulty_distractor,distractor,2,1,chair_plastic_green,difficulty_distractor,distractor,4,2
