gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2874-c,1592922665048,1,clickedObj,,bag_paper_blue,filler,competitor,3,4,vase_glass_clear_original,filler,distractor,2,3,box_wood_blue,filler_color,target,1,1,vase_glass_clear_original,filler,distractor,4,2
2874-c,1592922674655,2,clickedObj,,bag_plastic_white_original,filler,distractor,4,2,bag_plastic_white_original,filler,distractor,1,3,ball_metal_green,filler_none,target,2,1,ruler_wood_brown_original,filler,competitor,3,4
2874-c,1592922687319,3,clickedObj,,box_cardboard_green,filler_none,target,4,4,bowl_metal_silver_original,filler,distractor,3,2,door_wood_red,filler,competitor,2,1,bowl_metal_silver_original,filler,distractor,1,3
2874-c,1592922707250,4,clickedObj,,table_metal_blue,high_difficulty,target,1,3,table_wood_green,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,2,4,table_metal_green,difficulty_distractor,distractor,4,1
2874-c,1592922720089,5,clickedObj,,plate_paper_blue,high_difficulty,target,3,2,plate_plastic_green,difficulty_distractor,distractor,1,1,plate_plastic_green,difficulty_distractor,distractor,4,4,plate_paper_green,difficulty_distractor,distractor,2,3
2874-c,1592922729483,6,clickedObj,,door_steel_red,filler_none,target,2,4,ruler_wood_green,filler,competitor,3,3,bag_plastic_white_original,filler,distractor,1,1,bag_plastic_white_original,filler,distractor,4,2
2874-c,1592922757611,7,clickedObj,,bottle_glass_green,low_difficulty,target,2,1,bottle_plastic_blue,difficulty_distractor,distractor,4,4,bottle_plastic_green,difficulty_distractor,distractor,3,3,bottle_plastic_blue,difficulty_distractor,distractor,1,2
2874-c,1592922768237,8,clickedObj,,vase_wood_blue,filler_material,target,4,3,bowl_metal_silver_original,filler,distractor,1,2,box_wood_green,filler,competitor,2,4,bowl_metal_silver_original,filler,distractor,3,1
2874-c,1592922780373,9,clickedObj,,table_metal_silver_original,high_difficulty,target,1,1,table_metal_blue,difficulty_distractor,distractor,3,4,table_wood_blue,difficulty_distractor,distractor,4,2,table_wood_blue,difficulty_distractor,distractor,2,3
2874-c,1592922789366,10,clickedObj,,boot_leather_green,high_difficulty,target,2,3,boot_leather_black_original,difficulty_distractor,distractor,1,2,boot_rubber_black_original,difficulty_distractor,distractor,4,4,boot_rubber_black_original,difficulty_distractor,distractor,3,1
2874-c,1592922805307,11,clickedObj,,jacket_denim_purple,low_difficulty,target,2,4,jacket_leather_black_original,difficulty_distractor,distractor,3,1,jacket_leather_purple,difficulty_distractor,distractor,4,3,jacket_leather_black_original,difficulty_distractor,distractor,1,2
2874-c,1592922816350,12,clickedObj,,table_metal_blue,low_difficulty,target,1,3,table_wood_blue,difficulty_distractor,distractor,3,1,table_wood_brown_original,difficulty_distractor,distractor,4,4,table_wood_brown_original,difficulty_distractor,distractor,2,2
