gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3954-5,1592923120285,1,clickedObj,,bowl_glass_green,filler_material,target,1,2,vase_glass_clear_original,filler,competitor,3,1,door_wood_yellow,filler,distractor,2,3,door_wood_yellow,filler,distractor,4,4
3954-5,1592923143403,2,clickedObj,,table_metal_silver_original,high_difficulty,target,3,2,table_wood_blue,difficulty_distractor,distractor,2,3,table_wood_blue,difficulty_distractor,distractor,4,4,table_metal_blue,difficulty_distractor,distractor,1,1
3954-5,1592923153289,3,clickedObj,,bowl_glass_blue,filler_both,target,1,2,bag_paper_brown_original,filler,distractor,3,4,vase_glass_blue,filler,competitor,4,1,bag_paper_brown_original,filler,distractor,2,3
3954-5,1592923197355,4,clickedObj,,plate_paper_blue,low_difficulty,target,2,3,plate_plastic_blue_original,difficulty_distractor,distractor,1,4,plate_plastic_green,difficulty_distractor,distractor,4,2,plate_plastic_green,difficulty_distractor,distractor,3,1
3954-5,1592923211521,5,clickedObj,,vase_wood_brown_original,filler_material,target,1,2,bag_plastic_white_original,filler,distractor,2,1,box_wood_green,filler,competitor,3,3,bag_plastic_white_original,filler,distractor,4,4
3954-5,1592923234154,6,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,4,plate_paper_blue,difficulty_distractor,distractor,2,3,plate_paper_white_original,difficulty_distractor,distractor,4,2,plate_paper_white_original,difficulty_distractor,distractor,1,1
3954-5,1592923254039,7,clickedObj,,chair_metal_purple,high_difficulty,target,2,4,chair_metal_green,difficulty_distractor,distractor,3,1,chair_wood_green,difficulty_distractor,distractor,4,3,chair_wood_green,difficulty_distractor,distractor,1,2
3954-5,1592923264325,8,clickedObj,,boot_leather_green,high_difficulty,target,1,3,boot_rubber_black_original,difficulty_distractor,distractor,3,1,boot_rubber_black_original,difficulty_distractor,distractor,4,4,boot_leather_black_original,difficulty_distractor,distractor,2,2
3954-5,1592923272761,9,clickedObj,,door_wood_brown_original,filler_color,target,3,3,bowl_metal_silver_original,filler,distractor,4,2,box_cardboard_brown_original,filler,competitor,1,4,bowl_metal_silver_original,filler,distractor,2,1
3954-5,1592923296664,10,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,3,pitcher_plastic_green,difficulty_distractor,distractor,2,1,pitcher_plastic_green,difficulty_distractor,distractor,4,2,pitcher_plastic_blue,difficulty_distractor,distractor,1,4
3954-5,1592923310321,11,clickedObj,,bag_plastic_green,filler_color,target,2,1,vase_glass_blue,filler,distractor,1,3,ruler_wood_green,filler,competitor,3,2,vase_glass_blue,filler,distractor,4,4
3954-5,1592923326649,12,clickedObj,,cup_plastic_green,low_difficulty,target,3,2,cup_metal_silver_original,difficulty_distractor,distractor,1,1,cup_metal_green,difficulty_distractor,distractor,2,4,cup_metal_silver_original,difficulty_distractor,distractor,4,3
3954-5,1592923335636,13,clickedObj,,box_cardboard_green,filler_none,target,3,4,ruler_metal_blue,filler,distractor,4,3,ruler_metal_blue,filler,distractor,2,1,door_wood_yellow,filler,competitor,1,2
3954-5,1592923346607,14,clickedObj,,box_wood_blue,filler_color,target,4,2,vase_glass_blue,filler,competitor,2,1,door_steel_yellow,filler,distractor,1,3,door_steel_yellow,filler,distractor,3,4
3954-5,1592923364282,15,clickedObj,,ball_metal_silver_original,filler_both,target,4,2,bowl_metal_silver_original,filler,competitor,2,1,box_wood_brown_original,filler,distractor,1,3,box_wood_brown_original,filler,distractor,3,4
3954-5,1592923375119,16,clickedObj,,bag_plastic_blue,filler_color,target,1,3,ruler_wood_brown_original,filler,distractor,3,2,vase_glass_blue,filler,competitor,4,4,ruler_wood_brown_original,filler,distractor,2,1
3954-5,1592923384419,17,clickedObj,,ball_plastic_blue_original,filler_none,target,3,4,box_cardboard_brown_original,filler,distractor,2,1,door_steel_silver_original,filler,competitor,1,2,box_cardboard_brown_original,filler,distractor,4,3
3954-5,1592923395192,18,clickedObj,,bowl_metal_blue,filler_both,target,3,3,ruler_metal_blue,filler,competitor,4,2,box_wood_green,filler,distractor,2,1,box_wood_green,filler,distractor,1,4
3954-5,1592923401816,19,clickedObj,,vase_wood_blue,filler_material,target,4,4,ruler_metal_silver_original,filler,distractor,1,3,box_wood_brown_original,filler,competitor,3,1,ruler_metal_silver_original,filler,distractor,2,2
3954-5,1592923409219,20,clickedObj,,ball_metal_green,filler_none,target,2,4,vase_glass_blue,filler,distractor,4,3,door_wood_yellow,filler,competitor,1,1,vase_glass_blue,filler,distractor,3,2
3954-5,1592923417470,21,clickedObj,,chair_metal_green,high_difficulty,target,1,4,chair_plastic_purple,difficulty_distractor,distractor,4,1,chair_metal_purple,difficulty_distractor,distractor,2,3,chair_plastic_purple,difficulty_distractor,distractor,3,2
3954-5,1592923435667,22,clickedObj,,bottle_glass_green,low_difficulty,target,4,4,bottle_plastic_clear_original,difficulty_distractor,distractor,3,1,bottle_plastic_clear_original,difficulty_distractor,distractor,1,3,bottle_plastic_green,difficulty_distractor,distractor,2,2
3954-5,1592923447876,23,clickedObj,,jacket_denim_purple,low_difficulty,target,2,4,jacket_leather_black_original,difficulty_distractor,distractor,3,1,jacket_leather_purple,difficulty_distractor,distractor,1,2,jacket_leather_black_original,difficulty_distractor,distractor,4,3
3954-5,1592923458959,24,clickedObj,,table_metal_blue,low_difficulty,target,2,4,table_wood_brown_original,difficulty_distractor,distractor,3,1,table_wood_blue,difficulty_distractor,distractor,1,2,table_wood_brown_original,difficulty_distractor,distractor,4,3
3954-5,1592923465983,25,clickedObj,,ruler_metal_green,filler_both,target,1,3,box_cardboard_brown_original,filler,distractor,3,1,box_cardboard_brown_original,filler,distractor,2,2,bowl_metal_green,filler,competitor,4,4
3954-5,1592923485978,26,clickedObj,,bottle_plastic_green,low_difficulty,target,1,3,bottle_glass_green,difficulty_distractor,distractor,3,4,bottle_glass_clear_original,difficulty_distractor,distractor,4,2,bottle_glass_clear_original,difficulty_distractor,distractor,2,1
3954-5,1592923493604,27,clickedObj,,ruler_wood_blue,filler_material,target,2,3,ball_plastic_red,filler,distractor,3,1,box_wood_green,filler,competitor,4,4,ball_plastic_red,filler,distractor,1,2
3954-5,1592923503064,28,clickedObj,,table_metal_blue,high_difficulty,target,1,2,table_wood_green,difficulty_distractor,distractor,2,1,table_wood_green,difficulty_distractor,distractor,3,3,table_metal_green,difficulty_distractor,distractor,4,4
3954-5,1592923513491,29,clickedObj,,spoon_wood_green,high_difficulty,target,2,2,spoon_wood_blue,difficulty_distractor,distractor,4,4,spoon_metal_blue,difficulty_distractor,distractor,1,3,spoon_metal_blue,difficulty_distractor,distractor,3,1
3954-5,1592923522516,30,clickedObj,,table_metal_green,high_difficulty,target,4,1,table_metal_blue,difficulty_distractor,distractor,1,2,table_wood_blue,difficulty_distractor,distractor,2,4,table_wood_blue,difficulty_distractor,distractor,3,3
3954-5,1592923529587,31,clickedObj,,door_steel_red,filler_none,target,1,2,ruler_wood_green,filler,distractor,4,1,ruler_wood_green,filler,distractor,2,4,box_cardboard_brown_original,filler,competitor,3,3
3954-5,1592923537965,32,clickedObj,,plate_paper_blue,high_difficulty,target,2,1,plate_plastic_green,difficulty_distractor,distractor,3,2,plate_paper_green,difficulty_distractor,distractor,1,4,plate_plastic_green,difficulty_distractor,distractor,4,3
