gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7576-4,1592923247384,1,clickedObj,,vase_glass_blue,filler,competitor,2,4,ruler_metal_silver_original,filler,distractor,1,3,box_wood_blue,filler_color,target,4,2,ruler_metal_silver_original,filler,distractor,3,1
7576-4,1592923257559,2,clickedObj,,bottle_plastic_green,low_difficulty,target,1,3,bottle_glass_green,difficulty_distractor,distractor,4,4,bottle_glass_clear_original,difficulty_distractor,distractor,3,2,bottle_glass_clear_original,difficulty_distractor,distractor,2,1
7576-4,1592923266959,3,clickedObj,,plate_paper_blue,low_difficulty,target,4,3,plate_plastic_pink,difficulty_distractor,distractor,3,1,plate_plastic_blue_original,difficulty_distractor,distractor,2,2,plate_plastic_pink,difficulty_distractor,distractor,1,4
7576-4,1592923280884,4,clickedObj,,door_wood_brown_original,filler_color,target,1,2,box_cardboard_brown_original,filler,competitor,2,4,ruler_metal_blue,filler,distractor,4,1,ruler_metal_blue,filler,distractor,3,3
7576-4,1592923288987,5,clickedObj,,vase_wood_brown_original,filler_material,target,4,4,door_wood_yellow,filler,competitor,1,3,bowl_metal_silver_original,filler,distractor,2,2,bowl_metal_silver_original,filler,distractor,3,1
7576-4,1592923295684,6,clickedObj,,spoon_wood_green,high_difficulty,target,4,2,spoon_wood_blue,difficulty_distractor,distractor,1,3,spoon_metal_blue,difficulty_distractor,distractor,3,4,spoon_metal_blue,difficulty_distractor,distractor,2,1
7576-4,1592923301805,7,clickedObj,,chair_metal_green,high_difficulty,target,1,3,chair_wood_purple,difficulty_distractor,distractor,4,2,chair_metal_purple,difficulty_distractor,distractor,2,1,chair_wood_purple,difficulty_distractor,distractor,3,4
7576-4,1592923307139,8,clickedObj,,ball_plastic_blue_original,filler_none,target,1,3,bag_paper_green,filler,distractor,3,2,bag_paper_green,filler,distractor,2,1,bowl_metal_silver_original,filler,competitor,4,4
7576-4,1592923314825,9,clickedObj,,table_metal_silver_original,high_difficulty,target,3,2,table_wood_blue,difficulty_distractor,distractor,2,3,table_wood_blue,difficulty_distractor,distractor,4,1,table_metal_blue,difficulty_distractor,distractor,1,4
7576-4,1592923320560,10,clickedObj,,boot_leather_green,high_difficulty,target,2,4,boot_rubber_black_original,difficulty_distractor,distractor,3,2,boot_rubber_black_original,difficulty_distractor,distractor,4,3,boot_leather_black_original,difficulty_distractor,distractor,1,1
7576-4,1592923326759,11,clickedObj,,ball_metal_green,filler_none,target,3,2,bowl_glass_clear_original,filler,distractor,4,1,bowl_glass_clear_original,filler,distractor,1,4,box_wood_brown_original,filler,competitor,2,3
7576-4,1592923334839,12,clickedObj,,ruler_wood_blue,filler_material,target,1,2,bag_paper_brown_original,filler,distractor,3,3,bag_paper_brown_original,filler,distractor,2,1,vase_wood_green,filler,competitor,4,4
7576-4,1592923342984,13,clickedObj,,bowl_glass_green,filler_material,target,4,3,vase_glass_clear_original,filler,competitor,2,1,ball_metal_red,filler,distractor,1,2,ball_metal_red,filler,distractor,3,4
7576-4,1592923348420,14,clickedObj,,door_steel_red,filler_none,target,2,1,box_cardboard_brown_original,filler,distractor,4,4,vase_glass_green,filler,competitor,3,2,box_cardboard_brown_original,filler,distractor,1,3
