gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2401-4,1592923329060,1,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,3,pitcher_plastic_white_original,difficulty_distractor,distractor,1,4,pitcher_plastic_blue,difficulty_distractor,distractor,2,2,pitcher_plastic_white_original,difficulty_distractor,distractor,4,1
2401-4,1592923338729,2,clickedObj,,ball_plastic_blue_original,filler_none,target,2,4,box_wood_green,filler,distractor,1,1,bowl_metal_silver_original,filler,competitor,3,2,box_wood_green,filler,distractor,4,3
2401-4,1592923349048,3,clickedObj,,vase_wood_brown_original,filler_material,target,4,3,bowl_glass_clear_original,filler,distractor,3,4,door_wood_yellow,filler,competitor,1,1,bowl_glass_clear_original,filler,distractor,2,2
2401-4,1592923354808,4,clickedObj,,door_steel_red,filler_none,target,3,3,bag_paper_green,filler,distractor,4,1,vase_glass_blue,filler,competitor,2,4,bag_paper_green,filler,distractor,1,2
2401-4,1592923360515,5,clickedObj,,ruler_metal_green,filler_both,target,1,3,bowl_metal_green,filler,competitor,3,4,box_cardboard_blue,filler,distractor,2,1,box_cardboard_blue,filler,distractor,4,2
2401-4,1592923366366,6,clickedObj,,vase_wood_blue,filler_material,target,2,1,ruler_wood_brown_original,filler,competitor,3,3,bowl_glass_clear_original,filler,distractor,1,2,bowl_glass_clear_original,filler,distractor,4,4
2401-4,1592923371649,7,clickedObj,,boot_leather_green,high_difficulty,target,2,3,boot_leather_black_original,difficulty_distractor,distractor,1,1,boot_rubber_black_original,difficulty_distractor,distractor,3,4,boot_rubber_black_original,difficulty_distractor,distractor,4,2
2401-4,1592923378722,8,clickedObj,,spoon_wood_green,high_difficulty,target,3,1,spoon_wood_blue,difficulty_distractor,distractor,2,3,spoon_plastic_blue,difficulty_distractor,distractor,4,2,spoon_plastic_blue,difficulty_distractor,distractor,1,4
2401-4,1592923388350,9,clickedObj,,plate_plastic_blue_original,low_difficulty,target,1,4,plate_paper_blue,difficulty_distractor,distractor,2,2,plate_paper_green,difficulty_distractor,distractor,3,1,plate_paper_green,difficulty_distractor,distractor,4,3
2401-4,1592923393728,10,clickedObj,,ruler_wood_blue,filler_material,target,2,1,ball_metal_red,filler,distractor,4,2,ball_metal_red,filler,distractor,1,3,box_wood_green,filler,competitor,3,4
2401-4,1592923400896,11,clickedObj,,jacket_denim_purple,low_difficulty,target,3,1,jacket_leather_purple,difficulty_distractor,distractor,4,4,jacket_leather_green,difficulty_distractor,distractor,1,3,jacket_leather_green,difficulty_distractor,distractor,2,2
2401-4,1592923406427,12,clickedObj,,bowl_metal_blue,filler_both,target,4,1,ruler_metal_blue,filler,competitor,3,2,vase_glass_clear_original,filler,distractor,1,4,vase_glass_clear_original,filler,distractor,2,3
2401-4,1592923413476,13,clickedObj,,plate_paper_blue,low_difficulty,target,3,1,plate_plastic_pink,difficulty_distractor,distractor,2,4,plate_plastic_pink,difficulty_distractor,distractor,4,2,plate_plastic_blue_original,difficulty_distractor,distractor,1,3
2401-4,1592923418457,14,clickedObj,,ball_metal_silver_original,filler_both,target,2,2,box_cardboard_blue,filler,distractor,3,4,bowl_metal_silver_original,filler,competitor,1,3,box_cardboard_blue,filler,distractor,4,1
2401-4,1592923433169,15,clickedObj,,cup_plastic_green,low_difficulty,target,2,4,cup_metal_silver_original,difficulty_distractor,distractor,4,2,cup_metal_green,difficulty_distractor,distractor,3,3,cup_metal_silver_original,difficulty_distractor,distractor,1,1
2401-4,1592923438423,16,clickedObj,,chair_metal_green,high_difficulty,target,2,4,chair_plastic_purple,difficulty_distractor,distractor,1,3,chair_metal_purple,difficulty_distractor,distractor,3,1,chair_plastic_purple,difficulty_distractor,distractor,4,2
2401-4,1592923449044,17,clickedObj,,bottle_plastic_green,low_difficulty,target,4,3,bottle_glass_clear_original,difficulty_distractor,distractor,2,2,bottle_glass_green,difficulty_distractor,distractor,3,4,bottle_glass_clear_original,difficulty_distractor,distractor,1,1
2401-4,1592923453958,18,clickedObj,,box_cardboard_green,filler_none,target,4,2,ruler_metal_blue,filler,distractor,1,3,ruler_metal_blue,filler,distractor,3,1,door_wood_yellow,filler,competitor,2,4
2401-4,1592923459575,19,clickedObj,,ball_metal_green,filler_none,target,3,1,box_wood_brown_original,filler,distractor,4,3,bag_paper_blue,filler,competitor,1,2,box_wood_brown_original,filler,distractor,2,4
2401-4,1592923464660,20,clickedObj,,table_metal_silver_original,high_difficulty,target,2,3,table_wood_blue,difficulty_distractor,distractor,3,1,table_wood_blue,difficulty_distractor,distractor,1,2,table_metal_blue,difficulty_distractor,distractor,4,4
2401-4,1592923469066,21,clickedObj,,box_wood_blue,filler_color,target,2,3,ball_plastic_green,filler,distractor,4,4,ball_plastic_green,filler,distractor,3,1,ruler_metal_blue,filler,competitor,1,2
2401-4,1592923474558,22,clickedObj,,plate_paper_blue,high_difficulty,target,2,2,plate_plastic_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,1,1,plate_paper_green,difficulty_distractor,distractor,4,3
2401-4,1592923481964,23,clickedObj,,bottle_glass_green,low_difficulty,target,2,4,bottle_plastic_blue,difficulty_distractor,distractor,1,3,bottle_plastic_blue,difficulty_distractor,distractor,3,1,bottle_plastic_green,difficulty_distractor,distractor,4,2
2401-4,1592923488530,24,clickedObj,,table_metal_blue,low_difficulty,target,1,1,table_wood_brown_original,difficulty_distractor,distractor,3,3,table_wood_brown_original,difficulty_distractor,distractor,4,4,table_wood_blue,difficulty_distractor,distractor,2,2
2401-4,1592923494523,25,clickedObj,,bowl_glass_blue,filler_both,target,3,4,box_wood_green,filler,distractor,4,3,vase_glass_blue,filler,competitor,2,2,box_wood_green,filler,distractor,1,1
2401-4,1592923499068,26,clickedObj,,chair_metal_purple,high_difficulty,target,1,2,chair_wood_green,difficulty_distractor,distractor,3,1,chair_wood_green,difficulty_distractor,distractor,4,3,chair_metal_green,difficulty_distractor,distractor,2,4
2401-4,1592923503934,27,clickedObj,,table_metal_green,high_difficulty,target,4,1,table_wood_blue,difficulty_distractor,distractor,2,4,table_wood_blue,difficulty_distractor,distractor,3,3,table_metal_blue,difficulty_distractor,distractor,1,2
2401-4,1592923508839,28,clickedObj,,door_wood_brown_original,filler_color,target,4,4,vase_glass_clear_original,filler,distractor,3,2,vase_glass_clear_original,filler,distractor,2,1,box_cardboard_brown_original,filler,competitor,1,3
2401-4,1592923512760,29,clickedObj,,bag_plastic_green,filler_color,target,2,2,ball_metal_red,filler,distractor,3,3,ball_metal_red,filler,distractor,1,1,vase_wood_green,filler,competitor,4,4
2401-4,1592923516464,30,clickedObj,,bag_plastic_blue,filler_color,target,1,1,ruler_wood_green,filler,distractor,2,2,ruler_wood_green,filler,distractor,3,4,vase_glass_blue,filler,competitor,4,3
2401-4,1592923520768,31,clickedObj,,table_metal_blue,high_difficulty,target,2,1,table_wood_green,difficulty_distractor,distractor,1,4,table_wood_green,difficulty_distractor,distractor,4,2,table_metal_green,difficulty_distractor,distractor,3,3
2401-4,1592923525820,32,clickedObj,,bowl_glass_green,filler_material,target,2,4,bag_paper_blue,filler,distractor,4,2,bag_paper_blue,filler,distractor,3,3,vase_glass_clear_original,filler,competitor,1,1
