gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3260-8,1592923615268,1,clickedObj,,box_wood_blue,filler_color,target,3,4,door_steel_yellow,filler,distractor,2,2,door_steel_yellow,filler,distractor,4,1,bag_paper_blue,filler,competitor,1,3
3260-8,1592923628521,2,clickedObj,,ruler_wood_blue,filler_material,target,4,2,bag_paper_brown_original,filler,distractor,2,4,door_wood_yellow,filler,competitor,3,3,bag_paper_brown_original,filler,distractor,1,1
3260-8,1592923648305,3,clickedObj,,chair_metal_green,high_difficulty,target,2,3,chair_metal_purple,difficulty_distractor,distractor,1,4,chair_wood_purple,difficulty_distractor,distractor,3,2,chair_wood_purple,difficulty_distractor,distractor,4,1
3260-8,1592923657058,4,clickedObj,,bottle_glass_green,low_difficulty,target,3,2,bottle_plastic_clear_original,difficulty_distractor,distractor,1,1,bottle_plastic_green,difficulty_distractor,distractor,4,3,bottle_plastic_clear_original,difficulty_distractor,distractor,2,4
3260-8,1592923662738,5,clickedObj,,ball_plastic_blue_original,filler_none,target,3,3,box_cardboard_brown_original,filler,distractor,4,1,box_cardboard_brown_original,filler,distractor,1,2,bowl_glass_clear_original,filler,competitor,2,4
3260-8,1592923668987,6,clickedObj,,table_metal_silver_original,high_difficulty,target,4,4,table_metal_blue,difficulty_distractor,distractor,2,1,table_wood_blue,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,1,2
3260-8,1592923676125,7,clickedObj,,vase_wood_brown_original,filler_material,target,3,4,bag_plastic_white_original,filler,distractor,2,1,bag_plastic_white_original,filler,distractor,1,2,box_wood_green,filler,competitor,4,3
3260-8,1592923681379,8,clickedObj,,ruler_metal_green,filler_both,target,2,3,box_cardboard_brown_original,filler,distractor,4,4,box_cardboard_brown_original,filler,distractor,3,1,bowl_metal_green,filler,competitor,1,2
3260-8,1592923686390,9,clickedObj,,box_cardboard_green,filler_none,target,4,3,ruler_wood_brown_original,filler,distractor,1,2,ruler_wood_brown_original,filler,distractor,3,4,ball_plastic_red,filler,competitor,2,1
3260-8,1592923692337,10,clickedObj,,door_steel_red,filler_none,target,3,3,bag_paper_brown_original,filler,distractor,1,1,bag_paper_brown_original,filler,distractor,2,4,box_cardboard_blue,filler,competitor,4,2
3260-8,1592923697226,11,clickedObj,,ball_metal_silver_original,filler_both,target,3,1,bowl_glass_clear_original,filler,distractor,1,3,ruler_metal_silver_original,filler,competitor,2,2,bowl_glass_clear_original,filler,distractor,4,4
3260-8,1592923705442,12,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,1,pitcher_glass_green,difficulty_distractor,distractor,2,2,pitcher_glass_blue,difficulty_distractor,distractor,4,3,pitcher_glass_green,difficulty_distractor,distractor,1,4
3260-8,1592923710954,13,clickedObj,,door_wood_brown_original,filler_color,target,1,2,ball_plastic_red,filler,distractor,2,4,ball_plastic_red,filler,distractor,3,3,box_cardboard_brown_original,filler,competitor,4,1
