gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5780-7,1592923646565,1,clickedObj,,vase_wood_brown_original,filler_material,target,3,3,bag_plastic_white_original,filler,distractor,1,2,bag_plastic_white_original,filler,distractor,2,1,ruler_wood_green,filler,competitor,4,4
5780-7,1592923657656,2,clickedObj,,ruler_wood_blue,filler_material,target,2,1,door_steel_silver_original,filler,distractor,3,3,vase_wood_green,filler,competitor,1,2,door_steel_silver_original,filler,distractor,4,4
5780-7,1592923664246,3,clickedObj,,door_wood_brown_original,filler_color,target,4,4,box_cardboard_brown_original,filler,competitor,2,2,bag_plastic_white_original,filler,distractor,1,3,bag_plastic_white_original,filler,distractor,3,1
5780-7,1592923670781,4,clickedObj,,table_metal_green,high_difficulty,target,2,3,table_wood_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,3,2,table_metal_blue,difficulty_distractor,distractor,1,4
5780-7,1592923690693,5,clickedObj,,jacket_denim_purple,low_difficulty,target,3,4,jacket_leather_green,difficulty_distractor,distractor,1,1,jacket_leather_green,difficulty_distractor,distractor,4,2,jacket_leather_purple,difficulty_distractor,distractor,2,3
5780-7,1592923697698,6,clickedObj,,chair_metal_green,high_difficulty,target,1,1,chair_metal_purple,difficulty_distractor,distractor,2,2,chair_wood_purple,difficulty_distractor,distractor,4,3,chair_wood_purple,difficulty_distractor,distractor,3,4
5780-7,1592923705948,7,clickedObj,,bowl_glass_blue,filler_both,target,2,1,door_wood_yellow,filler,distractor,1,4,vase_glass_blue,filler,competitor,4,3,door_wood_yellow,filler,distractor,3,2
5780-7,1592923722519,8,clickedObj,,table_metal_blue,low_difficulty,target,4,3,table_wood_blue,difficulty_distractor,distractor,3,4,table_wood_green,difficulty_distractor,distractor,2,2,table_wood_green,difficulty_distractor,distractor,1,1
5780-7,1592923729927,9,clickedObj,,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_paper_green,difficulty_distractor,distractor,2,1,plate_plastic_green,difficulty_distractor,distractor,1,4,plate_paper_blue,high_difficulty,target,4,2
5780-7,1592923737949,10,clickedObj,,ruler_metal_green,filler_both,target,2,1,door_steel_yellow,filler,distractor,3,2,bowl_metal_green,filler,competitor,1,3,door_steel_yellow,filler,distractor,4,4
5780-7,1592923749881,11,clickedObj,,pitcher_metal_blue,low_difficulty,target,1,4,pitcher_plastic_blue,difficulty_distractor,distractor,2,1,pitcher_plastic_green,difficulty_distractor,distractor,3,3,pitcher_plastic_green,difficulty_distractor,distractor,4,2
5780-7,1592923757284,12,clickedObj,,table_metal_silver_original,high_difficulty,target,4,1,table_wood_green,difficulty_distractor,distractor,3,2,table_metal_green,difficulty_distractor,distractor,1,3,table_wood_green,difficulty_distractor,distractor,2,4
