gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2053-a,1592923984146,1,clickedObj,,chair_metal_green,difficulty_distractor,distractor,3,2,chair_metal_purple,high_difficulty,target,2,1,chair_wood_green,difficulty_distractor,distractor,4,3,chair_wood_green,difficulty_distractor,distractor,1,4
2053-a,1592924006792,2,clickedObj,,plate_plastic_blue_original,low_difficulty,target,2,2,plate_paper_white_original,difficulty_distractor,distractor,1,4,plate_paper_blue,difficulty_distractor,distractor,3,3,plate_paper_white_original,difficulty_distractor,distractor,4,1
2053-a,1592924017522,3,clickedObj,,box_cardboard_green,filler_none,target,3,1,ball_plastic_red,filler,competitor,4,4,door_steel_yellow,filler,distractor,1,2,door_steel_yellow,filler,distractor,2,3
2053-a,1592924032102,4,clickedObj,,vase_wood_brown_original,filler_material,target,2,1,door_wood_yellow,filler,competitor,3,2,bowl_metal_green,filler,distractor,1,4,bowl_metal_green,filler,distractor,4,3
2053-a,1592924042608,5,clickedObj,,cup_metal_green,difficulty_distractor,distractor,4,1,cup_metal_silver_original,difficulty_distractor,distractor,3,2,cup_plastic_green,low_difficulty,target,2,4,cup_metal_silver_original,difficulty_distractor,distractor,1,3
2053-a,1592924066653,6,clickedObj,,ball_metal_silver_original,filler_both,target,2,4,bowl_metal_silver_original,filler,competitor,3,1,box_wood_green,filler,distractor,1,3,box_wood_green,filler,distractor,4,2
2053-a,1592924076755,7,clickedObj,,table_metal_green,high_difficulty,target,2,2,table_metal_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,1,4
2053-a,1592924087773,8,clickedObj,,door_steel_red,filler_none,target,3,4,bowl_metal_green,filler,distractor,1,3,bowl_metal_green,filler,distractor,4,2,ruler_wood_brown_original,filler,competitor,2,1
2053-a,1592924101682,9,clickedObj,,boot_leather_green,high_difficulty,target,4,2,boot_rubber_brown,difficulty_distractor,distractor,2,4,boot_leather_brown,difficulty_distractor,distractor,1,3,boot_rubber_brown,difficulty_distractor,distractor,3,1
2053-a,1592924116711,10,clickedObj,,chair_metal_green,high_difficulty,target,3,2,chair_metal_purple,difficulty_distractor,distractor,4,1,chair_wood_purple,difficulty_distractor,distractor,2,3,chair_wood_purple,difficulty_distractor,distractor,1,4
