gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1157-c,1592924249959,1,clickedObj,,table_metal_blue,low_difficulty,target,1,2,table_wood_brown_original,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,3,3,table_wood_brown_original,difficulty_distractor,distractor,2,4
1157-c,1592924280635,2,clickedObj,,bottle_plastic_green,difficulty_distractor,distractor,1,2,bottle_glass_green,low_difficulty,target,4,1,bottle_plastic_blue,difficulty_distractor,distractor,2,4,bottle_plastic_blue,difficulty_distractor,distractor,3,3
1157-c,1592924293275,3,clickedObj,,plate_paper_blue,high_difficulty,target,4,4,plate_paper_green,difficulty_distractor,distractor,3,1,plate_plastic_green,difficulty_distractor,distractor,2,3,plate_plastic_green,difficulty_distractor,distractor,1,2
1157-c,1592924302182,4,clickedObj,,ball_plastic_blue_original,filler_none,target,2,3,bowl_metal_green,filler,competitor,4,4,ruler_wood_brown_original,filler,distractor,3,2,ruler_wood_brown_original,filler,distractor,1,1
1157-c,1592924312636,5,clickedObj,,spoon_wood_green,high_difficulty,target,3,2,spoon_plastic_blue,difficulty_distractor,distractor,2,4,spoon_plastic_blue,difficulty_distractor,distractor,4,3,spoon_wood_blue,difficulty_distractor,distractor,1,1
1157-c,1592924326875,6,clickedObj,,ball_metal_green,filler_none,target,2,4,vase_glass_blue,filler,competitor,1,2,door_steel_silver_original,filler,distractor,4,3,door_steel_silver_original,filler,distractor,3,1
1157-c,1592924348057,7,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,3,pitcher_plastic_green,difficulty_distractor,distractor,2,2,pitcher_plastic_blue,difficulty_distractor,distractor,4,1,pitcher_plastic_green,difficulty_distractor,distractor,1,4
1157-c,1592924355824,8,clickedObj,,door_steel_red,filler_none,target,2,3,ball_plastic_green,filler,distractor,4,2,bag_paper_blue,filler,competitor,1,1,ball_plastic_green,filler,distractor,3,4
1157-c,1592924368225,9,clickedObj,,door_wood_brown_original,filler_color,target,1,1,bag_paper_brown_original,filler,competitor,4,4,bowl_metal_green,filler,distractor,3,2,bowl_metal_green,filler,distractor,2,3
1157-c,1592924375212,10,clickedObj,,ruler_metal_green,filler_both,target,2,3,bowl_metal_green,filler,competitor,4,1,vase_glass_blue,filler,distractor,1,4,vase_glass_blue,filler,distractor,3,2
1157-c,1592924382962,11,clickedObj,,chair_metal_green,high_difficulty,target,1,4,chair_plastic_purple,difficulty_distractor,distractor,4,3,chair_metal_purple,difficulty_distractor,distractor,3,1,chair_plastic_purple,difficulty_distractor,distractor,2,2
1157-c,1592924398341,12,clickedObj,,ruler_wood_blue,filler_material,target,4,1,ball_metal_red,filler,distractor,1,3,ball_metal_red,filler,distractor,3,2,door_wood_yellow,filler,competitor,2,4
1157-c,1592924408926,13,clickedObj,,table_metal_blue,high_difficulty,target,2,1,table_wood_green,difficulty_distractor,distractor,4,4,table_wood_green,difficulty_distractor,distractor,1,3,table_metal_green,difficulty_distractor,distractor,3,2
1157-c,1592924418964,14,clickedObj,,boot_leather_green,high_difficulty,target,2,3,boot_rubber_brown,difficulty_distractor,distractor,4,4,boot_leather_brown,difficulty_distractor,distractor,3,1,boot_rubber_brown,difficulty_distractor,distractor,1,2
1157-c,1592924427186,15,clickedObj,,bowl_glass_blue,filler_both,target,3,4,door_steel_yellow,filler,distractor,1,2,door_steel_yellow,filler,distractor,2,3,vase_glass_blue,filler,competitor,4,1
1157-c,1592924432870,16,clickedObj,,ball_metal_silver_original,filler_both,target,2,4,ruler_metal_silver_original,filler,competitor,4,3,door_steel_yellow,filler,distractor,1,1,door_steel_yellow,filler,distractor,3,2
1157-c,1592924444375,17,clickedObj,,table_metal_silver_original,high_difficulty,target,2,2,table_metal_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,1,3,table_wood_blue,difficulty_distractor,distractor,3,4
1157-c,1592924456383,18,clickedObj,,chair_metal_purple,high_difficulty,target,3,4,chair_wood_green,difficulty_distractor,distractor,1,2,chair_wood_green,difficulty_distractor,distractor,4,3,chair_metal_green,difficulty_distractor,distractor,2,1
1157-c,1592924461754,19,clickedObj,,bag_plastic_blue,filler_color,target,3,1,door_steel_yellow,filler,distractor,1,3,vase_glass_blue,filler,competitor,4,2,door_steel_yellow,filler,distractor,2,4
1157-c,1592924466958,20,clickedObj,,box_cardboard_green,filler_none,target,3,2,door_wood_red,filler,competitor,4,1,bowl_glass_clear_original,filler,distractor,1,3,bowl_glass_clear_original,filler,distractor,2,4
1157-c,1592924613256,21,clickedObj,,plate_paper_blue,low_difficulty,target,4,3,plate_plastic_green,difficulty_distractor,distractor,3,1,plate_plastic_green,difficulty_distractor,distractor,2,4,plate_plastic_blue_original,difficulty_distractor,distractor,1,2
1157-c,1592924641009,22,clickedObj,,bowl_metal_blue,filler_both,target,3,1,bag_plastic_white_original,filler,distractor,2,4,bag_plastic_white_original,filler,distractor,1,2,ruler_metal_blue,filler,competitor,4,3
