gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2808-d,1592924341462,1,clickedObj,,chair_metal_purple,high_difficulty,target,2,2,chair_wood_green,difficulty_distractor,distractor,3,3,chair_metal_green,difficulty_distractor,distractor,1,4,chair_wood_green,difficulty_distractor,distractor,4,1
2808-d,1592924370173,2,clickedObj,,ruler_wood_blue,filler_material,target,3,1,door_steel_silver_original,filler,distractor,2,2,vase_wood_green,filler,competitor,1,3,door_steel_silver_original,filler,distractor,4,4
2808-d,1592924430011,3,clickedObj,,vase_wood_brown_original,filler_material,target,4,1,bag_paper_blue,filler,distractor,1,3,bag_paper_blue,filler,distractor,3,4,door_wood_red,filler,competitor,2,2
2808-d,1592924460634,4,clickedObj,,bottle_glass_green,low_difficulty,target,1,4,bottle_plastic_blue,difficulty_distractor,distractor,2,3,bottle_plastic_green,difficulty_distractor,distractor,3,1,bottle_plastic_blue,difficulty_distractor,distractor,4,2
2808-d,1592924488443,5,clickedObj,,pitcher_metal_blue,low_difficulty,target,1,1,pitcher_glass_blue,difficulty_distractor,distractor,3,3,pitcher_glass_clear_original,difficulty_distractor,distractor,2,4,pitcher_glass_clear_original,difficulty_distractor,distractor,4,2
2808-d,1592924534082,6,clickedObj,,table_metal_blue,high_difficulty,target,4,1,table_wood_green,difficulty_distractor,distractor,3,4,table_wood_green,difficulty_distractor,distractor,2,2,table_metal_green,difficulty_distractor,distractor,1,3
2808-d,1592924562634,7,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,3,plate_paper_green,difficulty_distractor,distractor,1,1,plate_paper_green,difficulty_distractor,distractor,4,2,plate_paper_blue,difficulty_distractor,distractor,2,4
2808-d,1592924583495,8,clickedObj,,bowl_glass_green,filler_material,target,3,1,ball_metal_red,filler,distractor,1,2,vase_glass_blue,filler,competitor,2,3,ball_metal_red,filler,distractor,4,4
2808-d,1592924598954,9,clickedObj,,ball_plastic_blue_original,filler_none,target,3,2,ruler_metal_silver_original,filler,distractor,4,4,vase_glass_clear_original,filler,competitor,2,3,ruler_metal_silver_original,filler,distractor,1,1
2808-d,1592924618232,10,clickedObj,,vase_wood_blue,filler_material,target,3,4,door_steel_silver_original,filler,distractor,4,3,door_steel_silver_original,filler,distractor,2,2,box_wood_brown_original,filler,competitor,1,1
2808-d,1592924643703,11,clickedObj,,ball_metal_green,filler_none,target,2,3,vase_glass_clear_original,filler,distractor,4,1,vase_glass_clear_original,filler,distractor,1,2,door_wood_yellow,filler,competitor,3,4
2808-d,1592924663383,12,clickedObj,,chair_metal_green,high_difficulty,target,1,4,chair_metal_purple,difficulty_distractor,distractor,3,1,chair_plastic_purple,difficulty_distractor,distractor,4,2,chair_plastic_purple,difficulty_distractor,distractor,2,3
2808-d,1592924682468,13,clickedObj,,table_metal_silver_original,high_difficulty,target,2,4,table_wood_blue,difficulty_distractor,distractor,1,2,table_wood_blue,difficulty_distractor,distractor,4,3,table_metal_blue,difficulty_distractor,distractor,3,1
