gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6964-b,1592924457730,1,clickedObj,,ruler_wood_blue,filler_material,target,4,2,bag_paper_brown_original,filler,distractor,2,3,bag_paper_brown_original,filler,distractor,3,1,vase_wood_green,filler,competitor,1,4
6964-b,1592924477870,2,clickedObj,,table_metal_green,high_difficulty,target,3,3,table_wood_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,1,2,table_metal_blue,difficulty_distractor,distractor,2,4
6964-b,1592924496318,3,clickedObj,,plate_plastic_blue_original,low_difficulty,target,1,4,plate_paper_green,difficulty_distractor,distractor,3,1,plate_paper_blue,difficulty_distractor,distractor,2,3,plate_paper_green,difficulty_distractor,distractor,4,2
6964-b,1592924523636,4,clickedObj,,jacket_denim_purple,low_difficulty,target,4,1,jacket_leather_purple,difficulty_distractor,distractor,1,3,jacket_leather_green,difficulty_distractor,distractor,2,4,jacket_leather_green,difficulty_distractor,distractor,3,2
6964-b,1592924536919,5,clickedObj,,ball_metal_green,filler_none,target,3,3,bowl_glass_clear_original,filler,distractor,1,2,bowl_glass_clear_original,filler,distractor,4,1,bag_paper_brown_original,filler,competitor,2,4
6964-b,1592924564443,6,clickedObj,,bowl_glass_blue,filler_both,target,3,4,bag_plastic_white_original,filler,distractor,2,2,bag_plastic_white_original,filler,distractor,1,3,vase_glass_blue,filler,competitor,4,1
6964-b,1592924594906,7,clickedObj,,bottle_glass_green,low_difficulty,target,3,2,bottle_plastic_blue,difficulty_distractor,distractor,1,1,bottle_plastic_blue,difficulty_distractor,distractor,4,4,bottle_plastic_green,difficulty_distractor,distractor,2,3
6964-b,1592924604925,8,clickedObj,,chair_metal_green,high_difficulty,target,2,4,chair_plastic_purple,difficulty_distractor,distractor,3,1,chair_metal_purple,difficulty_distractor,distractor,4,3,chair_plastic_purple,difficulty_distractor,distractor,1,2
6964-b,1592924612106,9,clickedObj,,bowl_glass_green,filler_material,target,3,4,vase_glass_clear_original,filler,competitor,1,1,bag_plastic_white_original,filler,distractor,4,2,bag_plastic_white_original,filler,distractor,2,3
6964-b,1592924623482,10,clickedObj,,vase_wood_brown_original,filler_material,target,2,4,bowl_metal_silver_original,filler,distractor,3,3,bowl_metal_silver_original,filler,distractor,4,2,box_wood_green,filler,competitor,1,1
6964-b,1592924637789,11,clickedObj,,bottle_plastic_green,low_difficulty,target,2,1,bottle_glass_blue,difficulty_distractor,distractor,4,3,bottle_glass_green,difficulty_distractor,distractor,3,4,bottle_glass_blue,difficulty_distractor,distractor,1,2
6964-b,1592924648102,12,clickedObj,,plate_paper_blue,high_difficulty,target,2,4,plate_plastic_green,difficulty_distractor,distractor,1,2,plate_paper_green,difficulty_distractor,distractor,4,3,plate_plastic_green,difficulty_distractor,distractor,3,1
6964-b,1592924660628,13,clickedObj,,ruler_metal_green,filler_both,target,4,3,box_wood_brown_original,filler,distractor,1,2,box_wood_brown_original,filler,distractor,3,4,bowl_metal_green,filler,competitor,2,1
6964-b,1592924669541,14,clickedObj,,vase_wood_blue,filler_material,target,3,1,box_wood_green,filler,competitor,1,3,bowl_metal_silver_original,filler,distractor,4,4,bowl_metal_silver_original,filler,distractor,2,2
6964-b,1592924680315,15,clickedObj,,table_metal_blue,low_difficulty,target,4,2,table_wood_brown_original,difficulty_distractor,distractor,3,3,table_wood_blue,difficulty_distractor,distractor,2,1,table_wood_brown_original,difficulty_distractor,distractor,1,4
6964-b,1592924692296,16,clickedObj,,door_wood_brown_original,filler_color,target,1,2,vase_glass_clear_original,filler,distractor,4,1,box_cardboard_brown_original,filler,competitor,3,4,vase_glass_clear_original,filler,distractor,2,3
6964-b,1592924700789,17,clickedObj,,box_cardboard_green,filler_none,target,3,3,bag_paper_blue,filler,distractor,2,2,bag_paper_blue,filler,distractor,4,1,door_wood_yellow,filler,competitor,1,4
