gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9030-0,1593122868362,1,clickedObj,,ruler_metal_silver_original,filler,competitor,1,3,ball_metal_silver_original,filler_both,target,3,1,vase_glass_clear_original,filler,distractor,2,4,vase_glass_clear_original,filler,distractor,4,2
9030-0,1593122871992,2,clickedObj,,bag_paper_brown_original,filler,distractor,4,3,bowl_glass_green,filler_material,target,1,4,vase_glass_blue,filler,competitor,3,1,bag_paper_brown_original,filler,distractor,2,2
9030-0,1593122875463,3,clickedObj,,door_wood_red,filler,competitor,4,3,box_cardboard_green,filler_none,target,1,1,bag_plastic_white_original,filler,distractor,2,4,bag_plastic_white_original,filler,distractor,3,2
9030-0,1593122979071,4,clickedObj,,cup_metal_blue,difficulty_distractor,distractor,2,3,cup_metal_green,difficulty_distractor,distractor,3,2,cup_metal_blue,difficulty_distractor,distractor,1,1,cup_plastic_green,low_difficulty,target,4,4
9030-0,1593122999488,5,clickedObj,,boot_leather_green,high_difficulty,target,3,3,boot_leather_brown,difficulty_distractor,distractor,2,4,boot_rubber_brown,difficulty_distractor,distractor,4,1,boot_rubber_brown,difficulty_distractor,distractor,1,2
9030-0,1593123002702,6,clickedObj,,door_steel_yellow,filler,distractor,3,3,ball_metal_green,filler_none,target,4,4,bag_plastic_white_original,filler,competitor,2,1,door_steel_yellow,filler,distractor,1,2
9030-0,1593123005725,7,clickedObj,,ruler_metal_blue,filler,competitor,1,3,bowl_metal_blue,filler_both,target,4,4,ball_plastic_red,filler,distractor,2,2,ball_plastic_red,filler,distractor,3,1
9030-0,1593123008280,8,clickedObj,,bowl_metal_silver_original,filler,distractor,1,3,door_steel_red,filler_none,target,2,2,bowl_metal_silver_original,filler,distractor,4,4,vase_glass_blue,filler,competitor,3,1
9030-0,1593123010934,9,clickedObj,,vase_glass_green,filler,competitor,1,3,bag_plastic_green,filler_color,target,2,4,box_cardboard_brown_original,filler,distractor,4,1,box_cardboard_brown_original,filler,distractor,3,2
9030-0,1593123013728,10,clickedObj,,bag_plastic_blue,filler_color,target,3,3,door_wood_red,filler,distractor,2,1,box_cardboard_blue,filler,competitor,1,4,door_wood_red,filler,distractor,4,2
9030-0,1593123016568,11,clickedObj,,ball_plastic_blue_original,filler_none,target,1,3,vase_wood_green,filler,distractor,3,4,vase_wood_green,filler,distractor,2,2,door_steel_yellow,filler,competitor,4,1
9030-0,1593123023478,12,clickedObj,,plate_plastic_green,difficulty_distractor,distractor,1,3,plate_plastic_green,difficulty_distractor,distractor,2,1,plate_paper_green,difficulty_distractor,distractor,4,4,plate_paper_blue,high_difficulty,target,3,2
9030-0,1593123045856,13,clickedObj,,jacket_leather_purple,difficulty_distractor,distractor,3,4,jacket_leather_black_original,difficulty_distractor,distractor,2,3,jacket_leather_black_original,difficulty_distractor,distractor,1,2,jacket_denim_purple,low_difficulty,target,4,1
9030-0,1593123050730,14,clickedObj,,table_wood_blue,difficulty_distractor,distractor,1,3,table_wood_green,difficulty_distractor,distractor,2,4,table_metal_blue,low_difficulty,target,3,1,table_wood_green,difficulty_distractor,distractor,4,2
9030-0,1593123053637,15,clickedObj,,bowl_glass_blue,filler_both,target,1,3,vase_glass_blue,filler,competitor,4,4,bag_paper_green,filler,distractor,2,2,bag_paper_green,filler,distractor,3,1
9030-0,1593123056715,16,clickedObj,,plate_paper_green,difficulty_distractor,distractor,3,2,plate_paper_green,difficulty_distractor,distractor,1,3,plate_paper_blue,difficulty_distractor,distractor,4,4,plate_plastic_blue_original,low_difficulty,target,2,1
9030-0,1593123086030,17,clickedObj,,table_wood_blue,difficulty_distractor,distractor,2,4,table_metal_blue,difficulty_distractor,distractor,1,2,table_wood_blue,difficulty_distractor,distractor,3,3,table_metal_silver_original,high_difficulty,target,4,1
9030-0,1593123089979,18,clickedObj,,plate_paper_blue,low_difficulty,target,1,3,plate_plastic_green,difficulty_distractor,distractor,2,2,plate_plastic_blue_original,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,4,1
9030-0,1593123111945,19,clickedObj,,bottle_plastic_green,low_difficulty,target,3,2,bottle_glass_blue,difficulty_distractor,distractor,2,1,bottle_glass_green,difficulty_distractor,distractor,1,3,bottle_glass_blue,difficulty_distractor,distractor,4,4
9030-0,1593123116509,20,clickedObj,,vase_glass_green,filler,distractor,2,3,door_wood_brown_original,filler_color,target,4,1,vase_glass_green,filler,distractor,1,2,box_cardboard_brown_original,filler,competitor,3,4
9030-0,1593123120003,21,clickedObj,,door_steel_silver_original,filler,distractor,2,3,box_wood_green,filler,competitor,1,2,ruler_wood_blue,filler_material,target,4,1,door_steel_silver_original,filler,distractor,3,4
9030-0,1593123129136,22,clickedObj,,table_metal_blue,high_difficulty,target,2,3,table_wood_green,difficulty_distractor,distractor,4,4,table_metal_green,difficulty_distractor,distractor,3,2,table_wood_green,difficulty_distractor,distractor,1,1
9030-0,1593123132169,23,clickedObj,,spoon_plastic_blue,difficulty_distractor,distractor,1,3,spoon_wood_green,high_difficulty,target,4,2,spoon_plastic_blue,difficulty_distractor,distractor,2,1,spoon_wood_blue,difficulty_distractor,distractor,3,4
9030-0,1593123134840,24,clickedObj,,table_metal_green,high_difficulty,target,3,3,table_metal_blue,difficulty_distractor,distractor,2,1,table_wood_blue,difficulty_distractor,distractor,4,4,table_wood_blue,difficulty_distractor,distractor,1,2
9030-0,1593123137845,25,clickedObj,,vase_wood_brown_original,filler_material,target,1,3,bag_plastic_white_original,filler,distractor,2,2,bag_plastic_white_original,filler,distractor,4,1,door_wood_red,filler,competitor,3,4
9030-0,1593123140691,26,clickedObj,,vase_wood_blue,filler_material,target,2,2,box_wood_brown_original,filler,competitor,3,3,door_steel_yellow,filler,distractor,4,1,door_steel_yellow,filler,distractor,1,4
9030-0,1593123144067,27,clickedObj,,bowl_metal_green,filler,competitor,3,2,box_cardboard_brown_original,filler,distractor,4,3,box_cardboard_brown_original,filler,distractor,1,1,ruler_metal_green,filler_both,target,2,4
