gameid,time,roundNum,sender,contents
7401-9,1590786433549,1,speaker,"door"
7401-9,1590786441260,2,speaker,"purple chair"
7401-9,1590786447132,3,speaker,"door"
7401-9,1590786455586,4,speaker,"green boot"
7401-9,1590786572652,5,speaker,"gray ball"
7401-9,1590786583368,6,speaker,"green plastic bottle"
7401-9,1590786591444,7,speaker,"blue bowl"
7401-9,1590786624443,8,speaker,"ruler"
7401-9,1590786647069,9,speaker,"blue paper plate"
7401-9,1590786655970,10,speaker,"denim jacket"
7401-9,1590786663681,11,speaker,"bowl"
7401-9,1590786674634,12,speaker,"plastic plate"
7401-9,1590786682019,13,speaker,"metal green table"
7401-9,1590786695033,14,speaker,"green glass bottle"
7401-9,1590786720650,15,speaker,"ball"
7401-9,1590786728929,16,speaker,"wood"
7401-9,1590786735891,17,speaker,"blue box"
7401-9,1590786745496,18,speaker,"blue metal table"
7401-9,1590786750813,19,speaker,"bag"
7401-9,1590786762031,20,speaker,"horizontal ruler"
7401-9,1590786816081,21,speaker,"plastic cup"
7401-9,1590786821795,22,speaker,"metal pitcher"
7401-9,1590786826568,23,speaker,"bag"
7401-9,1590786830610,24,speaker,"vase"
7401-9,1590786836389,25,speaker,"metal bowl"
7401-9,1590786842576,26,speaker,"green chair"
7401-9,1590786849993,27,speaker,"blue tables"
7401-9,1590786856497,28,speaker,"ball"
7401-9,1590786861172,29,speaker,"blue plate"
7401-9,1590786872414,30,speaker,"green spoon"
7401-9,1590786878153,31,speaker,"gray table"
7401-9,1590786882410,32,speaker,"box"
