gameid,time,roundNum,sender,contents
7293-8,1590743237939,1,listener,"dascfa"
7293-8,1590743248109,2,listener,"v as vs"
7293-8,1590743253923,3,listener,"csdc"
7293-8,1590743259782,4,listener,"cscvs"
7293-8,1590743267990,5,listener,"csdvs"
7293-8,1590743274967,6,listener,"xxx"
7293-8,1590743281875,7,listener,"bndfhm"
7293-8,1590743287667,8,listener,"hdtmtk"
7293-8,1590743293991,9,listener,"gdmnrtk"
7293-8,1590743304583,10,listener,"ndhmht"
7293-8,1590743311053,11,listener,"ndrjns"
7293-8,1590743319371,12,listener,"gershew"
7293-8,1590743328204,13,listener,"ttt"
7293-8,1590743336007,14,listener,"˜µ≥bk."
