gameid,time,roundNum,sender,contents
1644-b,1592416330810,1,listener,"bsgr"
1644-b,1592416335214,2,speaker,"gbfs"
1644-b,1592416338353,3,listener,"vsdfb"
1644-b,1592416343646,4,listener,"fsdb"
1644-b,1592416345900,5,listener,"vbsb"
1644-b,1592416348204,6,listener,"hgfd"
1644-b,1592416350304,7,listener,"hgfd"
1644-b,1592416352596,8,listener,"hgfds"
1644-b,1592416355196,9,listener,"hgfd"
1644-b,1592416357370,10,listener,"gfd"
1644-b,1592416360306,11,listener,"gfd"
1644-b,1592416363515,12,listener,"hgfd"
1644-b,1592416367076,13,listener,"hgfd"
1644-b,1592416369022,14,listener,"gfd"
1644-b,1592416371154,15,listener,"gfd"
1644-b,1592416374115,16,listener,"gfd"
1644-b,1592416376851,17,listener,"gfds"
1644-b,1592416379330,18,listener,"gfd"
1644-b,1592416381731,19,listener,"gfds"
1644-b,1592416384264,20,listener,"gfds"
1644-b,1592416386502,21,listener,"gfd"
1644-b,1592416389670,22,listener,"gfd"
1644-b,1592416391976,23,listener,"gfds"
1644-b,1592416394620,24,listener,"gfd"
1644-b,1592416397026,25,listener,"hgfds"
1644-b,1592416399253,26,listener,"jhgfd"
1644-b,1592416401621,27,listener,"bsgfn"
1644-b,1592416403768,28,listener,"bsgrn"
1644-b,1592416405835,29,listener,"sgn"
1644-b,1592416408123,30,listener,"gbsfn"
1644-b,1592416410548,31,listener,"bsgfn"
1644-b,1592416413131,32,listener,"bgfsn"
