gameid,time,roundNum,sender,contents
4660-3,1592421746475,1,speaker,"Not green"
4660-3,1592421763265,2,speaker,"green solo cup"
4660-3,1592421781726,3,speaker,"green soda bottle"
4660-3,1592421783106,3,listener,"NEXT"
4660-3,1592421791270,4,speaker,"bowling ball"
4660-3,1592421798742,5,speaker,"purple"
4660-3,1592421805923,6,speaker,"blue long table"
4660-3,1592421813118,7,speaker,"vase"
4660-3,1592421818727,8,speaker,"blue"
4660-3,1592421824699,9,speaker,"red door"
4660-3,1592421834550,10,speaker,"blue pitcher"
4660-3,1592421849496,10,speaker,"large handle"
4660-3,1592421850742,10,listener,"LITE BLUE OR DARK BLUE"
4660-3,1592421855072,10,speaker,"dark blue"
4660-3,1592421862290,11,speaker,"blue plate darker"
4660-3,1592421869681,12,speaker,"ruler"
4660-3,1592421876203,12,speaker,"blue"
4660-3,1592421887742,13,speaker,"green long table"
4660-3,1592421891363,13,listener,"GOOD JOB FRIEND"
4660-3,1592421897275,14,speaker,"blue"
4660-3,1592421911690,15,speaker,"green bottle (not soda) weird looking cap thing"
4660-3,1592421927675,15,listener,"DARK GREEN?"
4660-3,1592421929215,15,speaker,"looks kind of like beer bottle"
4660-3,1592421930642,15,speaker,"yes"
4660-3,1592421937730,16,speaker,"blue ball"
4660-3,1592421945286,17,speaker,"blue mixing bowl"
4660-3,1592421955192,18,speaker,"green bag"
4660-3,1592421967839,19,speaker,"blue bag not box"
4660-3,1592421976654,20,speaker,"bowling ball!"
4660-3,1592421983778,21,speaker,"long blue table"
4660-3,1592421990380,22,speaker,"green chair"
4660-3,1592421996688,23,speaker,"blue treasure chest"
4660-3,1592422010788,24,speaker,"bowl for mixing"
4660-3,1592422024512,25,speaker,"light purple jacket, short sleeves"
4660-3,1592422033434,25,speaker,"shirt"
4660-3,1592422038249,25,speaker,"buttons"
4660-3,1592422042509,26,speaker,"green spoon"
4660-3,1592422047547,27,speaker,"ruler"
4660-3,1592422054279,28,speaker,"door"
4660-3,1592422060931,29,speaker,"green boot"
4660-3,1592422068207,30,speaker,"mixing bowl"
4660-3,1592422075212,31,speaker,"green box"
4660-3,1592422083528,32,speaker,"light blue plate"
4660-3,1592422092864,32,listener,"AWESOME FRIEND. GOOD JOB"
