gameid,time,roundNum,sender,contents
9537-1,1592865942009,1,speaker,"flimsy"
9537-1,1592865954913,1,speaker,"handles"
9537-1,1592865955567,1,listener,"Bowl?"
9537-1,1592865956310,1,speaker,"blue"
9537-1,1592865963637,1,speaker,"no"
9537-1,1592865965085,1,listener,"Box?"
9537-1,1592865966805,1,speaker,"no"
9537-1,1592865981554,2,speaker,"green"
9537-1,1592865983633,2,speaker,"metal top"
9537-1,1592865988871,2,speaker,"glass"
9537-1,1592865996392,3,speaker,"clear"
9537-1,1592866003163,3,speaker,"bowl"
9537-1,1592866013763,4,speaker,"purple"
9537-1,1592866024160,5,speaker,"blue"
9537-1,1592866031767,5,listener,"deep?"
9537-1,1592866032254,5,speaker,"different from the others around the edges"
9537-1,1592866044534,6,speaker,"blue"
9537-1,1592866051718,7,speaker,"metal"
9537-1,1592866066586,8,speaker,"ruler"
9537-1,1592866072945,9,speaker,"green"
9537-1,1592866078442,10,speaker,"green"
9537-1,1592866086638,11,speaker,"blue"
9537-1,1592866091722,11,speaker,"different edges than the others"
9537-1,1592866106396,12,speaker,"ruler"
9537-1,1592866112384,13,speaker,"green"
9537-1,1592866117804,14,speaker,"blue"
9537-1,1592866124975,15,speaker,"wooden"
9537-1,1592866135694,16,speaker,"plastic flimsy"
9537-1,1592866142293,17,speaker,"green"
9537-1,1592866149129,18,speaker,"blue and long"
9537-1,1592866164220,19,speaker,"shiny round"
9537-1,1592866172316,19,listener,"Ball?"
9537-1,1592866173979,19,speaker,"looks like a smooshed ball"
9537-1,1592866179701,20,speaker,"blue"
9537-1,1592866185467,21,speaker,"wood"
9537-1,1592866189975,22,speaker,"green"
9537-1,1592866195134,23,speaker,"blue"
9537-1,1592866207657,24,speaker,"green plastic"
9537-1,1592866218788,25,speaker,"blue box"
9537-1,1592866223655,26,speaker,"red"
9537-1,1592866232009,27,speaker,"green bag"
9537-1,1592866238850,28,speaker,"purple denim"
9537-1,1592866246598,29,speaker,"grey"
9537-1,1592866251705,30,speaker,"bowl"
9537-1,1592866257470,31,speaker,"green"
9537-1,1592866261951,32,speaker,"green"
