gameid,time,roundNum,sender,contents
1507-0,1592936036595,1,listener,"Hello"
1507-0,1592936053874,1,speaker,"blue ball"
1507-0,1592936067225,2,speaker,"green spoon"
1507-0,1592936095599,3,speaker,"green bottle"
1507-0,1592936102216,3,listener,"glass or plastic"
1507-0,1592936107005,3,speaker,"glass"
1507-0,1592936120405,4,speaker,"blue table"
1507-0,1592936131745,5,speaker,"green shoe"
1507-0,1592936144251,6,speaker,"green chair"
1507-0,1592936156636,7,speaker,"blue boul"
1507-0,1592936166585,8,speaker,"red door"
1507-0,1592936182163,9,speaker,"blue steel mug "
1507-0,1592936193941,10,speaker,"blue bos"
1507-0,1592936198556,10,speaker,"box"
1507-0,1592936207725,11,speaker,"green water can"
1507-0,1592936217674,11,listener,"plastic or glass"
1507-0,1592936224234,11,speaker,"plastic"
1507-0,1592936247400,12,speaker,"blue rectangle bench "
1507-0,1592936258112,13,speaker,"boul"
1507-0,1592936282677,14,speaker,"silver boll"
1507-0,1592936305183,15,speaker,"blue pant "
1507-0,1592936322448,16,speaker,"violet shirt"
1507-0,1592936338027,17,speaker,"silver stool "
1507-0,1592936351274,18,speaker,"scale"
1507-0,1592936361735,18,listener,"ruler?"
1507-0,1592936366501,18,speaker,"yes"
1507-0,1592936388503,19,speaker,"plastic cover"
1507-0,1592936399148,20,speaker,"green bench"
1507-0,1592936410194,21,speaker,"green box"
1507-0,1592936419799,22,speaker,"boul"
1507-0,1592936437685,23,speaker,"Sky blue plate"
1507-0,1592936454493,24,speaker,"plastic cover"
1507-0,1592936473841,25,speaker,"ruler "
1507-0,1592936486125,26,speaker,"dark blue plate"
1507-0,1592936496349,27,speaker,"sky blue plate"
1507-0,1592936555133,28,speaker,"green cup"
1507-0,1592936565385,28,speaker,"plastic"
1507-0,1592936565991,28,listener,"plastic or metal?"
1507-0,1592936576130,29,speaker,"door"
1507-0,1592936592398,30,speaker,"violet chair"
1507-0,1592936623138,31,speaker,"pot"
1507-0,1592936635909,32,speaker,"green boll"
