gameid,time,roundNum,sender,contents
6736-0,1592936510850,1,listener,"Hi"
6736-0,1592936540778,1,speaker,"pick green color object "
6736-0,1592936565692,1,listener,"There are 2. The one with a handle or without a handle?"
6736-0,1592936577172,1,speaker,"without a handle"
6736-0,1592936601784,2,speaker,"select dark blue color plate"
6736-0,1592936622157,3,speaker,"pick violet color chair"
6736-0,1592936638546,4,speaker,"choose green table"
6736-0,1592936653486,5,speaker,"select the door "
6736-0,1592936666801,6,speaker,"select green chair"
6736-0,1592936683853,7,speaker,"pick plastic carry bag"
6736-0,1592936711723,8,speaker,"pich violet color shirt that looks like jean material"
6736-0,1592936730060,9,speaker,"green shoe"
6736-0,1592936740911,10,speaker,"plastic bag"
6736-0,1592936769574,11,speaker,"dark green color bottle "
6736-0,1592936780352,12,speaker,"a bowl"
6736-0,1592936792814,13,speaker,"steel table"
6736-0,1592936808573,14,speaker,"glass bowl"
6736-0,1592936829003,15,speaker,"copper vessel "
6736-0,1592936840822,16,speaker,"blue plate"
6736-0,1592936863275,17,speaker,"dark blue jar"
6736-0,1592936876073,18,speaker,"light blue plate"
6736-0,1592936884603,19,speaker,"ball"
6736-0,1592936891943,20,speaker,"blue"
6736-0,1592936901255,21,speaker,"scale"
6736-0,1592936913667,22,speaker,"door"
6736-0,1592936935557,23,speaker,"lengthy blue table"
6736-0,1592936946310,24,speaker,"box"
6736-0,1592936954714,25,speaker,"bowl"
6736-0,1592936970500,26,speaker,"looks like scale"
6736-0,1592936986308,27,speaker,"pale green bottle"
6736-0,1592937001903,28,speaker,"ball"
6736-0,1592937008107,29,speaker,"green"
6736-0,1592937017992,30,speaker,"box"
6736-0,1592937028909,31,speaker,"vessel"
6736-0,1592937040090,32,speaker,"blue ball"
