gameid,time,roundNum,sender,contents
7004-7,1592936548359,1,listener,"hi"
7004-7,1592936551646,1,speaker,"used for measurement"
7004-7,1592936564142,2,listener,"hi"
7004-7,1592936571365,2,speaker,"hey!"
7004-7,1592936577719,2,speaker,"color of leaves"
7004-7,1592936598143,3,speaker,"put flowers in"
7004-7,1592936618802,3,speaker,"you there?"
7004-7,1592936672144,4,speaker,"color of leaves"
7004-7,1592936703390,5,listener,"hi"
7004-7,1592936706198,5,speaker,"sprite"
7004-7,1592936709046,5,speaker,"hola"
7004-7,1592936736027,6,speaker,"color blind"
7004-7,1592936753763,7,speaker,"round "
7004-7,1592936786179,8,speaker,"colorful"
7004-7,1592936810690,9,speaker,"color of sky"
7004-7,1592936832188,10,speaker,"denim"
7004-7,1592936836533,10,speaker,"jeans"
7004-7,1592936878336,11,speaker,"metal color of sky"
7004-7,1592936891314,12,speaker,"round"
7004-7,1592936906785,13,speaker,"square"
7004-7,1592936927663,14,speaker,"disposable"
7004-7,1592936944157,15,speaker,"cereal"
7004-7,1592936981497,16,speaker,"long"
7004-7,1592936998441,17,speaker,"recycle"
7004-7,1592937012535,18,speaker,"odd one"
7004-7,1592937028168,18,speaker,"color of sky"
7004-7,1592937056989,19,speaker,"recycle"
7004-7,1592937071091,20,speaker,"measure"
7004-7,1592937093939,21,speaker,"entrance"
7004-7,1592937122225,21,speaker,"colorful"
7004-7,1592937135302,22,speaker,"hi"
7004-7,1592937140805,22,speaker,"cereal"
7004-7,1592937154930,23,speaker,"color of sky"
7004-7,1592937182186,24,speaker,"color of sky"
7004-7,1592937184122,24,speaker,"deep"
7004-7,1592937200755,25,speaker,"flower"
7004-7,1592937228221,26,speaker,"cereal"
7004-7,1592937245335,27,speaker,"package"
7004-7,1592937262936,28,speaker,"entrance"
7004-7,1592937271787,29,speaker,"wine"
7004-7,1592937285325,30,speaker,"color of leaves"
7004-7,1592937295488,31,speaker,"long"
7004-7,1592937298156,31,speaker,"leaves"
7004-7,1592937312898,32,speaker,"metal"
