gameid,time,roundNum,sender,contents
5617-b,1592936829857,1,speaker,"wood"
5617-b,1592936841481,2,speaker,"blue"
5617-b,1592936851279,3,speaker,"round"
5617-b,1592936861936,4,speaker,"green"
5617-b,1592936890074,5,speaker,"silver"
5617-b,1592936905858,6,speaker,"grass green"
5617-b,1592936924595,6,speaker,"darker green"
5617-b,1592936943875,7,speaker,"skinny and green"
5617-b,1592936977436,8,speaker,"blue"
5617-b,1592936989000,9,speaker,"flowers"
5617-b,1592937019095,9,listener,"no"
5617-b,1592937028681,9,speaker,"something you put flowers in"
5617-b,1592937036818,10,speaker,"measuring"
5617-b,1592937065960,11,speaker,"circle"
5617-b,1592937087187,12,speaker,"darker blue"
5617-b,1592937108418,13,speaker,"purple"
5617-b,1592937127682,14,speaker,"stick"
5617-b,1592937151976,15,speaker,"round"
