gameid,time,roundNum,sender,contents
8573-e,1592937807345,1,speaker,"bowl"
8573-e,1592937819238,2,speaker,"green spoon"
8573-e,1592937831074,3,speaker,"green chair"
8573-e,1592937838248,4,speaker,"green ruler"
8573-e,1592937844410,5,speaker,"blue bag"
8573-e,1592937851315,6,speaker,"circle"
8573-e,1592937862808,7,speaker,"green table"
8573-e,1592937868618,8,speaker,"red door"
8573-e,1592937879410,9,speaker,"green plastic cup"
8573-e,1592937888964,10,speaker,"green glass bottle"
8573-e,1592937897738,11,speaker,"big blue table"
8573-e,1592937905651,12,speaker,"purple chair"
8573-e,1592937914265,13,speaker,"blue paper plate"
8573-e,1592937926347,14,speaker,"green boot"
8573-e,1592937932687,15,speaker,"blue box"
8573-e,1592937940381,16,speaker,"blue circle"
8573-e,1592937946460,17,speaker,"blue table"
8573-e,1592937952597,18,speaker,"grey table"
8573-e,1592937964567,19,speaker,"green plastic bottle"
8573-e,1592937984520,20,speaker,"purple non-shiny shirt"
8573-e,1592937991813,21,speaker,"green bowl"
8573-e,1592937998722,22,speaker,"blue"
8573-e,1592938003645,23,speaker,"blue"
8573-e,1592938010460,24,speaker,"green bag"
8573-e,1592938015561,25,speaker,"brown"
8573-e,1592938020612,26,speaker,"green"
8573-e,1592938025539,27,speaker,"green"
8573-e,1592938030506,28,speaker,"blue"
8573-e,1592938038262,29,speaker,"big blue bowl"
8573-e,1592938045004,30,speaker,"door"
8573-e,1592938053913,31,speaker,"blue metal pitcher"
8573-e,1592938062334,32,speaker,"blue plastic plate"
