gameid,time,roundNum,sender,contents
7214-7,1592937989983,1,speaker,"its grey"
7214-7,1592938001269,2,speaker,"its bold and green"
7214-7,1592938011860,3,speaker,"green"
7214-7,1592938022859,4,speaker,"blue bowl"
7214-7,1592938033016,5,speaker,"blue bag"
7214-7,1592938043556,6,speaker,"bigger blue desk"
7214-7,1592938050701,7,speaker,"green"
7214-7,1592938057282,8,speaker,"door"
7214-7,1592938067530,9,speaker,"grey sphere"
7214-7,1592938076935,10,speaker,"green chair"
7214-7,1592938085076,11,speaker,"green sphere"
7214-7,1592938092327,12,speaker,"blue"
7214-7,1592938097330,13,speaker,"blue"
7214-7,1592938114334,14,speaker,"blue reversed with many curves"
7214-7,1592938125054,15,speaker,"green bag"
7214-7,1592938138112,16,speaker,"purple for men"
7214-7,1592938147281,17,speaker,"blue sphere"
7214-7,1592938157137,18,speaker,"blue bowl"
7214-7,1592938164007,19,speaker,"green"
7214-7,1592938186948,20,speaker,"that which looks like a bottle for alcoholic drink"
7214-7,1592938196506,21,speaker,"dark blue"
7214-7,1592938203590,22,speaker,"green"
7214-7,1592938209643,23,speaker,"vase"
7214-7,1592938217715,24,speaker,"red"
7214-7,1592938228236,25,speaker,"measure"
7214-7,1592938235182,26,speaker,"green"
7214-7,1592938250953,27,speaker,"the other blue"
7214-7,1592938258733,28,speaker,"measure"
7214-7,1592938272103,29,speaker,"green bottle without handle"
7214-7,1592938279979,30,speaker,"vase"
7214-7,1592938291190,31,speaker,"purple"
7214-7,1592938297114,32,speaker,"blue box"
