gameid,time,roundNum,sender,contents
7722-f,1592935528618,1,speaker,"4"
7722-f,1592935538403,2,speaker,"3"
7722-f,1592935546923,3,speaker,"4"
7722-f,1592935553454,4,speaker,"2"
7722-f,1592935562933,4,listener,"the order for me is different than the order for you"
7722-f,1592935577214,4,speaker,"2"
7722-f,1592935589170,4,listener,"that does not apply to my side"
7722-f,1592935598450,4,speaker,"3"
7722-f,1592935623440,4,listener,"are you going to play for real, or just go through quickly for the money?"
7722-f,1592935639456,4,speaker,"play real"
7722-f,1592935650501,4,listener,"okay, describe the item"
7722-f,1592935688472,4,listener,"hello?"
7722-f,1592935695507,4,speaker,"it is a water can used to carry water from one to another"
7722-f,1592935711409,5,speaker,"1"
7722-f,1592935740464,5,listener,"numbers do not work. they are in a different order on my side! Did you read the directions?????!"
7722-f,1592935740577,5,speaker,"1"
7722-f,1592935747474,5,speaker,"2"
