gameid,time,roundNum,sender,contents
0896-6,1592935693312,1,speaker,"hello, its the green bottle with a latch instead of twist cap"
0896-6,1592935718291,2,speaker,"its the green plastic cup"
0896-6,1592935784489,3,speaker,"green bottle with twist cap"
0896-6,1592935809391,4,speaker,"green bowl"
0896-6,1592935838523,5,speaker,"green spoon"
0896-6,1592935853945,6,speaker,"long silver table"
0896-6,1592935876142,7,speaker,"blue plate with smaller ridges"
0896-6,1592935889682,8,speaker,"long blue table"
0896-6,1592935923716,9,speaker,"blue paper plate with big ridges around outside"
0896-6,1592935953745,10,speaker,"green chair with no middle-back support"
0896-6,1592935976413,11,speaker,"blue jewelry box"
0896-6,1592935989478,12,speaker,"door"
0896-6,1592936007968,13,speaker,"door again"
0896-6,1592936034195,14,speaker,"the one thats different from the others"
0896-6,1592936053148,15,speaker,"long green table"
0896-6,1592936060036,16,speaker,"ruler"
0896-6,1592936068201,17,speaker,"long blue table"
0896-6,1592936083113,18,speaker,"plastic bag"
0896-6,1592936116675,19,speaker,"purple chair with no vertical wooden backing"
0896-6,1592936127223,20,speaker,"plastic bag"
0896-6,1592936138529,21,speaker,"vase"
0896-6,1592936147174,22,speaker,"bowl"
0896-6,1592936158218,23,speaker,"green open box"
0896-6,1592936170177,24,speaker,"round green ball"
0896-6,1592936179796,25,speaker,"silver ball"
0896-6,1592936201272,26,speaker,"green hiking boots"
0896-6,1592936211208,27,speaker,"ball"
0896-6,1592936217840,28,speaker,"bowl"
0896-6,1592936225256,29,speaker,"ruler"
0896-6,1592936242926,30,speaker,"blue plate with wide ridges"
0896-6,1592936262299,31,speaker,"steel drinking pitcher"
0896-6,1592936273307,32,speaker,"vase"
