gameid,time,roundNum,sender,contents
7732-1,1592939489241,1,speaker,"dark green metal top"
7732-1,1592939502186,2,speaker,"dark blue"
7732-1,1592939509938,3,speaker,"dark blue"
7732-1,1592939516264,4,speaker,"green"
7732-1,1592939521719,5,speaker,"green"
7732-1,1592939527944,6,speaker,"green"
7732-1,1592939533625,7,speaker,"brown"
7732-1,1592939538762,8,speaker,"blue"
7732-1,1592939550473,9,speaker,"light green, green top"
7732-1,1592939558712,10,speaker,"light blue"
7732-1,1592939567463,11,speaker,"light purple"
7732-1,1592939575817,12,speaker,"bowl"
7732-1,1592939593751,13,speaker,"bowl"
7732-1,1592939598604,14,speaker,"blue"
7732-1,1592939603723,15,speaker,"green"
7732-1,1592939614886,16,speaker,"green solo cup"
7732-1,1592939623626,17,speaker,"box"
7732-1,1592939631624,18,speaker,"blue plastic bag"
7732-1,1592939637591,19,speaker,"purple"
7732-1,1592939644042,20,speaker,"bowl"
7732-1,1592939648904,21,speaker,"door"
7732-1,1592939661207,22,speaker,"long dark blue table"
7732-1,1592939672744,23,speaker,"blue"
7732-1,1592939677837,24,speaker,"blue"
7732-1,1592939685928,25,speaker,"green bag"
7732-1,1592939690971,26,speaker,"door"
7732-1,1592939696758,27,speaker,"chest"
7732-1,1592939704302,28,speaker,"ball"
7732-1,1592939711275,29,speaker,"silver"
7732-1,1592939716967,30,speaker,"blue"
7732-1,1592939723016,31,speaker,"ruler"
7732-1,1592939728742,32,speaker,"ball"
7732-1,1592939730870,32,speaker,"have a good day"
