gameid,time,roundNum,sender,contents
9418-8,1592939963090,1,speaker,"lightest blue rectangular table"
9418-8,1592939982366,1,speaker,"almost silve"
9418-8,1592939986636,1,speaker,"silver"
9418-8,1592940033437,2,speaker,"purple metal chair"
9418-8,1592940055564,3,speaker,"blueish silver jug"
9418-8,1592940072945,3,listener,"is it shiny?"
9418-8,1592940076242,3,speaker,"yes"
9418-8,1592940094885,4,speaker,"jewelry box with lid opened"
9418-8,1592940122166,5,speaker,"wood-grain flower pot, skinny neck"
9418-8,1592940149679,6,speaker,"rectangular table with a purplish tint"
9418-8,1592940160835,7,speaker,"plastic bag"
9418-8,1592940171831,8,speaker,"wooden door"
9418-8,1592940184274,9,speaker,"green metal chair"
9418-8,1592940202398,10,speaker,"glass bowl"
9418-8,1592940219022,11,speaker,"darker blue plate, shiny"
9418-8,1592940239717,12,speaker,"blue tinted rectangular table"
9418-8,1592940261993,13,speaker,"blue plate, not shiny"
9418-8,1592940277661,14,speaker,"green spoon"
9418-8,1592940294281,15,speaker,"plastic bag"
9418-8,1592940330192,16,speaker,"black laced boot, mine has a flatter black and possible green tint"
9418-8,1592940377010,16,listener,"there is another green laced boot here"
9418-8,1592940411907,16,speaker,"They look exactly the same on my side"
9418-8,1592940428376,17,speaker,"ruler"
9418-8,1592940435542,18,speaker,"ruler"
9418-8,1592940442317,19,speaker,"glass bowl"
9418-8,1592940449689,20,speaker,"open box"
9418-8,1592940456023,21,speaker,"ball"
9418-8,1592940466415,22,speaker,"rectangular table"
9418-8,1592940480108,23,speaker,"shiny ball"
9418-8,1592940489325,24,speaker,"blue plate"
9418-8,1592940497881,25,speaker,"bowl"
9418-8,1592940504427,26,speaker,"door"
9418-8,1592940517285,27,speaker,"green plastic bottle"
9418-8,1592940534174,28,speaker,"glass bottle with latch top"
9418-8,1592940546903,29,speaker,"green solo cup"
9418-8,1592940570118,30,speaker,"skinny neck vase"
9418-8,1592940583943,31,speaker,"jean jacket"
9418-8,1592940595617,32,speaker,"silver ball"
