gameid,time,roundNum,sender,contents
5735-e,1592939043907,1,speaker,"Its a glass bowl"
5735-e,1592939057391,2,speaker,"its a door"
5735-e,1592939065608,3,speaker,"Its a blue plate"
5735-e,1592939073061,4,speaker,"its a green spoon"
5735-e,1592939081328,5,speaker,"its a ruler"
5735-e,1592939089027,6,speaker,"its a purple chair"
5735-e,1592939100663,7,speaker,"its a metal bowl"
5735-e,1592939109548,8,speaker,"its a long blue table"
5735-e,1592939122623,9,speaker,"its a metal pitcher"
5735-e,1592939133576,10,speaker,"its a green chair"
5735-e,1592939142216,11,speaker,"it a blue vase"
5735-e,1592939158536,12,speaker,"its a green shiny object"
5735-e,1592939166663,13,speaker,"its a red door"
5735-e,1592939182640,14,speaker,"is a light blue plate with ridges"
5735-e,1592939203402,15,speaker,"its a metal sphere"
5735-e,1592939211904,16,speaker,"its a green bowl"
5735-e,1592939219319,17,speaker,"its a blue wood box"
5735-e,1592939226096,18,speaker,"its a green bag"
5735-e,1592939233045,19,speaker,"its a blue sphere"
5735-e,1592939243139,20,speaker,"its a blue bag"
5735-e,1592939251958,21,speaker,"its a green table"
5735-e,1592939266388,22,speaker,"its a brown vase"
5735-e,1592939279133,23,speaker,"its a green glass bottle"
5735-e,1592939287669,24,speaker,"its a long green table"
5735-e,1592939298583,25,speaker,"its a green plastic cup"
5735-e,1592939307149,26,speaker,"its a green boot"
5735-e,1592939314999,27,speaker,"its a blue table"
5735-e,1592939322493,28,speaker,"its a green box"
5735-e,1592939333822,29,speaker,"its a dark blue plate"
5735-e,1592939350325,30,speaker,"its a purple denim jacket"
5735-e,1592939359675,31,speaker,"its a green plastic bottle"
5735-e,1592939368432,32,speaker,"its a ruler"
