gameid,time,roundNum,sender,contents
3451-9,1592940961050,1,speaker,"silver ball"
3451-9,1592940967225,1,listener,"hello"
3451-9,1592940978469,2,speaker,"plate"
3451-9,1592940992339,2,listener,"more minfo"
3451-9,1592940998008,2,listener,"more info"
3451-9,1592941000537,2,speaker,"glass plate"
3451-9,1592941014677,3,speaker,"open box"
3451-9,1592941040812,4,speaker,"green bottle"
3451-9,1592941065971,5,speaker,"shiny jug"
3451-9,1592941078383,6,speaker,"green chair"
3451-9,1592941090691,7,speaker,"green table"
3451-9,1592941103589,8,speaker,"green rubber bottle"
3451-9,1592941115098,9,speaker,"nylon"
3451-9,1592941150846,10,speaker,"blue shiny plate"
3451-9,1592941175218,11,speaker,"denim"
3451-9,1592941190859,12,speaker,"green spoon"
3451-9,1592941203457,13,speaker,"blue table"
3451-9,1592941217034,14,speaker,"blue table"
3451-9,1592941228062,15,speaker,"box"
3451-9,1592941240099,16,speaker,"purple chair"
3451-9,1592941248618,17,speaker,"ruler"
3451-9,1592941261822,18,speaker,"shiny bowl"
3451-9,1592941270369,19,speaker,"door"
3451-9,1592941281030,20,speaker,"wide table"
3451-9,1592941294840,21,speaker,"ball"
3451-9,1592941314797,22,speaker,"blue plate"
3451-9,1592941327268,23,speaker,"green boot"
3451-9,1592941342968,24,speaker,"bowl"
3451-9,1592941354995,25,speaker,"nylon"
3451-9,1592941370770,26,speaker,"light blue plate"
3451-9,1592941383631,27,speaker,"plastic cup"
3451-9,1592941391752,28,speaker,"door"
3451-9,1592941400071,29,speaker,"ball"
3451-9,1592941410373,30,speaker,"vase"
3451-9,1592941422326,31,speaker,"ruler"
3451-9,1592941431690,32,speaker,"vase"
3451-9,1592941435943,32,listener,"Thank you"
