gameid,time,roundNum,sender,contents
5813-a,1592943924429,1,speaker,"flat"
5813-a,1592943932942,1,listener,"measure things?"
5813-a,1592943944647,1,speaker,"Yes measure things"
5813-a,1592943978615,2,speaker,"Eat out of"
5813-a,1592944022846,3,speaker,"Not Wood Not Purple"
5813-a,1592944044031,4,speaker,"Paper and Blue"
5813-a,1592944065327,5,speaker,"Carry things"
5813-a,1592944070806,5,listener,"bag?"
5813-a,1592944076999,5,speaker,"Yes"
5813-a,1592944090526,6,speaker,"Paper and Blue"
5813-a,1592944106645,6,listener,"shiny or ridged (like you could put bullets in the grooves?)"
5813-a,1592944122390,6,speaker,"ridged"
5813-a,1592944140487,7,speaker,"denim not leather"
5813-a,1592944184135,8,speaker,"Grey and long"
5813-a,1592944198172,9,speaker,"wood"
5813-a,1592944230519,10,speaker,"Long and Green"
5813-a,1592944245503,11,speaker,"Round"
5813-a,1592944264984,12,speaker,"eat out of"
5813-a,1592944284128,13,speaker,"Stainless Steel"
5813-a,1592944302040,14,speaker,"Wood"
5813-a,1592944315096,15,speaker,"Purple"
5813-a,1592944336872,16,speaker,"Short and Green"
5813-a,1592944358696,17,speaker,"Wood and Green"
5813-a,1592944381784,18,speaker,"Wood, Blue, Flowers"
5813-a,1592944393832,19,speaker,"Long and Blue"
5813-a,1592944415736,20,speaker,"measure"
5813-a,1592944429417,21,speaker,"plastic and carry"
5813-a,1592944439321,22,speaker,"Long and blue"
5813-a,1592944486232,23,speaker,"round and blue"
5813-a,1592944506121,24,speaker,"blue, plastic, not ridged"
5813-a,1592944536776,25,speaker,"green and plastic"
5813-a,1592944553160,26,speaker,"cardboard"
5813-a,1592944568665,27,speaker,"wood container"
5813-a,1592944650092,28,speaker,"round "
5813-a,1592944660393,28,listener,"put stuff in or bounce?"
5813-a,1592944668313,28,speaker,"bounce"
5813-a,1592944689066,29,speaker,"blue and stainless steel"
5813-a,1592944704042,30,speaker,"red"
5813-a,1592944738073,31,speaker,"Glass, green, metal closure"
5813-a,1592944755794,32,speaker,"plastic green"
