gameid,time,roundNum,sender,contents
0512-8,1592921786985,1,speaker,"4"
0512-8,1592921825635,1,listener,"hello?"
0512-8,1592921828703,1,speaker,"red door"
0512-8,1592921843639,2,speaker,"purple demin"
0512-8,1592921853566,3,speaker,"dark blue plate"
0512-8,1592921860788,4,speaker,"ruler"
0512-8,1592921867270,5,speaker,"light blue"
0512-8,1592921873020,6,speaker,"blue"
0512-8,1592921879775,7,speaker,"bowl"
0512-8,1592921886752,8,speaker,"green"
0512-8,1592921893803,9,speaker,"vase"
0512-8,1592921899266,10,speaker,"bag"
0512-8,1592921904860,11,speaker,"door"
0512-8,1592921910337,12,speaker,"ball"
0512-8,1592921917372,13,speaker,"green"
0512-8,1592921922353,14,speaker,"bowl"
0512-8,1592921930339,15,speaker,"blue large table"
0512-8,1592921937512,16,speaker,"ball"
0512-8,1592921945557,17,speaker,"grey table"
0512-8,1592921952208,18,speaker,"green"
0512-8,1592921957340,19,speaker,"soda"
0512-8,1592921964140,20,speaker,"purple"
0512-8,1592921970024,21,speaker,"blue metal"
0512-8,1592921977680,22,speaker,"green glass"
0512-8,1592921986133,23,speaker,"green plastic"
0512-8,1592921992056,24,speaker,"green"
0512-8,1592921996212,25,speaker,"blue"
0512-8,1592922000590,26,speaker,"vase"
0512-8,1592922005582,27,speaker,"box"
0512-8,1592922012455,28,speaker,"ruler"
0512-8,1592922017063,29,speaker,"ball"
0512-8,1592922021450,30,speaker,"bowl"
0512-8,1592922026950,31,speaker,"chest"
0512-8,1592922032418,32,speaker,"bag"
