gameid,time,roundNum,sender,contents
5639-3,1592922003585,1,listener,"hello"
5639-3,1592922006751,1,speaker,"hi"
5639-3,1592922016172,1,speaker,"combat boot"
5639-3,1592922027350,2,speaker,"vase"
5639-3,1592922037929,3,speaker,"solo cup"
5639-3,1592922048705,4,speaker,"blue ball"
5639-3,1592922063123,5,speaker,"folding table"
5639-3,1592922070587,5,listener,"color?"
5639-3,1592922074521,5,speaker,"gray"
5639-3,1592922084907,6,speaker,"light blue plate"
5639-3,1592922098618,6,listener,"paper or plastic?"
5639-3,1592922105024,6,speaker,"it looks like paper"
5639-3,1592922112673,7,speaker,"vase"
5639-3,1592922121532,8,speaker,"green ball"
5639-3,1592922131218,9,speaker,"gray ball"
5639-3,1592922139123,10,speaker,"blue folding table"
5639-3,1592922150428,11,speaker,"ruler"
5639-3,1592922165198,12,speaker,"greenish folding table"
5639-3,1592922180150,13,speaker,"purple denim jacket"
5639-3,1592922194456,14,speaker,"green glass bowl"
5639-3,1592922203022,15,speaker,"blue folding table"
5639-3,1592922212870,16,speaker,"blue glass bowl"
5639-3,1592922222751,17,speaker,"blue metal bowl"
5639-3,1592922231307,18,speaker,"blue wood chest"
5639-3,1592922240076,19,speaker,"green bag"
5639-3,1592922253250,20,speaker,"green plastic bottle"
5639-3,1592922262162,21,speaker,"green glass bottle"
5639-3,1592922275130,22,speaker,"green metal chair"
5639-3,1592922285868,23,speaker,"blue paper plate"
5639-3,1592922295772,24,speaker,"blue ruler"
5639-3,1592922303566,25,speaker,"red door"
5639-3,1592922314696,26,speaker,"blue metal pitcher"
5639-3,1592922325204,27,speaker,"blue plastic plate"
5639-3,1592922334880,28,speaker,"green wooden spoon"
5639-3,1592922345126,29,speaker,"purple metal chair"
5639-3,1592922354455,30,speaker,"green box"
5639-3,1592922362753,31,speaker,"wood door"
5639-3,1592922369162,32,speaker,"blue bag"
