gameid,time,roundNum,sender,contents
3231-a,1592922067546,1,speaker,"It is a green cardboard box"
3231-a,1592922082059,2,speaker,"it's a blue disposable plate"
3231-a,1592922101339,3,speaker,"it's a long blue table with bars on the bottom"
3231-a,1592922114069,4,speaker,"it's a green ruler"
3231-a,1592922126967,5,speaker,"it's a darker blue plastic plate"
3231-a,1592922138016,6,speaker,"it's a green plastic bag"
3231-a,1592922147586,7,speaker,"a glass bowl"
3231-a,1592922157611,8,speaker,"it's a blue vase"
3231-a,1592922168825,9,speaker,"it's a blue wooden box"
3231-a,1592922179882,10,speaker,"it's a door"
3231-a,1592922187238,11,speaker,"it's a blue table"
3231-a,1592922195152,12,speaker,"a blue bowl"
3231-a,1592922201731,13,speaker,"a purple chair"
3231-a,1592922207423,14,speaker,"a door"
3231-a,1592922217327,15,speaker,"a green chair"
3231-a,1592922224623,16,speaker,"a grey table"
3231-a,1592922231259,17,speaker,"a vase"
3231-a,1592922243666,18,speaker,"an oval ball thing"
3231-a,1592922255166,19,speaker,"a green bowl"
3231-a,1592922262856,20,speaker,"a blue ball"
3231-a,1592922284615,21,speaker,"a green glass bottle"
3231-a,1592922292384,22,speaker,"a plastic cup"
3231-a,1592922307292,23,speaker,"a lighter blue plate "
3231-a,1592922323902,24,speaker,"a plastic green bottle "
3231-a,1592922332321,25,speaker,"a grey ball"
3231-a,1592922343053,26,speaker,"a plastic bag"
3231-a,1592922356168,27,speaker,"a metallic blue pitcher"
3231-a,1592922362716,28,speaker,"a green shoe"
3231-a,1592922372583,29,speaker,"a green wooden spoon"
3231-a,1592922377889,30,speaker,"a ruler"
3231-a,1592922387292,31,speaker,"a purple denim shirt"
3231-a,1592922393958,32,speaker,"a green table"
