gameid,time,roundNum,sender,contents
6915-5,1592922159588,1,speaker,"glass"
6915-5,1592922188540,1,listener,"what about the color?"
6915-5,1592922192243,1,speaker,"green"
6915-5,1592922210358,2,speaker,"green"
6915-5,1592922255158,3,speaker,"dark blue"
6915-5,1592922266089,4,speaker,"ruler"
6915-5,1592922281183,5,speaker,"blue"
6915-5,1592922288324,6,speaker,"ruler"
6915-5,1592922295669,7,speaker,"blue"
6915-5,1592922302321,8,speaker,"ball"
6915-5,1592922307400,9,speaker,"blue"
6915-5,1592922312862,10,speaker,"box"
6915-5,1592922322162,11,speaker,"green"
6915-5,1592922329763,12,speaker,"jean"
6915-5,1592922338851,13,speaker,"bowl"
6915-5,1592922345723,14,speaker,"green"
6915-5,1592922361200,15,speaker,"green"
6915-5,1592922369524,16,speaker,"metal"
6915-5,1592922378360,17,speaker,"green plastic"
6915-5,1592922387981,18,speaker,"vase"
6915-5,1592922394663,19,speaker,"bowl"
6915-5,1592922404702,20,speaker,"bowl"
6915-5,1592922410981,21,speaker,"bag"
6915-5,1592922418726,22,speaker,"blue long"
6915-5,1592922426772,23,speaker,"light blue"
6915-5,1592922432695,24,speaker,"door"
6915-5,1592922440629,25,speaker,"door"
6915-5,1592922446496,26,speaker,"bag"
6915-5,1592922453535,27,speaker,"purple"
6915-5,1592922459714,28,speaker,"chest"
6915-5,1592922466423,29,speaker,"vase"
6915-5,1592922475103,30,speaker,"silver"
6915-5,1592922486156,31,speaker,"green plastic"
6915-5,1592922493727,32,speaker,"ball"
